network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
SE,NET-SE0004C,Östra Sveriges Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-SE37479_00005_100,SE.NV.AQ,17.919923000000004,59.48899899953082,EPSG:4979,SE37479,STA-SE37479,Sollentuna Ekmans Väg 11,SE.NV.AQ,2023-05-20 13:00:00+01:00,2023-05-20 14:00:00+01:00,2023-05-20 14:38:14+01:00,+01:00,7.62051,1,3,39,ug/m3
SE,NET-SE0001C,Skånes Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-SE38350_00005_100,SE.NV.AQ,13.180275,55.70333599950057,EPSG:4979,SE38350,STA-SE38350,Lund Trollebergsvägen,SE.NV.AQ,2023-05-20 17:00:00+01:00,2023-05-20 18:00:00+01:00,2023-05-20 18:17:23+01:00,+01:00,1.72,1,3,40,ug/m3
SE,NET-SE0001C,Skånes Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-SE38350_00005_100,SE.NV.AQ,13.180275,55.70333599950057,EPSG:4979,SE38350,STA-SE38350,Lund Trollebergsvägen,SE.NV.AQ,2023-05-20 18:00:00+01:00,2023-05-20 19:00:00+01:00,2023-05-20 19:17:16+01:00,+01:00,0.83,1,3,40,ug/m3
SE,NET-SE0001C,Skånes Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-SE38350_00005_100,SE.NV.AQ,13.180275,55.70333599950057,EPSG:4979,SE38350,STA-SE38350,Lund Trollebergsvägen,SE.NV.AQ,2023-05-20 19:00:00+01:00,2023-05-20 20:00:00+01:00,2023-05-20 20:17:19+01:00,+01:00,2.95,1,3,40,ug/m3
SE,NET-SE0001C,Skånes Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-SE38350_00005_100,SE.NV.AQ,13.180275,55.70333599950057,EPSG:4979,SE38350,STA-SE38350,Lund Trollebergsvägen,SE.NV.AQ,2023-05-20 20:00:00+01:00,2023-05-20 21:00:00+01:00,2023-05-20 21:17:20+01:00,+01:00,4.69,1,3,40,ug/m3
SE,NET-SE0001C,Skånes Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-SE38350_00005_100,SE.NV.AQ,13.180275,55.70333599950057,EPSG:4979,SE38350,STA-SE38350,Lund Trollebergsvägen,SE.NV.AQ,2023-05-20 21:00:00+01:00,2023-05-20 22:00:00+01:00,2023-05-20 22:17:13+01:00,+01:00,2.17,1,3,40,ug/m3
SE,NET-SE0001C,Skånes Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-SE38350_00005_100,SE.NV.AQ,13.180275,55.70333599950057,EPSG:4979,SE38350,STA-SE38350,Lund Trollebergsvägen,SE.NV.AQ,2023-05-20 22:00:00+01:00,2023-05-20 23:00:00+01:00,2023-05-20 23:17:18+01:00,+01:00,2.89,1,3,40,ug/m3
SE,NET-SE0001C,Skånes Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-SE38350_00005_100,SE.NV.AQ,13.180275,55.70333599950057,EPSG:4979,SE38350,STA-SE38350,Lund Trollebergsvägen,SE.NV.AQ,2023-05-20 23:00:00+01:00,2023-05-21 00:00:00+01:00,2023-05-21 00:17:14+01:00,+01:00,4.42,1,3,40,ug/m3
SE,NET-SE0001C,Skånes Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-SE38350_00005_100,SE.NV.AQ,13.180275,55.70333599950057,EPSG:4979,SE38350,STA-SE38350,Lund Trollebergsvägen,SE.NV.AQ,2023-05-21 00:00:00+01:00,2023-05-21 01:00:00+01:00,2023-05-21 01:20:02+01:00,+01:00,5.33,1,3,40,ug/m3
SE,NET-SE0001C,Skånes Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-SE38350_00005_100,SE.NV.AQ,13.180275,55.70333599950057,EPSG:4979,SE38350,STA-SE38350,Lund Trollebergsvägen,SE.NV.AQ,2023-05-21 01:00:00+01:00,2023-05-21 02:00:00+01:00,2023-05-21 02:17:14+01:00,+01:00,4.68,1,3,40,ug/m3
SE,NET-SE0001C,Skånes Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-SE38350_00005_100,SE.NV.AQ,13.180275,55.70333599950057,EPSG:4979,SE38350,STA-SE38350,Lund Trollebergsvägen,SE.NV.AQ,2023-05-21 02:00:00+01:00,2023-05-21 03:00:00+01:00,2023-05-21 03:17:19+01:00,+01:00,4.2,1,3,40,ug/m3
SE,NET-SE0001C,Skånes Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-SE38350_00005_100,SE.NV.AQ,13.180275,55.70333599950057,EPSG:4979,SE38350,STA-SE38350,Lund Trollebergsvägen,SE.NV.AQ,2023-05-21 03:00:00+01:00,2023-05-21 04:00:00+01:00,2023-05-21 04:17:21+01:00,+01:00,2.95,1,3,40,ug/m3
SE,NET-SE0001C,Skånes Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-SE38350_00005_100,SE.NV.AQ,13.180275,55.70333599950057,EPSG:4979,SE38350,STA-SE38350,Lund Trollebergsvägen,SE.NV.AQ,2023-05-21 04:00:00+01:00,2023-05-21 05:00:00+01:00,2023-05-21 05:17:17+01:00,+01:00,3.51,1,3,40,ug/m3
SE,NET-SE0001C,Skånes Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-SE38350_00005_100,SE.NV.AQ,13.180275,55.70333599950057,EPSG:4979,SE38350,STA-SE38350,Lund Trollebergsvägen,SE.NV.AQ,2023-05-21 05:00:00+01:00,2023-05-21 06:00:00+01:00,2023-05-21 06:17:18+01:00,+01:00,3.49,1,3,40,ug/m3
SE,NET-SE0001C,Skånes Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-SE38350_00005_100,SE.NV.AQ,13.180275,55.70333599950057,EPSG:4979,SE38350,STA-SE38350,Lund Trollebergsvägen,SE.NV.AQ,2023-05-21 06:00:00+01:00,2023-05-21 07:00:00+01:00,2023-05-21 07:17:14+01:00,+01:00,2.96,1,3,40,ug/m3
SE,NET-SE0001C,Skånes Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-SE38350_00005_100,SE.NV.AQ,13.180275,55.70333599950057,EPSG:4979,SE38350,STA-SE38350,Lund Trollebergsvägen,SE.NV.AQ,2023-05-21 07:00:00+01:00,2023-05-21 08:00:00+01:00,2023-05-21 08:17:26+01:00,+01:00,1.35,1,3,40,ug/m3
SE,NET-SE0001C,Skånes Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-SE38350_00005_100,SE.NV.AQ,13.180275,55.70333599950057,EPSG:4979,SE38350,STA-SE38350,Lund Trollebergsvägen,SE.NV.AQ,2023-05-21 08:00:00+01:00,2023-05-21 09:00:00+01:00,2023-05-21 09:17:14+01:00,+01:00,2.33,1,3,40,ug/m3
SE,NET-SE0001C,Skånes Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-SE38350_00005_100,SE.NV.AQ,13.180275,55.70333599950057,EPSG:4979,SE38350,STA-SE38350,Lund Trollebergsvägen,SE.NV.AQ,2023-05-21 09:00:00+01:00,2023-05-21 10:00:00+01:00,2023-05-21 10:17:20+01:00,+01:00,1.12,1,3,40,ug/m3
SE,NET-SE0001C,Skånes Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-SE38350_00005_100,SE.NV.AQ,13.180275,55.70333599950057,EPSG:4979,SE38350,STA-SE38350,Lund Trollebergsvägen,SE.NV.AQ,2023-05-21 10:00:00+01:00,2023-05-21 11:00:00+01:00,2023-05-21 11:17:19+01:00,+01:00,1.96,1,3,40,ug/m3
SE,NET-SE0001C,Skånes Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-SE38350_00005_100,SE.NV.AQ,13.180275,55.70333599950057,EPSG:4979,SE38350,STA-SE38350,Lund Trollebergsvägen,SE.NV.AQ,2023-05-21 11:00:00+01:00,2023-05-21 12:00:00+01:00,2023-05-21 12:17:14+01:00,+01:00,3.28,1,3,40,ug/m3
SE,NET-SE0001C,Skånes Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-SE38350_00005_100,SE.NV.AQ,13.180275,55.70333599950057,EPSG:4979,SE38350,STA-SE38350,Lund Trollebergsvägen,SE.NV.AQ,2023-05-21 12:00:00+01:00,2023-05-21 13:00:00+01:00,2023-05-21 13:17:20+01:00,+01:00,1.64,1,3,40,ug/m3
SE,NET-SE0012C,Samverkan för luftövervakning i Västernorrland,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-SE0095A_00005_100,SE.NV.AQ,17.30889,62.38855999955954,EPSG:4979,SE0095A,STA-SE0095A,Sundsvall Köpmangatan,SE.NV.AQ,2023-05-21 17:00:00+01:00,2023-05-21 18:00:00+01:00,2023-05-21 18:38:14+01:00,+01:00,25.424,1,3,7,ug/m3
SE,NET-SE0012C,Samverkan för luftövervakning i Västernorrland,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-SE0095A_00005_100,SE.NV.AQ,17.30889,62.38855999955954,EPSG:4979,SE0095A,STA-SE0095A,Sundsvall Köpmangatan,SE.NV.AQ,2023-05-21 18:00:00+01:00,2023-05-21 19:00:00+01:00,2023-05-21 19:38:37+01:00,+01:00,27.918,1,3,7,ug/m3
SE,NET-SE0012C,Samverkan för luftövervakning i Västernorrland,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-SE0095A_00005_100,SE.NV.AQ,17.30889,62.38855999955954,EPSG:4979,SE0095A,STA-SE0095A,Sundsvall Köpmangatan,SE.NV.AQ,2023-05-21 19:00:00+01:00,2023-05-21 20:00:00+01:00,2023-05-21 20:38:35+01:00,+01:00,30.155,1,3,7,ug/m3
SE,NET-SE0012C,Samverkan för luftövervakning i Västernorrland,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-SE0095A_00005_100,SE.NV.AQ,17.30889,62.38855999955954,EPSG:4979,SE0095A,STA-SE0095A,Sundsvall Köpmangatan,SE.NV.AQ,2023-05-21 20:00:00+01:00,2023-05-21 21:00:00+01:00,2023-05-21 21:38:13+01:00,+01:00,38.735,1,3,7,ug/m3
SE,NET-SE0012C,Samverkan för luftövervakning i Västernorrland,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-SE0095A_00005_100,SE.NV.AQ,17.30889,62.38855999955954,EPSG:4979,SE0095A,STA-SE0095A,Sundsvall Köpmangatan,SE.NV.AQ,2023-05-21 21:00:00+01:00,2023-05-21 22:00:00+01:00,2023-05-21 22:38:35+01:00,+01:00,35.836,1,3,7,ug/m3
