network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
SE,NET-SE0009C,Dalarnas Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,SO2,SPO-SE0102A_00001_100,SE.NV.AQ,15.629400000000002,60.608298999541354,EPSG:4979,SE0102A,STA-SE0102A,Falun Östra Falan,SE.NV.AQ,2023-05-20 17:00:00+01:00,2023-05-20 18:00:00+01:00,2023-05-20 18:38:35+01:00,+01:00,1.7009,1,3,130,ug/m3
SE,NET-SE0009C,Dalarnas Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,SO2,SPO-SE0102A_00001_100,SE.NV.AQ,15.629400000000002,60.608298999541354,EPSG:4979,SE0102A,STA-SE0102A,Falun Östra Falan,SE.NV.AQ,2023-05-20 18:00:00+01:00,2023-05-20 19:00:00+01:00,2023-05-20 19:38:15+01:00,+01:00,1.80614,1,3,130,ug/m3
SE,NET-SE0009C,Dalarnas Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,SO2,SPO-SE0102A_00001_100,SE.NV.AQ,15.629400000000002,60.608298999541354,EPSG:4979,SE0102A,STA-SE0102A,Falun Östra Falan,SE.NV.AQ,2023-05-20 19:00:00+01:00,2023-05-20 20:00:00+01:00,2023-05-20 20:38:36+01:00,+01:00,1.73674,1,3,130,ug/m3
SE,NET-SE0009C,Dalarnas Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,SO2,SPO-SE0102A_00001_100,SE.NV.AQ,15.629400000000002,60.608298999541354,EPSG:4979,SE0102A,STA-SE0102A,Falun Östra Falan,SE.NV.AQ,2023-05-20 20:00:00+01:00,2023-05-20 21:00:00+01:00,2023-05-20 21:38:14+01:00,+01:00,1.83176,1,3,130,ug/m3
SE,NET-SE0009C,Dalarnas Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,SO2,SPO-SE0102A_00001_100,SE.NV.AQ,15.629400000000002,60.608298999541354,EPSG:4979,SE0102A,STA-SE0102A,Falun Östra Falan,SE.NV.AQ,2023-05-20 21:00:00+01:00,2023-05-20 22:00:00+01:00,2023-05-20 22:38:34+01:00,+01:00,1.85918,1,3,130,ug/m3
SE,NET-SE0009C,Dalarnas Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,SO2,SPO-SE0102A_00001_100,SE.NV.AQ,15.629400000000002,60.608298999541354,EPSG:4979,SE0102A,STA-SE0102A,Falun Östra Falan,SE.NV.AQ,2023-05-20 22:00:00+01:00,2023-05-20 23:00:00+01:00,2023-05-20 23:38:36+01:00,+01:00,1.85099,1,3,130,ug/m3
SE,NET-SE0009C,Dalarnas Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,SO2,SPO-SE0102A_00001_100,SE.NV.AQ,15.629400000000002,60.608298999541354,EPSG:4979,SE0102A,STA-SE0102A,Falun Östra Falan,SE.NV.AQ,2023-05-20 23:00:00+01:00,2023-05-21 00:00:00+01:00,2023-05-21 00:38:16+01:00,+01:00,1.85683,1,3,130,ug/m3
SE,NET-SE0009C,Dalarnas Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,SO2,SPO-SE0102A_00001_100,SE.NV.AQ,15.629400000000002,60.608298999541354,EPSG:4979,SE0102A,STA-SE0102A,Falun Östra Falan,SE.NV.AQ,2023-05-21 00:00:00+01:00,2023-05-21 01:00:00+01:00,2023-05-21 01:38:21+01:00,+01:00,1.8154,1,3,130,ug/m3
SE,NET-SE0009C,Dalarnas Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,SO2,SPO-SE0102A_00001_100,SE.NV.AQ,15.629400000000002,60.608298999541354,EPSG:4979,SE0102A,STA-SE0102A,Falun Östra Falan,SE.NV.AQ,2023-05-21 01:00:00+01:00,2023-05-21 02:00:00+01:00,2023-05-21 02:38:14+01:00,+01:00,1.81318,1,3,130,ug/m3
SE,NET-SE0009C,Dalarnas Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,SO2,SPO-SE0102A_00001_100,SE.NV.AQ,15.629400000000002,60.608298999541354,EPSG:4979,SE0102A,STA-SE0102A,Falun Östra Falan,SE.NV.AQ,2023-05-21 02:00:00+01:00,2023-05-21 03:00:00+01:00,2023-05-21 03:38:53+01:00,+01:00,1.85007,1,3,130,ug/m3
