network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
AD,NET-AD001A,Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra,AD.GovernAndorra.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-AD0942A-0007,AD.GovernAndorra.AQ,1.539138,42.50969400000001,EPSG:4979,AD0942A,STA-AD0942A,Escaldes-Engordany,AD.GovernAndorra.AQ,2023-05-13 13:00:00+01:00,2023-05-13 14:00:00+01:00,2023-05-13 14:41:02+01:00,+01:00,84.2,1,3,1080,ug/m3
AD,NET-AD001A,Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra,AD.GovernAndorra.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-AD0942A-0007,AD.GovernAndorra.AQ,1.539138,42.50969400000001,EPSG:4979,AD0942A,STA-AD0942A,Escaldes-Engordany,AD.GovernAndorra.AQ,2023-05-13 14:00:00+01:00,2023-05-13 15:00:00+01:00,2023-05-13 15:38:06+01:00,+01:00,83.7,1,3,1080,ug/m3
AD,NET-AD001A,Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra,AD.GovernAndorra.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-AD0942A-0007,AD.GovernAndorra.AQ,1.539138,42.50969400000001,EPSG:4979,AD0942A,STA-AD0942A,Escaldes-Engordany,AD.GovernAndorra.AQ,2023-05-13 15:00:00+01:00,2023-05-13 16:00:00+01:00,2023-05-13 16:44:02+01:00,+01:00,85.3,1,3,1080,ug/m3
AD,NET-AD001A,Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra,AD.GovernAndorra.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-AD0942A-0007,AD.GovernAndorra.AQ,1.539138,42.50969400000001,EPSG:4979,AD0942A,STA-AD0942A,Escaldes-Engordany,AD.GovernAndorra.AQ,2023-05-13 16:00:00+01:00,2023-05-13 17:00:00+01:00,2023-05-13 17:38:02+01:00,+01:00,82.9,1,3,1080,ug/m3
AD,NET-AD001A,Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra,AD.GovernAndorra.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-AD0942A-0007,AD.GovernAndorra.AQ,1.539138,42.50969400000001,EPSG:4979,AD0942A,STA-AD0942A,Escaldes-Engordany,AD.GovernAndorra.AQ,2023-05-13 17:00:00+01:00,2023-05-13 18:00:00+01:00,2023-05-13 18:41:50+01:00,+01:00,79.7,1,3,1080,ug/m3
AD,NET-AD001A,Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra,AD.GovernAndorra.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-AD0942A-0007,AD.GovernAndorra.AQ,1.539138,42.50969400000001,EPSG:4979,AD0942A,STA-AD0942A,Escaldes-Engordany,AD.GovernAndorra.AQ,2023-05-13 18:00:00+01:00,2023-05-13 19:00:00+01:00,2023-05-13 19:38:02+01:00,+01:00,80.6,1,3,1080,ug/m3
AD,NET-AD001A,Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra,AD.GovernAndorra.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-AD0942A-0007,AD.GovernAndorra.AQ,1.539138,42.50969400000001,EPSG:4979,AD0942A,STA-AD0942A,Escaldes-Engordany,AD.GovernAndorra.AQ,2023-05-13 19:00:00+01:00,2023-05-13 20:00:00+01:00,2023-05-13 20:38:02+01:00,+01:00,78.6,1,3,1080,ug/m3
AD,NET-AD001A,Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra,AD.GovernAndorra.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-AD0942A-0007,AD.GovernAndorra.AQ,1.539138,42.50969400000001,EPSG:4979,AD0942A,STA-AD0942A,Escaldes-Engordany,AD.GovernAndorra.AQ,2023-05-13 20:00:00+01:00,2023-05-13 21:00:00+01:00,2023-05-13 21:41:02+01:00,+01:00,70.4,1,3,1080,ug/m3
AD,NET-AD001A,Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra,AD.GovernAndorra.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-AD0942A-0007,AD.GovernAndorra.AQ,1.539138,42.50969400000001,EPSG:4979,AD0942A,STA-AD0942A,Escaldes-Engordany,AD.GovernAndorra.AQ,2023-05-13 21:00:00+01:00,2023-05-13 22:00:00+01:00,2023-05-13 22:38:02+01:00,+01:00,68.6,1,3,1080,ug/m3
AD,NET-AD001A,Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra,AD.GovernAndorra.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-AD0942A-0007,AD.GovernAndorra.AQ,1.539138,42.50969400000001,EPSG:4979,AD0942A,STA-AD0942A,Escaldes-Engordany,AD.GovernAndorra.AQ,2023-05-13 22:00:00+01:00,2023-05-13 23:00:00+01:00,2023-05-14 00:01:23+01:00,+01:00,67.9,1,3,1080,ug/m3
