network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SPO-BETR501_00010_100,BE.CELINE-IRCEL.AQ,4.45217178104986,50.40931145241382,EPSG:4979,BETR501,STA-BETR501,45R501 - CHARLEROI,BE.CELINE-IRCEL.AQ,2023-05-13 13:00:00+01:00,2023-05-13 14:00:00+01:00,2023-05-13 07:22:11+01:00,2023-05-13 14:37:55+01:00,0.19,1,3,115,mg/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SPO-BETR501_00010_100,BE.CELINE-IRCEL.AQ,4.45217178104986,50.40931145241382,EPSG:4979,BETR501,STA-BETR501,45R501 - CHARLEROI,BE.CELINE-IRCEL.AQ,2023-05-13 14:00:00+01:00,2023-05-13 15:00:00+01:00,2023-05-13 07:22:11+01:00,2023-05-13 15:38:40+01:00,0.175,1,3,115,mg/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SPO-BETR501_00010_100,BE.CELINE-IRCEL.AQ,4.45217178104986,50.40931145241382,EPSG:4979,BETR501,STA-BETR501,45R501 - CHARLEROI,BE.CELINE-IRCEL.AQ,2023-05-13 15:00:00+01:00,2023-05-13 16:00:00+01:00,2023-05-13 07:22:11+01:00,2023-05-13 16:39:58+01:00,0.185,1,3,115,mg/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SPO-BETR501_00010_100,BE.CELINE-IRCEL.AQ,4.45217178104986,50.40931145241382,EPSG:4979,BETR501,STA-BETR501,45R501 - CHARLEROI,BE.CELINE-IRCEL.AQ,2023-05-13 16:00:00+01:00,2023-05-13 17:00:00+01:00,2023-05-13 07:22:11+01:00,2023-05-13 17:35:41+01:00,0.22,1,3,115,mg/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SPO-BETR501_00010_100,BE.CELINE-IRCEL.AQ,4.45217178104986,50.40931145241382,EPSG:4979,BETR501,STA-BETR501,45R501 - CHARLEROI,BE.CELINE-IRCEL.AQ,2023-05-13 17:00:00+01:00,2023-05-13 18:00:00+01:00,2023-05-13 07:22:11+01:00,2023-05-13 18:43:24+01:00,0.21,1,3,115,mg/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SPO-BETR501_00010_100,BE.CELINE-IRCEL.AQ,4.45217178104986,50.40931145241382,EPSG:4979,BETR501,STA-BETR501,45R501 - CHARLEROI,BE.CELINE-IRCEL.AQ,2023-05-13 18:00:00+01:00,2023-05-13 19:00:00+01:00,2023-05-13 07:22:11+01:00,2023-05-13 19:36:35+01:00,0.205,1,3,115,mg/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SPO-BETR501_00010_100,BE.CELINE-IRCEL.AQ,4.45217178104986,50.40931145241382,EPSG:4979,BETR501,STA-BETR501,45R501 - CHARLEROI,BE.CELINE-IRCEL.AQ,2023-05-13 19:00:00+01:00,2023-05-13 20:00:00+01:00,2023-05-13 07:22:11+01:00,2023-05-13 20:38:30+01:00,0.195,1,3,115,mg/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SPO-BETR501_00010_100,BE.CELINE-IRCEL.AQ,4.45217178104986,50.40931145241382,EPSG:4979,BETR501,STA-BETR501,45R501 - CHARLEROI,BE.CELINE-IRCEL.AQ,2023-05-13 20:00:00+01:00,2023-05-13 21:00:00+01:00,2023-05-13 07:22:11+01:00,2023-05-13 21:36:12+01:00,0.205,1,3,115,mg/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SPO-BETR501_00010_100,BE.CELINE-IRCEL.AQ,4.45217178104986,50.40931145241382,EPSG:4979,BETR501,STA-BETR501,45R501 - CHARLEROI,BE.CELINE-IRCEL.AQ,2023-05-13 21:00:00+01:00,2023-05-13 22:00:00+01:00,2023-05-13 07:22:11+01:00,2023-05-13 22:38:40+01:00,0.195,1,3,115,mg/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SPO-BETR501_00010_100,BE.CELINE-IRCEL.AQ,4.45217178104986,50.40931145241382,EPSG:4979,BETR501,STA-BETR501,45R501 - CHARLEROI,BE.CELINE-IRCEL.AQ,2023-05-13 22:00:00+01:00,2023-05-13 23:00:00+01:00,2023-05-13 07:22:11+01:00,2023-05-13 23:42:42+01:00,0.22,1,3,115,mg/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SPO-BETR501_00010_100,BE.CELINE-IRCEL.AQ,4.45217178104986,50.40931145241382,EPSG:4979,BETR501,STA-BETR501,45R501 - CHARLEROI,BE.CELINE-IRCEL.AQ,2023-05-13 23:00:00+01:00,2023-05-14 00:00:00+01:00,2023-05-13 07:22:12+01:00,2023-05-14 01:12:06+01:00,0.255,1,3,115,mg/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SPO-BETN132_00010_100,BE.CELINE-IRCEL.AQ,5.630397740609139,49.71928118828181,EPSG:4979,BETN132,STA-BETN132,43N132 - HABAY-LA-N.,BE.CELINE-IRCEL.AQ,2023-05-13 13:00:00+01:00,2023-05-13 14:00:00+01:00,2023-05-13 07:22:38+01:00,2023-05-13 14:38:02+01:00,0.14,1,3,375,mg/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SPO-BETN132_00010_100,BE.CELINE-IRCEL.AQ,5.630397740609139,49.71928118828181,EPSG:4979,BETN132,STA-BETN132,43N132 - HABAY-LA-N.,BE.CELINE-IRCEL.AQ,2023-05-13 14:00:00+01:00,2023-05-13 15:00:00+01:00,2023-05-13 07:22:38+01:00,2023-05-13 15:38:45+01:00,0.145,1,3,375,mg/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SPO-BETN132_00010_100,BE.CELINE-IRCEL.AQ,5.630397740609139,49.71928118828181,EPSG:4979,BETN132,STA-BETN132,43N132 - HABAY-LA-N.,BE.CELINE-IRCEL.AQ,2023-05-13 15:00:00+01:00,2023-05-13 16:00:00+01:00,2023-05-13 07:22:38+01:00,2023-05-13 16:40:03+01:00,0.15,1,3,375,mg/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SPO-BETN132_00010_100,BE.CELINE-IRCEL.AQ,5.630397740609139,49.71928118828181,EPSG:4979,BETN132,STA-BETN132,43N132 - HABAY-LA-N.,BE.CELINE-IRCEL.AQ,2023-05-13 16:00:00+01:00,2023-05-13 17:00:00+01:00,2023-05-13 07:22:38+01:00,2023-05-13 17:35:46+01:00,0.15,1,3,375,mg/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SPO-BETN132_00010_100,BE.CELINE-IRCEL.AQ,5.630397740609139,49.71928118828181,EPSG:4979,BETN132,STA-BETN132,43N132 - HABAY-LA-N.,BE.CELINE-IRCEL.AQ,2023-05-13 17:00:00+01:00,2023-05-13 18:00:00+01:00,2023-05-13 07:22:38+01:00,2023-05-13 18:43:29+01:00,0.15,1,3,375,mg/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SPO-BETN132_00010_100,BE.CELINE-IRCEL.AQ,5.630397740609139,49.71928118828181,EPSG:4979,BETN132,STA-BETN132,43N132 - HABAY-LA-N.,BE.CELINE-IRCEL.AQ,2023-05-13 18:00:00+01:00,2023-05-13 19:00:00+01:00,2023-05-13 07:22:38+01:00,2023-05-13 19:36:46+01:00,0.15,1,3,375,mg/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SPO-BETN132_00010_100,BE.CELINE-IRCEL.AQ,5.630397740609139,49.71928118828181,EPSG:4979,BETN132,STA-BETN132,43N132 - HABAY-LA-N.,BE.CELINE-IRCEL.AQ,2023-05-13 19:00:00+01:00,2023-05-13 20:00:00+01:00,2023-05-13 07:22:38+01:00,2023-05-13 20:38:35+01:00,0.155,1,3,375,mg/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SPO-BETN132_00010_100,BE.CELINE-IRCEL.AQ,5.630397740609139,49.71928118828181,EPSG:4979,BETN132,STA-BETN132,43N132 - HABAY-LA-N.,BE.CELINE-IRCEL.AQ,2023-05-13 20:00:00+01:00,2023-05-13 21:00:00+01:00,2023-05-13 07:22:38+01:00,2023-05-13 21:36:18+01:00,0.155,1,3,375,mg/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SPO-BETN132_00010_100,BE.CELINE-IRCEL.AQ,5.630397740609139,49.71928118828181,EPSG:4979,BETN132,STA-BETN132,43N132 - HABAY-LA-N.,BE.CELINE-IRCEL.AQ,2023-05-13 21:00:00+01:00,2023-05-13 22:00:00+01:00,2023-05-13 07:22:38+01:00,2023-05-13 22:38:44+01:00,0.15,1,3,375,mg/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SPO-BETN132_00010_100,BE.CELINE-IRCEL.AQ,5.630397740609139,49.71928118828181,EPSG:4979,BETN132,STA-BETN132,43N132 - HABAY-LA-N.,BE.CELINE-IRCEL.AQ,2023-05-13 22:00:00+01:00,2023-05-13 23:00:00+01:00,2023-05-13 07:22:38+01:00,2023-05-13 23:42:58+01:00,0.15,1,3,375,mg/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SPO-BETN132_00010_100,BE.CELINE-IRCEL.AQ,5.630397740609139,49.71928118828181,EPSG:4979,BETN132,STA-BETN132,43N132 - HABAY-LA-N.,BE.CELINE-IRCEL.AQ,2023-05-13 23:00:00+01:00,2023-05-14 00:00:00+01:00,2023-05-13 07:22:38+01:00,2023-05-14 01:12:15+01:00,0.145,1,3,375,mg/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SPO-BETR501_00010_100,BE.CELINE-IRCEL.AQ,4.45217178104986,50.40931145241382,EPSG:4979,BETR501,STA-BETR501,45R501 - CHARLEROI,BE.CELINE-IRCEL.AQ,2023-05-14 00:00:00+01:00,2023-05-14 01:00:00+01:00,2023-05-13 07:22:12+01:00,2023-05-14 01:43:57+01:00,0.24,1,3,115,mg/m3
