network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR502_00007_100,BE.CELINE-IRCEL.AQ,4.45868085802172,50.42899539329509,EPSG:4979,BETR502,STA-BETR502,45R502 - LODELINSART,BE.CELINE-IRCEL.AQ,2023-05-13 13:00:00+01:00,2023-05-13 14:00:00+01:00,2023-05-13 07:21:29+01:00,2023-05-13 14:37:44+01:00,112,1,3,135,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR502_00007_100,BE.CELINE-IRCEL.AQ,4.45868085802172,50.42899539329509,EPSG:4979,BETR502,STA-BETR502,45R502 - LODELINSART,BE.CELINE-IRCEL.AQ,2023-05-13 14:00:00+01:00,2023-05-13 15:00:00+01:00,2023-05-13 07:21:29+01:00,2023-05-13 15:38:32+01:00,115,1,3,135,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR502_00007_100,BE.CELINE-IRCEL.AQ,4.45868085802172,50.42899539329509,EPSG:4979,BETR502,STA-BETR502,45R502 - LODELINSART,BE.CELINE-IRCEL.AQ,2023-05-13 15:00:00+01:00,2023-05-13 16:00:00+01:00,2023-05-13 07:21:29+01:00,2023-05-13 16:39:50+01:00,116.5,1,3,135,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR502_00007_100,BE.CELINE-IRCEL.AQ,4.45868085802172,50.42899539329509,EPSG:4979,BETR502,STA-BETR502,45R502 - LODELINSART,BE.CELINE-IRCEL.AQ,2023-05-13 16:00:00+01:00,2023-05-13 17:00:00+01:00,2023-05-13 07:21:29+01:00,2023-05-13 17:35:33+01:00,113.5,1,3,135,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR502_00007_100,BE.CELINE-IRCEL.AQ,4.45868085802172,50.42899539329509,EPSG:4979,BETR502,STA-BETR502,45R502 - LODELINSART,BE.CELINE-IRCEL.AQ,2023-05-13 17:00:00+01:00,2023-05-13 18:00:00+01:00,2023-05-13 07:21:29+01:00,2023-05-13 18:43:17+01:00,104,1,3,135,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR502_00007_100,BE.CELINE-IRCEL.AQ,4.45868085802172,50.42899539329509,EPSG:4979,BETR502,STA-BETR502,45R502 - LODELINSART,BE.CELINE-IRCEL.AQ,2023-05-13 18:00:00+01:00,2023-05-13 19:00:00+01:00,2023-05-13 07:21:29+01:00,2023-05-13 19:36:09+01:00,102.5,1,3,135,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR502_00007_100,BE.CELINE-IRCEL.AQ,4.45868085802172,50.42899539329509,EPSG:4979,BETR502,STA-BETR502,45R502 - LODELINSART,BE.CELINE-IRCEL.AQ,2023-05-13 19:00:00+01:00,2023-05-13 20:00:00+01:00,2023-05-13 07:21:29+01:00,2023-05-13 20:38:23+01:00,85,1,3,135,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR502_00007_100,BE.CELINE-IRCEL.AQ,4.45868085802172,50.42899539329509,EPSG:4979,BETR502,STA-BETR502,45R502 - LODELINSART,BE.CELINE-IRCEL.AQ,2023-05-13 20:00:00+01:00,2023-05-13 21:00:00+01:00,2023-05-13 07:21:29+01:00,2023-05-13 21:35:58+01:00,84.5,1,3,135,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR502_00007_100,BE.CELINE-IRCEL.AQ,4.45868085802172,50.42899539329509,EPSG:4979,BETR502,STA-BETR502,45R502 - LODELINSART,BE.CELINE-IRCEL.AQ,2023-05-13 21:00:00+01:00,2023-05-13 22:00:00+01:00,2023-05-13 07:21:29+01:00,2023-05-13 22:38:32+01:00,77,1,3,135,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR502_00007_100,BE.CELINE-IRCEL.AQ,4.45868085802172,50.42899539329509,EPSG:4979,BETR502,STA-BETR502,45R502 - LODELINSART,BE.CELINE-IRCEL.AQ,2023-05-13 22:00:00+01:00,2023-05-13 23:00:00+01:00,2023-05-13 07:21:29+01:00,2023-05-13 23:42:24+01:00,63,1,3,135,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR502_00007_100,BE.CELINE-IRCEL.AQ,4.45868085802172,50.42899539329509,EPSG:4979,BETR502,STA-BETR502,45R502 - LODELINSART,BE.CELINE-IRCEL.AQ,2023-05-13 23:00:00+01:00,2023-05-14 00:00:00+01:00,2023-05-13 07:21:29+01:00,2023-05-14 01:11:52+01:00,54.5,1,3,135,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETN012_00007_100,BE.CELINE-IRCEL.AQ,3.3625358887015997,51.25457362283284,EPSG:4979,BETN012,STA-BETN012,44N012 - MOERKERKE,BE.CELINE-IRCEL.AQ,2023-05-13 13:00:00+01:00,2023-05-13 14:00:00+01:00,2023-05-13 07:21:59+01:00,2023-05-13 14:37:51+01:00,100,1,3,3,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETN012_00007_100,BE.CELINE-IRCEL.AQ,3.3625358887015997,51.25457362283284,EPSG:4979,BETN012,STA-BETN012,44N012 - MOERKERKE,BE.CELINE-IRCEL.AQ,2023-05-13 14:00:00+01:00,2023-05-13 15:00:00+01:00,2023-05-13 07:21:59+01:00,2023-05-13 15:38:37+01:00,101.5,1,3,3,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETN012_00007_100,BE.CELINE-IRCEL.AQ,3.3625358887015997,51.25457362283284,EPSG:4979,BETN012,STA-BETN012,44N012 - MOERKERKE,BE.CELINE-IRCEL.AQ,2023-05-13 15:00:00+01:00,2023-05-13 16:00:00+01:00,2023-05-13 07:21:59+01:00,2023-05-13 16:39:55+01:00,103.5,1,3,3,ug/m3
