network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR834_00005_100,BE.CELINE-IRCEL.AQ,4.380103544882489,51.092000037901386,EPSG:4979,BETR834,STA-BETR834,42R834 - Boom,BE.CELINE-IRCEL.AQ,2023-05-13 13:00:00+01:00,2023-05-13 14:00:00+01:00,2023-05-13 07:19:33+01:00,2023-05-13 14:37:04+01:00,23.4,1,3,0,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR834_00005_100,BE.CELINE-IRCEL.AQ,4.380103544882489,51.092000037901386,EPSG:4979,BETR834,STA-BETR834,42R834 - Boom,BE.CELINE-IRCEL.AQ,2023-05-13 14:00:00+01:00,2023-05-13 15:00:00+01:00,2023-05-13 07:19:33+01:00,2023-05-13 15:38:13+01:00,21.4,1,3,0,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR834_00005_100,BE.CELINE-IRCEL.AQ,4.380103544882489,51.092000037901386,EPSG:4979,BETR834,STA-BETR834,42R834 - Boom,BE.CELINE-IRCEL.AQ,2023-05-13 15:00:00+01:00,2023-05-13 16:00:00+01:00,2023-05-13 07:19:33+01:00,2023-05-13 16:39:31+01:00,22.4,1,3,0,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR834_00005_100,BE.CELINE-IRCEL.AQ,4.380103544882489,51.092000037901386,EPSG:4979,BETR834,STA-BETR834,42R834 - Boom,BE.CELINE-IRCEL.AQ,2023-05-13 16:00:00+01:00,2023-05-13 17:00:00+01:00,2023-05-13 07:19:33+01:00,2023-05-13 17:35:14+01:00,18.4,1,3,0,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR834_00005_100,BE.CELINE-IRCEL.AQ,4.380103544882489,51.092000037901386,EPSG:4979,BETR834,STA-BETR834,42R834 - Boom,BE.CELINE-IRCEL.AQ,2023-05-13 17:00:00+01:00,2023-05-13 18:00:00+01:00,2023-05-13 07:19:33+01:00,2023-05-13 18:43:01+01:00,24.9,1,3,0,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR834_00005_100,BE.CELINE-IRCEL.AQ,4.380103544882489,51.092000037901386,EPSG:4979,BETR834,STA-BETR834,42R834 - Boom,BE.CELINE-IRCEL.AQ,2023-05-13 18:00:00+01:00,2023-05-13 19:00:00+01:00,2023-05-13 07:19:33+01:00,2023-05-13 19:35:21+01:00,31.4,1,3,0,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR834_00005_100,BE.CELINE-IRCEL.AQ,4.380103544882489,51.092000037901386,EPSG:4979,BETR834,STA-BETR834,42R834 - Boom,BE.CELINE-IRCEL.AQ,2023-05-13 19:00:00+01:00,2023-05-13 20:00:00+01:00,2023-05-13 07:19:33+01:00,2023-05-13 20:38:09+01:00,31.4,1,3,0,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR834_00005_100,BE.CELINE-IRCEL.AQ,4.380103544882489,51.092000037901386,EPSG:4979,BETR834,STA-BETR834,42R834 - Boom,BE.CELINE-IRCEL.AQ,2023-05-13 20:00:00+01:00,2023-05-13 21:00:00+01:00,2023-05-13 07:19:33+01:00,2023-05-13 21:35:17+01:00,31.4,1,3,0,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR834_00005_100,BE.CELINE-IRCEL.AQ,4.380103544882489,51.092000037901386,EPSG:4979,BETR834,STA-BETR834,42R834 - Boom,BE.CELINE-IRCEL.AQ,2023-05-13 21:00:00+01:00,2023-05-13 22:00:00+01:00,2023-05-13 07:19:33+01:00,2023-05-13 22:38:12+01:00,35.4,1,3,0,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR834_00005_100,BE.CELINE-IRCEL.AQ,4.380103544882489,51.092000037901386,EPSG:4979,BETR834,STA-BETR834,42R834 - Boom,BE.CELINE-IRCEL.AQ,2023-05-13 22:00:00+01:00,2023-05-13 23:00:00+01:00,2023-05-13 07:19:33+01:00,2023-05-13 23:41:32+01:00,36.9,1,3,0,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR834_00005_100,BE.CELINE-IRCEL.AQ,4.380103544882489,51.092000037901386,EPSG:4979,BETR834,STA-BETR834,42R834 - Boom,BE.CELINE-IRCEL.AQ,2023-05-13 23:00:00+01:00,2023-05-14 00:00:00+01:00,2023-05-13 07:19:33+01:00,2023-05-14 01:11:18+01:00,41.4,1,3,0,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR802_00005_100,BE.CELINE-IRCEL.AQ,4.43179223079244,51.20951873198004,EPSG:4979,BETR802,STA-BETR802,42R802 - BORGERHOUT,BE.CELINE-IRCEL.AQ,2023-05-13 13:00:00+01:00,2023-05-13 14:00:00+01:00,2023-05-13 07:20:36+01:00,2023-05-13 14:37:32+01:00,26.9,1,3,6,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR802_00005_100,BE.CELINE-IRCEL.AQ,4.43179223079244,51.20951873198004,EPSG:4979,BETR802,STA-BETR802,42R802 - BORGERHOUT,BE.CELINE-IRCEL.AQ,2023-05-13 14:00:00+01:00,2023-05-13 15:00:00+01:00,2023-05-13 07:20:36+01:00,2023-05-13 15:38:23+01:00,30.4,1,3,6,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR802_00005_100,BE.CELINE-IRCEL.AQ,4.43179223079244,51.20951873198004,EPSG:4979,BETR802,STA-BETR802,42R802 - BORGERHOUT,BE.CELINE-IRCEL.AQ,2023-05-13 15:00:00+01:00,2023-05-13 16:00:00+01:00,2023-05-13 07:20:36+01:00,2023-05-13 16:39:42+01:00,27.9,1,3,6,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR802_00005_100,BE.CELINE-IRCEL.AQ,4.43179223079244,51.20951873198004,EPSG:4979,BETR802,STA-BETR802,42R802 - BORGERHOUT,BE.CELINE-IRCEL.AQ,2023-05-13 16:00:00+01:00,2023-05-13 17:00:00+01:00,2023-05-13 07:20:36+01:00,2023-05-13 17:35:26+01:00,23.9,1,3,6,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR802_00005_100,BE.CELINE-IRCEL.AQ,4.43179223079244,51.20951873198004,EPSG:4979,BETR802,STA-BETR802,42R802 - BORGERHOUT,BE.CELINE-IRCEL.AQ,2023-05-13 17:00:00+01:00,2023-05-13 18:00:00+01:00,2023-05-13 07:20:36+01:00,2023-05-13 18:43:10+01:00,35.4,1,3,6,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR802_00005_100,BE.CELINE-IRCEL.AQ,4.43179223079244,51.20951873198004,EPSG:4979,BETR802,STA-BETR802,42R802 - BORGERHOUT,BE.CELINE-IRCEL.AQ,2023-05-13 18:00:00+01:00,2023-05-13 19:00:00+01:00,2023-05-13 07:20:36+01:00,2023-05-13 19:35:44+01:00,41.9,1,3,6,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR802_00005_100,BE.CELINE-IRCEL.AQ,4.43179223079244,51.20951873198004,EPSG:4979,BETR802,STA-BETR802,42R802 - BORGERHOUT,BE.CELINE-IRCEL.AQ,2023-05-13 19:00:00+01:00,2023-05-13 20:00:00+01:00,2023-05-13 07:20:37+01:00,2023-05-13 20:38:17+01:00,41.4,1,3,6,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR802_00005_100,BE.CELINE-IRCEL.AQ,4.43179223079244,51.20951873198004,EPSG:4979,BETR802,STA-BETR802,42R802 - BORGERHOUT,BE.CELINE-IRCEL.AQ,2023-05-13 20:00:00+01:00,2023-05-13 21:00:00+01:00,2023-05-13 07:20:37+01:00,2023-05-13 21:35:44+01:00,42.4,1,3,6,ug/m3
