network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_PPRMA_SO2_1632205,CZ.CHMI-Prague-Komorany.AQ,12.677884101867676,49.66958236694335,EPSG:4979,CZ0PPRM,STA.CZ_PPRM,Primda,CZ.CHMI-Prague-Komorany.AQ,2023-05-14 18:00:00+01:00,2023-05-14 19:00:00+01:00,2023-05-15 01:06:24+01:00,+01:00,1.68,1,3,740,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_PPRMA_SO2_1632205,CZ.CHMI-Prague-Komorany.AQ,12.677884101867676,49.66958236694335,EPSG:4979,CZ0PPRM,STA.CZ_PPRM,Primda,CZ.CHMI-Prague-Komorany.AQ,2023-05-14 19:00:00+01:00,2023-05-14 20:00:00+01:00,2023-05-15 01:31:37+01:00,+01:00,1.81,1,3,740,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_PPRMA_SO2_1632205,CZ.CHMI-Prague-Komorany.AQ,12.677884101867676,49.66958236694335,EPSG:4979,CZ0PPRM,STA.CZ_PPRM,Primda,CZ.CHMI-Prague-Komorany.AQ,2023-05-14 20:00:00+01:00,2023-05-14 21:00:00+01:00,2023-05-15 02:06:03+01:00,+01:00,1.84,1,3,740,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_PPRMA_SO2_1632205,CZ.CHMI-Prague-Komorany.AQ,12.677884101867676,49.66958236694335,EPSG:4979,CZ0PPRM,STA.CZ_PPRM,Primda,CZ.CHMI-Prague-Komorany.AQ,2023-05-14 21:00:00+01:00,2023-05-14 22:00:00+01:00,2023-05-15 02:13:38+01:00,+01:00,1.62,1,3,740,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_PPRMA_SO2_1632205,CZ.CHMI-Prague-Komorany.AQ,12.677884101867676,49.66958236694335,EPSG:4979,CZ0PPRM,STA.CZ_PPRM,Primda,CZ.CHMI-Prague-Komorany.AQ,2023-05-14 22:00:00+01:00,2023-05-14 23:00:00+01:00,2023-05-15 02:27:43+01:00,+01:00,1.68,1,3,740,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_PPRMA_SO2_1632205,CZ.CHMI-Prague-Komorany.AQ,12.677884101867676,49.66958236694335,EPSG:4979,CZ0PPRM,STA.CZ_PPRM,Primda,CZ.CHMI-Prague-Komorany.AQ,2023-05-14 23:00:00+01:00,2023-05-15 00:00:00+01:00,2023-05-15 02:37:13+01:00,+01:00,1.62,1,3,740,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_PPRMA_SO2_1632205,CZ.CHMI-Prague-Komorany.AQ,12.677884101867676,49.66958236694335,EPSG:4979,CZ0PPRM,STA.CZ_PPRM,Primda,CZ.CHMI-Prague-Komorany.AQ,2023-05-15 00:00:00+01:00,2023-05-15 01:00:00+01:00,2023-05-15 02:44:56+01:00,+01:00,1.65,1,3,740,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_PPRMA_SO2_1632205,CZ.CHMI-Prague-Komorany.AQ,12.677884101867676,49.66958236694335,EPSG:4979,CZ0PPRM,STA.CZ_PPRM,Primda,CZ.CHMI-Prague-Komorany.AQ,2023-05-15 01:00:00+01:00,2023-05-15 02:00:00+01:00,2023-05-15 04:05:58+01:00,+01:00,1.68,1,3,740,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_PPRMA_SO2_1632205,CZ.CHMI-Prague-Komorany.AQ,12.677884101867676,49.66958236694335,EPSG:4979,CZ0PPRM,STA.CZ_PPRM,Primda,CZ.CHMI-Prague-Komorany.AQ,2023-05-15 02:00:00+01:00,2023-05-15 03:00:00+01:00,2023-05-15 04:44:10+01:00,+01:00,1.65,1,3,740,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO.CZ_PPRMA_SO2_1632205,CZ.CHMI-Prague-Komorany.AQ,12.677884101867676,49.66958236694335,EPSG:4979,CZ0PPRM,STA.CZ_PPRM,Primda,CZ.CHMI-Prague-Komorany.AQ,2023-05-15 03:00:00+01:00,2023-05-15 04:00:00+01:00,2023-05-15 06:37:00+01:00,+01:00,1.78,1,3,740,ug/m3
