network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
ES,NET_ES201A,CCAA Andalucía,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_21041015_6_48,ES.BDCA.AQD,-6.94219,37.252579999999995,EPSG:4979,ES1328A,STA_ES1328A,MARISMAS DEL TITÁN,ES.BDCA.AQD,2023-05-14 03:00:00+01:00,2023-05-14 04:00:00+01:00,2023-05-14 02:44:09+01:00,2023-05-14 06:12:00+01:00,0.78,1,3,17,mg/m3
ES,NET_ES201A,CCAA Andalucía,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_21041015_6_48,ES.BDCA.AQD,-6.94219,37.252579999999995,EPSG:4979,ES1328A,STA_ES1328A,MARISMAS DEL TITÁN,ES.BDCA.AQD,2023-05-14 04:00:00+01:00,2023-05-14 05:00:00+01:00,2023-05-14 05:13:09+01:00,2023-05-14 06:12:00+01:00,0.772,1,3,17,mg/m3
ES,NET_ES201A,CCAA Andalucía,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_21041015_6_48,ES.BDCA.AQD,-6.94219,37.252579999999995,EPSG:4979,ES1328A,STA_ES1328A,MARISMAS DEL TITÁN,ES.BDCA.AQD,2023-05-14 05:00:00+01:00,2023-05-14 06:00:00+01:00,2023-05-14 05:13:09+01:00,2023-05-14 07:25:57+01:00,0.838,1,3,17,mg/m3
ES,NET_ES205A,CCAA Islas Canarias,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_38038021_6_48,ES.BDCA.AQD,-16.27662,28.461787999999995,EPSG:4979,ES1976A,STA_ES1976A,VUELTA LOS PÁJAROS-STA CRUZ DE TF,ES.BDCA.AQD,2023-05-14 07:00:00+01:00,2023-05-14 08:00:00+01:00,2023-05-14 07:24:03+01:00,2023-05-14 09:11:57+01:00,0.1,1,3,158,mg/m3
ES,NET_ES205A,CCAA Islas Canarias,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_38038021_6_48,ES.BDCA.AQD,-16.27662,28.461787999999995,EPSG:4979,ES1976A,STA_ES1976A,VUELTA LOS PÁJAROS-STA CRUZ DE TF,ES.BDCA.AQD,2023-05-14 08:00:00+01:00,2023-05-14 09:00:00+01:00,2023-05-14 08:15:55+01:00,2023-05-14 09:44:55+01:00,0.1,1,3,158,mg/m3
ES,NET_ES205A,CCAA Islas Canarias,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_38038021_6_48,ES.BDCA.AQD,-16.27662,28.461787999999995,EPSG:4979,ES1976A,STA_ES1976A,VUELTA LOS PÁJAROS-STA CRUZ DE TF,ES.BDCA.AQD,2023-05-14 09:00:00+01:00,2023-05-14 10:00:00+01:00,2023-05-14 09:11:57+01:00,2023-05-14 11:34:55+01:00,0.1,1,3,158,mg/m3
ES,NET_ES205A,CCAA Islas Canarias,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_38038021_6_48,ES.BDCA.AQD,-16.27662,28.461787999999995,EPSG:4979,ES1976A,STA_ES1976A,VUELTA LOS PÁJAROS-STA CRUZ DE TF,ES.BDCA.AQD,2023-05-14 10:00:00+01:00,2023-05-14 11:00:00+01:00,2023-05-14 09:44:55+01:00,2023-05-14 12:31:36+01:00,0.1,1,3,158,mg/m3
ES,NET_ES205A,CCAA Islas Canarias,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_38038021_6_48,ES.BDCA.AQD,-16.27662,28.461787999999995,EPSG:4979,ES1976A,STA_ES1976A,VUELTA LOS PÁJAROS-STA CRUZ DE TF,ES.BDCA.AQD,2023-05-14 11:00:00+01:00,2023-05-14 12:00:00+01:00,2023-05-14 11:34:55+01:00,2023-05-14 13:10:25+01:00,0.1,1,3,158,mg/m3
ES,NET_ES205A,CCAA Islas Canarias,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_38038021_6_48,ES.BDCA.AQD,-16.27662,28.461787999999995,EPSG:4979,ES1976A,STA_ES1976A,VUELTA LOS PÁJAROS-STA CRUZ DE TF,ES.BDCA.AQD,2023-05-14 12:00:00+01:00,2023-05-14 13:00:00+01:00,2023-05-14 12:31:36+01:00,2023-05-14 14:13:55+01:00,0.1,1,3,158,mg/m3
ES,NET_ES205A,CCAA Islas Canarias,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_38038021_6_48,ES.BDCA.AQD,-16.27662,28.461787999999995,EPSG:4979,ES1976A,STA_ES1976A,VUELTA LOS PÁJAROS-STA CRUZ DE TF,ES.BDCA.AQD,2023-05-14 13:00:00+01:00,2023-05-14 14:00:00+01:00,2023-05-14 13:10:25+01:00,2023-05-14 15:21:31+01:00,0.1,1,3,158,mg/m3
ES,NET_ES205A,CCAA Islas Canarias,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_38038021_6_48,ES.BDCA.AQD,-16.27662,28.461787999999995,EPSG:4979,ES1976A,STA_ES1976A,VUELTA LOS PÁJAROS-STA CRUZ DE TF,ES.BDCA.AQD,2023-05-14 14:00:00+01:00,2023-05-14 15:00:00+01:00,2023-05-14 14:13:55+01:00,2023-05-14 16:22:37+01:00,0.1,1,3,158,mg/m3
ES,NET_ES205A,CCAA Islas Canarias,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_38038021_6_48,ES.BDCA.AQD,-16.27662,28.461787999999995,EPSG:4979,ES1976A,STA_ES1976A,VUELTA LOS PÁJAROS-STA CRUZ DE TF,ES.BDCA.AQD,2023-05-14 15:00:00+01:00,2023-05-14 16:00:00+01:00,2023-05-14 15:21:30+01:00,2023-05-14 17:00:00+01:00,0.2,1,3,158,mg/m3
ES,NET_ES205A,CCAA Islas Canarias,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_38038021_6_48,ES.BDCA.AQD,-16.27662,28.461787999999995,EPSG:4979,ES1976A,STA_ES1976A,VUELTA LOS PÁJAROS-STA CRUZ DE TF,ES.BDCA.AQD,2023-05-14 16:00:00+01:00,2023-05-14 17:00:00+01:00,2023-05-14 16:22:36+01:00,2023-05-14 18:42:18+01:00,0.3,1,3,158,mg/m3
ES,NET_ES205A,CCAA Islas Canarias,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_38038021_6_48,ES.BDCA.AQD,-16.27662,28.461787999999995,EPSG:4979,ES1976A,STA_ES1976A,VUELTA LOS PÁJAROS-STA CRUZ DE TF,ES.BDCA.AQD,2023-05-14 17:00:00+01:00,2023-05-14 18:00:00+01:00,2023-05-14 17:00:00+01:00,2023-05-14 19:26:10+01:00,0.1,1,3,158,mg/m3
