network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
SE,NET-SE0005C,Naturvårdsverket,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-SE0108A_00007_100,SE.NV.AQ,18.077415999999996,59.399354999530004,EPSG:4979,SE0108A,STA-SE0108A,Djursholm Vasaskolan,SE.NV.AQ,2023-05-21 04:00:00+01:00,2023-05-21 05:00:00+01:00,2023-05-21 05:17:16+01:00,+01:00,14.1,1,3,11,ug/m3
SE,NET-SE0005C,Naturvårdsverket,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-SE0108A_00007_100,SE.NV.AQ,18.077415999999996,59.399354999530004,EPSG:4979,SE0108A,STA-SE0108A,Djursholm Vasaskolan,SE.NV.AQ,2023-05-21 05:00:00+01:00,2023-05-21 06:00:00+01:00,2023-05-21 06:38:31+01:00,+01:00,32.5,1,3,11,ug/m3
SE,NET-SE0005C,Naturvårdsverket,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-SE0108A_00007_100,SE.NV.AQ,18.077415999999996,59.399354999530004,EPSG:4979,SE0108A,STA-SE0108A,Djursholm Vasaskolan,SE.NV.AQ,2023-05-21 06:00:00+01:00,2023-05-21 07:00:00+01:00,2023-05-21 07:38:14+01:00,+01:00,45.2,1,3,11,ug/m3
SE,NET-SE0005C,Naturvårdsverket,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-SE0108A_00007_100,SE.NV.AQ,18.077415999999996,59.399354999530004,EPSG:4979,SE0108A,STA-SE0108A,Djursholm Vasaskolan,SE.NV.AQ,2023-05-21 07:00:00+01:00,2023-05-21 08:00:00+01:00,2023-05-21 08:17:25+01:00,+01:00,53.3,1,3,11,ug/m3
SE,NET-SE0005C,Naturvårdsverket,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-SE0108A_00007_100,SE.NV.AQ,18.077415999999996,59.399354999530004,EPSG:4979,SE0108A,STA-SE0108A,Djursholm Vasaskolan,SE.NV.AQ,2023-05-21 08:00:00+01:00,2023-05-21 09:00:00+01:00,2023-05-21 09:17:13+01:00,+01:00,62.1,1,3,11,ug/m3
SE,NET-SE0005C,Naturvårdsverket,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-SE0108A_00007_100,SE.NV.AQ,18.077415999999996,59.399354999530004,EPSG:4979,SE0108A,STA-SE0108A,Djursholm Vasaskolan,SE.NV.AQ,2023-05-21 09:00:00+01:00,2023-05-21 10:00:00+01:00,2023-05-21 10:38:43+01:00,+01:00,76.4,1,3,11,ug/m3
SE,NET-SE0005C,Naturvårdsverket,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-SE0108A_00007_100,SE.NV.AQ,18.077415999999996,59.399354999530004,EPSG:4979,SE0108A,STA-SE0108A,Djursholm Vasaskolan,SE.NV.AQ,2023-05-21 10:00:00+01:00,2023-05-21 11:00:00+01:00,2023-05-21 11:38:13+01:00,+01:00,84.2,1,3,11,ug/m3
SE,NET-SE0005C,Naturvårdsverket,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-SE0108A_00007_100,SE.NV.AQ,18.077415999999996,59.399354999530004,EPSG:4979,SE0108A,STA-SE0108A,Djursholm Vasaskolan,SE.NV.AQ,2023-05-21 11:00:00+01:00,2023-05-21 12:00:00+01:00,2023-05-21 12:17:13+01:00,+01:00,89.2,1,3,11,ug/m3
SE,NET-SE0005C,Naturvårdsverket,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-SE0108A_00007_100,SE.NV.AQ,18.077415999999996,59.399354999530004,EPSG:4979,SE0108A,STA-SE0108A,Djursholm Vasaskolan,SE.NV.AQ,2023-05-21 12:00:00+01:00,2023-05-21 13:00:00+01:00,2023-05-21 13:38:31+01:00,+01:00,88.5,1,3,11,ug/m3
SE,NET-SE0005C,Naturvårdsverket,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-SE0108A_00007_100,SE.NV.AQ,18.077415999999996,59.399354999530004,EPSG:4979,SE0108A,STA-SE0108A,Djursholm Vasaskolan,SE.NV.AQ,2023-05-21 13:00:00+01:00,2023-05-21 14:00:00+01:00,2023-05-21 14:38:13+01:00,+01:00,94.4,1,3,11,ug/m3
SE,NET-SE0005C,Naturvårdsverket,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-SE0108A_00007_100,SE.NV.AQ,18.077415999999996,59.399354999530004,EPSG:4979,SE0108A,STA-SE0108A,Djursholm Vasaskolan,SE.NV.AQ,2023-05-21 14:00:00+01:00,2023-05-21 15:00:00+01:00,2023-05-21 15:38:35+01:00,+01:00,98.3,1,3,11,ug/m3
SE,NET-SE0005C,Naturvårdsverket,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-SE0108A_00007_100,SE.NV.AQ,18.077415999999996,59.399354999530004,EPSG:4979,SE0108A,STA-SE0108A,Djursholm Vasaskolan,SE.NV.AQ,2023-05-21 15:00:00+01:00,2023-05-21 16:00:00+01:00,2023-05-21 16:38:13+01:00,+01:00,99.9,1,3,11,ug/m3
SE,NET-SE0005C,Naturvårdsverket,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-SE0032R_00007_100,SE.NV.AQ,15.564736000000002,57.81083299951638,EPSG:4979,SE0032R,STA-SE0032R,Norra Kvill,SE.NV.AQ,2023-05-22 03:00:00+01:00,2023-05-22 04:00:00+01:00,2023-05-22 04:38:15+01:00,+01:00,98,1,3,263,ug/m3
SE,NET-SE0005C,Naturvårdsverket,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-SE0032R_00007_100,SE.NV.AQ,15.564736000000002,57.81083299951638,EPSG:4979,SE0032R,STA-SE0032R,Norra Kvill,SE.NV.AQ,2023-05-22 04:00:00+01:00,2023-05-22 05:00:00+01:00,2023-05-22 05:18:13+01:00,+01:00,97,1,3,263,ug/m3
SE,NET-SE0005C,Naturvårdsverket,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-SE0032R_00007_100,SE.NV.AQ,15.564736000000002,57.81083299951638,EPSG:4979,SE0032R,STA-SE0032R,Norra Kvill,SE.NV.AQ,2023-05-22 05:00:00+01:00,2023-05-22 06:00:00+01:00,2023-05-22 06:38:22+01:00,+01:00,82.9,1,3,263,ug/m3
SE,NET-SE0005C,Naturvårdsverket,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-SE0032R_00007_100,SE.NV.AQ,15.564736000000002,57.81083299951638,EPSG:4979,SE0032R,STA-SE0032R,Norra Kvill,SE.NV.AQ,2023-05-22 06:00:00+01:00,2023-05-22 07:00:00+01:00,2023-05-22 07:38:59+01:00,+01:00,85.2,1,3,263,ug/m3
SE,NET-SE0005C,Naturvårdsverket,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-SE0032R_00007_100,SE.NV.AQ,15.564736000000002,57.81083299951638,EPSG:4979,SE0032R,STA-SE0032R,Norra Kvill,SE.NV.AQ,2023-05-22 07:00:00+01:00,2023-05-22 08:00:00+01:00,2023-05-22 08:38:22+01:00,+01:00,88.5,1,3,263,ug/m3
SE,NET-SE0005C,Naturvårdsverket,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-SE0032R_00007_100,SE.NV.AQ,15.564736000000002,57.81083299951638,EPSG:4979,SE0032R,STA-SE0032R,Norra Kvill,SE.NV.AQ,2023-05-22 08:00:00+01:00,2023-05-22 09:00:00+01:00,2023-05-22 09:17:22+01:00,+01:00,91.5,1,3,263,ug/m3
SE,NET-SE0005C,Naturvårdsverket,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-SE0032R_00007_100,SE.NV.AQ,15.564736000000002,57.81083299951638,EPSG:4979,SE0032R,STA-SE0032R,Norra Kvill,SE.NV.AQ,2023-05-22 09:00:00+01:00,2023-05-22 10:00:00+01:00,2023-05-22 10:17:26+01:00,+01:00,93,1,3,263,ug/m3
SE,NET-SE0005C,Naturvårdsverket,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-SE0032R_00007_100,SE.NV.AQ,15.564736000000002,57.81083299951638,EPSG:4979,SE0032R,STA-SE0032R,Norra Kvill,SE.NV.AQ,2023-05-22 10:00:00+01:00,2023-05-22 11:00:00+01:00,2023-05-22 11:17:33+01:00,+01:00,94.7,1,3,263,ug/m3
SE,NET-SE0005C,Naturvårdsverket,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-SE0108A_00007_100,SE.NV.AQ,18.077415999999996,59.399354999530004,EPSG:4979,SE0108A,STA-SE0108A,Djursholm Vasaskolan,SE.NV.AQ,2023-05-20 17:00:00+01:00,2023-05-20 18:00:00+01:00,2023-05-20 18:38:34+01:00,+01:00,83.3,1,3,11,ug/m3
SE,NET-SE0005C,Naturvårdsverket,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-SE0108A_00007_100,SE.NV.AQ,18.077415999999996,59.399354999530004,EPSG:4979,SE0108A,STA-SE0108A,Djursholm Vasaskolan,SE.NV.AQ,2023-05-20 18:00:00+01:00,2023-05-20 19:00:00+01:00,2023-05-20 19:17:15+01:00,+01:00,83.8,1,3,11,ug/m3
SE,NET-SE0005C,Naturvårdsverket,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-SE0108A_00007_100,SE.NV.AQ,18.077415999999996,59.399354999530004,EPSG:4979,SE0108A,STA-SE0108A,Djursholm Vasaskolan,SE.NV.AQ,2023-05-20 19:00:00+01:00,2023-05-20 20:00:00+01:00,2023-05-20 20:38:35+01:00,+01:00,85.3,1,3,11,ug/m3
SE,NET-SE0005C,Naturvårdsverket,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-SE0108A_00007_100,SE.NV.AQ,18.077415999999996,59.399354999530004,EPSG:4979,SE0108A,STA-SE0108A,Djursholm Vasaskolan,SE.NV.AQ,2023-05-20 20:00:00+01:00,2023-05-20 21:00:00+01:00,2023-05-20 21:17:19+01:00,+01:00,82.5,1,3,11,ug/m3
SE,NET-SE0005C,Naturvårdsverket,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-SE0108A_00007_100,SE.NV.AQ,18.077415999999996,59.399354999530004,EPSG:4979,SE0108A,STA-SE0108A,Djursholm Vasaskolan,SE.NV.AQ,2023-05-20 21:00:00+01:00,2023-05-20 22:00:00+01:00,2023-05-20 22:38:34+01:00,+01:00,71.4,1,3,11,ug/m3
SE,NET-SE0005C,Naturvårdsverket,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-SE0108A_00007_100,SE.NV.AQ,18.077415999999996,59.399354999530004,EPSG:4979,SE0108A,STA-SE0108A,Djursholm Vasaskolan,SE.NV.AQ,2023-05-20 22:00:00+01:00,2023-05-20 23:00:00+01:00,2023-05-20 23:17:18+01:00,+01:00,57.3,1,3,11,ug/m3
SE,NET-SE0005C,Naturvårdsverket,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-SE0108A_00007_100,SE.NV.AQ,18.077415999999996,59.399354999530004,EPSG:4979,SE0108A,STA-SE0108A,Djursholm Vasaskolan,SE.NV.AQ,2023-05-20 23:00:00+01:00,2023-05-21 00:00:00+01:00,2023-05-21 00:38:15+01:00,+01:00,41,1,3,11,ug/m3
SE,NET-SE0005C,Naturvårdsverket,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO-SE0108A_00007_100,SE.NV.AQ,18.077415999999996,59.399354999530004,EPSG:4979,SE0108A,STA-SE0108A,Djursholm Vasaskolan,SE.NV.AQ,2023-05-21 00:00:00+01:00,2023-05-21 01:00:00+01:00,2023-05-21 01:38:20+01:00,+01:00,33.1,1,3,11,ug/m3
