network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
SE,NET-SE0009C,Dalarnas Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,SO2,SPO-SE0102A_00001_100,SE.NV.AQ,15.629400000000002,60.608298999541354,EPSG:4979,SE0102A,STA-SE0102A,Falun Östra Falan,SE.NV.AQ,2023-05-13 22:00:00+01:00,2023-05-13 23:00:00+01:00,2023-05-14 00:14:22+01:00,+01:00,1.93609,1,3,130,ug/m3
SE,NET-SE0009C,Dalarnas Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,SO2,SPO-SE0102A_00001_100,SE.NV.AQ,15.629400000000002,60.608298999541354,EPSG:4979,SE0102A,STA-SE0102A,Falun Östra Falan,SE.NV.AQ,2023-05-13 23:00:00+01:00,2023-05-14 00:00:00+01:00,2023-05-14 01:20:07+01:00,+01:00,1.95016,1,3,130,ug/m3
SE,NET-SE0009C,Dalarnas Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,SO2,SPO-SE0102A_00001_100,SE.NV.AQ,15.629400000000002,60.608298999541354,EPSG:4979,SE0102A,STA-SE0102A,Falun Östra Falan,SE.NV.AQ,2023-05-14 00:00:00+01:00,2023-05-14 01:00:00+01:00,2023-05-14 01:39:02+01:00,+01:00,1.80592,1,3,130,ug/m3
SE,NET-SE0009C,Dalarnas Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,SO2,SPO-SE0102A_00001_100,SE.NV.AQ,15.629400000000002,60.608298999541354,EPSG:4979,SE0102A,STA-SE0102A,Falun Östra Falan,SE.NV.AQ,2023-05-14 01:00:00+01:00,2023-05-14 02:00:00+01:00,2023-05-14 02:39:44+01:00,+01:00,1.80145,1,3,130,ug/m3
SE,NET-SE0009C,Dalarnas Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,SO2,SPO-SE0102A_00001_100,SE.NV.AQ,15.629400000000002,60.608298999541354,EPSG:4979,SE0102A,STA-SE0102A,Falun Östra Falan,SE.NV.AQ,2023-05-14 02:00:00+01:00,2023-05-14 03:00:00+01:00,2023-05-14 03:40:36+01:00,+01:00,1.7122,1,3,130,ug/m3
SE,NET-SE0009C,Dalarnas Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,SO2,SPO-SE0102A_00001_100,SE.NV.AQ,15.629400000000002,60.608298999541354,EPSG:4979,SE0102A,STA-SE0102A,Falun Östra Falan,SE.NV.AQ,2023-05-14 03:00:00+01:00,2023-05-14 04:00:00+01:00,2023-05-14 04:41:55+01:00,+01:00,1.68126,1,3,130,ug/m3
SE,NET-SE0009C,Dalarnas Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,SO2,SPO-SE0102A_00001_100,SE.NV.AQ,15.629400000000002,60.608298999541354,EPSG:4979,SE0102A,STA-SE0102A,Falun Östra Falan,SE.NV.AQ,2023-05-14 04:00:00+01:00,2023-05-14 05:00:00+01:00,2023-05-14 05:40:27+01:00,+01:00,1.77614,1,3,130,ug/m3
SE,NET-SE0009C,Dalarnas Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,SO2,SPO-SE0102A_00001_100,SE.NV.AQ,15.629400000000002,60.608298999541354,EPSG:4979,SE0102A,STA-SE0102A,Falun Östra Falan,SE.NV.AQ,2023-05-14 05:00:00+01:00,2023-05-14 06:00:00+01:00,2023-05-14 06:22:37+01:00,+01:00,1.78697,1,3,130,ug/m3
SE,NET-SE0009C,Dalarnas Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,SO2,SPO-SE0102A_00001_100,SE.NV.AQ,15.629400000000002,60.608298999541354,EPSG:4979,SE0102A,STA-SE0102A,Falun Östra Falan,SE.NV.AQ,2023-05-14 06:00:00+01:00,2023-05-14 07:00:00+01:00,2023-05-14 07:42:58+01:00,+01:00,1.74701,1,3,130,ug/m3
SE,NET-SE0009C,Dalarnas Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,SO2,SPO-SE0102A_00001_100,SE.NV.AQ,15.629400000000002,60.608298999541354,EPSG:4979,SE0102A,STA-SE0102A,Falun Östra Falan,SE.NV.AQ,2023-05-14 07:00:00+01:00,2023-05-14 08:00:00+01:00,2023-05-14 09:05:45+01:00,+01:00,1.80241,1,3,130,ug/m3
