pollutant,network_countrycode,day,value_numeric_mean,country
SO2,SE,20,1.7976183333333333,Sweden
CO,DE,20,0.2477862025171625,Germany
CO,CY,20,0.22338129444444446,Undefined
SO2,BE,20,2.125892857142857,Belgium
PM10,FI,20,12.943096011969697,Finland
SO2,ES,20,3.054183778234086,Spain
CO,BE,20,0.21920289855072464,Belgium
SO2,DE,20,1.3233588356660413,Germany
O3,BE,20,80.55140186915888,Belgium
PM10,BE,20,18.516374358974357,Belgium
PM10,CZ,20,24.503296703296705,Czech Republic
SO2,BG,20,6.537333333333334,Bulgaria
CO,BG,20,0.4475,Bulgaria
O3,CZ,20,77.98858858858858,Czech Republic
PM10,BA,20,25.497079591836734,Bosnia and Herzegovina
CO,ES,20,0.2797037793667007,Spain
O3,FI,20,71.83851177999999,Finland
PM10,BG,20,19.94970802919708,Bulgaria
CO,CZ,20,0.4631472713432836,Czech Republic
O3,ES,20,91.04573941987637,Spain
CO,EE,20,0.2430987619047619,Estonia
SO2,CH,20,0.17098125,Switzerland
CO,CH,20,0.2924703703703704,Switzerland
SO2,CZ,20,3.154576271186441,Czech Republic
SO2,FI,20,1.1903254809523809,Finland
O3,CH,20,48.06132068965517,Switzerland
PM10,CH,20,15.2992908045977,Switzerland
O3,CY,20,81.65318111111111,Undefined
SO2,CY,20,0.8749853816666666,Undefined
O3,BG,20,61.61611111111111,Bulgaria
O3,DE,20,73.32489497252207,Germany
PM10,ES,20,18.586395348837208,Spain
CO,AT,20,0.22519750064748204,Austria
O3,EE,20,58.594216470588236,Estonia
SO2,AT,20,2.3468204729281767,Austria
O3,DK,20,80.15124999999999,Denmark
O3,BA,20,66.46598542553191,Bosnia and Herzegovina
PM10,EE,20,8.783264166666667,Estonia
O3,AD,20,86.575,Andorra
O3,AT,20,81.77575601926164,Austria
CO,DK,20,0.182,Denmark
O3,SE,20,71.50030422535211,Sweden
PM10,DK,20,14.594444444444443,Denmark
PM10,AT,20,17.922797312796146,Austria
PM10,SE,20,16.13076003589091,Sweden
CO,SE,20,0.155188815,Sweden
SO2,BA,20,23.64137732394366,Bosnia and Herzegovina
CO,AD,20,0.15,Andorra
SO2,DK,20,0.4383333333333333,Denmark
CO,BA,20,416.9231471428571,Bosnia and Herzegovina
PM10,DE,20,18.741083653034515,Germany
SO2,AD,20,0.31666666666666665,Andorra
SO2,EE,20,0.778763412962963,Estonia
PM10,AD,20,13.35,Andorra
O3,ES,21,84.31906491247145,Spain
O3,CY,21,86.29469929577465,Undefined
O3,EE,21,65.18197688442211,Estonia
PM10,DK,21,19.949305555555554,Denmark
SO2,EE,21,0.7659143652777778,Estonia
SO2,CZ,21,3.560488841657811,Czech Republic
CO,CY,21,0.20784799014084507,Undefined
SO2,ES,21,3.588445701357466,Spain
CO,CZ,21,0.37019349145038166,Czech Republic
CO,DK,21,0.19578947368421054,Denmark
O3,CZ,21,80.3659890539484,Czech Republic
PM10,CZ,21,22.848406593406594,Czech Republic
CO,ES,21,0.299566265060241,Spain
PM10,EE,21,13.995045069444444,Estonia
SO2,DE,21,1.679078633853702,Germany
SO2,DK,21,0.3721739130434783,Denmark
PM10,DE,21,20.79133691175707,Germany
CO,DE,21,0.24930041600225225,Germany
O3,DE,21,74.05953995181946,Germany
O3,DK,21,80.58494318181819,Denmark
SO2,CH,21,0.27389270833333335,Switzerland
CO,EE,21,0.2177658273809524,Estonia
PM10,ES,21,17.182556662515566,Spain
SO2,CY,21,1.6183552743055556,Undefined
SO2,SE,21,1.78004125,Sweden
O3,BA,21,68.18448586021505,Bosnia and Herzegovina
CO,BA,21,382.64405171875,Bosnia and Herzegovina
CO,SE,21,0.12096201125,Sweden
SO2,BA,21,24.366983452593917,Bosnia and Herzegovina
PM10,AT,21,17.373176563089906,Austria
