network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
BA,net-ba003a,Kanton Tuzla Network,BA.EREP.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-BA0046A_00008_100,BA.EREP.AQD,18.6485,44.4541,EPSG:4979,BA0046A,STA-BA0046A,ZIVINICE - CENTAR,BA.EREP.AQD,2023-05-30 09:00:00+01:00,2023-05-30 10:00:00+01:00,2023-05-30 10:41:03+01:00,2023-05-30 11:17:03+01:00,11,1,3,215,ug/m3
BA,net-ba003a,Kanton Tuzla Network,BA.EREP.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-BA0046A_00008_100,BA.EREP.AQD,18.6485,44.4541,EPSG:4979,BA0046A,STA-BA0046A,ZIVINICE - CENTAR,BA.EREP.AQD,2023-05-30 10:00:00+01:00,2023-05-30 11:00:00+01:00,2023-05-30 11:35:03+01:00,2023-05-30 12:17:05+01:00,11.8,1,3,215,ug/m3
BA,net-ba003a,Kanton Tuzla Network,BA.EREP.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-BA0046A_00008_100,BA.EREP.AQD,18.6485,44.4541,EPSG:4979,BA0046A,STA-BA0046A,ZIVINICE - CENTAR,BA.EREP.AQD,2023-05-30 11:00:00+01:00,2023-05-30 12:00:00+01:00,2023-05-30 13:23:03+01:00,+01:00,20.2,1,3,215,ug/m3
BA,net-ba003a,Kanton Tuzla Network,BA.EREP.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-BA0046A_00008_100,BA.EREP.AQD,18.6485,44.4541,EPSG:4979,BA0046A,STA-BA0046A,ZIVINICE - CENTAR,BA.EREP.AQD,2023-05-30 12:00:00+01:00,2023-05-30 13:00:00+01:00,2023-05-30 13:41:04+01:00,+01:00,23,1,3,215,ug/m3
BA,net-ba003a,Kanton Tuzla Network,BA.EREP.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-BA0046A_00008_100,BA.EREP.AQD,18.6485,44.4541,EPSG:4979,BA0046A,STA-BA0046A,ZIVINICE - CENTAR,BA.EREP.AQD,2023-05-30 13:00:00+01:00,2023-05-30 14:00:00+01:00,2023-05-30 14:38:04+01:00,+01:00,17.9,1,3,215,ug/m3
BA,net-ba003a,Kanton Tuzla Network,BA.EREP.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-BA0046A_00008_100,BA.EREP.AQD,18.6485,44.4541,EPSG:4979,BA0046A,STA-BA0046A,ZIVINICE - CENTAR,BA.EREP.AQD,2023-05-30 14:00:00+01:00,2023-05-30 15:00:00+01:00,2023-05-30 15:41:05+01:00,2023-05-30 16:17:03+01:00,10,1,3,215,ug/m3
BA,net-ba003a,Kanton Tuzla Network,BA.EREP.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-BA0046A_00008_100,BA.EREP.AQD,18.6485,44.4541,EPSG:4979,BA0046A,STA-BA0046A,ZIVINICE - CENTAR,BA.EREP.AQD,2023-05-30 15:00:00+01:00,2023-05-30 16:00:00+01:00,2023-05-30 16:38:03+01:00,2023-05-30 17:20:03+01:00,15.1,1,3,215,ug/m3
BA,net-ba003a,Kanton Tuzla Network,BA.EREP.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-BA0046A_00008_100,BA.EREP.AQD,18.6485,44.4541,EPSG:4979,BA0046A,STA-BA0046A,ZIVINICE - CENTAR,BA.EREP.AQD,2023-05-30 16:00:00+01:00,2023-05-30 17:00:00+01:00,2023-05-30 17:41:03+01:00,2023-05-30 18:17:03+01:00,22,1,3,215,ug/m3
BA,net-ba003a,Kanton Tuzla Network,BA.EREP.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-BA0046A_00008_100,BA.EREP.AQD,18.6485,44.4541,EPSG:4979,BA0046A,STA-BA0046A,ZIVINICE - CENTAR,BA.EREP.AQD,2023-05-30 17:00:00+01:00,2023-05-30 18:00:00+01:00,2023-05-30 18:35:03+01:00,2023-05-30 19:17:05+01:00,22.5,1,3,215,ug/m3
BA,net-ba003a,Kanton Tuzla Network,BA.EREP.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-BA0046A_00008_100,BA.EREP.AQD,18.6485,44.4541,EPSG:4979,BA0046A,STA-BA0046A,ZIVINICE - CENTAR,BA.EREP.AQD,2023-05-30 18:00:00+01:00,2023-05-30 19:00:00+01:00,2023-05-30 19:17:05+01:00,2023-05-30 19:41:03+01:00,24.6,1,3,215,ug/m3
