network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
ES,NET_ES216A,CCAA País Vasco,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_48902006_6_48,ES.BDCA.AQD,-2.9772400000000006,43.30268000000001,EPSG:4979,ES0110A,STA_ES0110A,ERANDIO,ES.BDCA.AQD,2023-05-30 09:00:00+01:00,2023-05-30 10:00:00+01:00,2023-05-30 09:45:39+01:00,2023-05-30 12:48:38+01:00,0.38,1,3,4,mg/m3
ES,NET_ES216A,CCAA País Vasco,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_48902006_6_48,ES.BDCA.AQD,-2.9772400000000006,43.30268000000001,EPSG:4979,ES0110A,STA_ES0110A,ERANDIO,ES.BDCA.AQD,2023-05-30 10:00:00+01:00,2023-05-30 11:00:00+01:00,2023-05-30 09:45:39+01:00,2023-05-30 14:48:37+01:00,0.39,1,3,4,mg/m3
ES,NET_ES216A,CCAA País Vasco,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_48902006_6_48,ES.BDCA.AQD,-2.9772400000000006,43.30268000000001,EPSG:4979,ES0110A,STA_ES0110A,ERANDIO,ES.BDCA.AQD,2023-05-30 11:00:00+01:00,2023-05-30 12:00:00+01:00,2023-05-30 10:42:35+01:00,2023-05-30 14:48:37+01:00,0.32,1,3,4,mg/m3
ES,NET_ES216A,CCAA País Vasco,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_48902006_6_48,ES.BDCA.AQD,-2.9772400000000006,43.30268000000001,EPSG:4979,ES0110A,STA_ES0110A,ERANDIO,ES.BDCA.AQD,2023-05-30 12:00:00+01:00,2023-05-30 13:00:00+01:00,2023-05-30 12:48:38+01:00,2023-05-30 16:45:42+01:00,0.23,1,3,4,mg/m3
ES,NET_ES216A,CCAA País Vasco,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_48902006_6_48,ES.BDCA.AQD,-2.9772400000000006,43.30268000000001,EPSG:4979,ES0110A,STA_ES0110A,ERANDIO,ES.BDCA.AQD,2023-05-30 13:00:00+01:00,2023-05-30 14:00:00+01:00,2023-05-30 12:48:38+01:00,2023-05-30 16:45:42+01:00,0.17,1,3,4,mg/m3
ES,NET_ES216A,CCAA País Vasco,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_48902006_6_48,ES.BDCA.AQD,-2.9772400000000006,43.30268000000001,EPSG:4979,ES0110A,STA_ES0110A,ERANDIO,ES.BDCA.AQD,2023-05-30 14:00:00+01:00,2023-05-30 15:00:00+01:00,2023-05-30 14:48:37+01:00,2023-05-30 18:45:42+01:00,0.16,1,3,4,mg/m3
ES,NET_ES216A,CCAA País Vasco,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_48902006_6_48,ES.BDCA.AQD,-2.9772400000000006,43.30268000000001,EPSG:4979,ES0110A,STA_ES0110A,ERANDIO,ES.BDCA.AQD,2023-05-30 15:00:00+01:00,2023-05-30 16:00:00+01:00,2023-05-30 14:48:37+01:00,2023-05-30 18:45:42+01:00,0.13,1,3,4,mg/m3
ES,NET_ES216A,CCAA País Vasco,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_48902006_6_48,ES.BDCA.AQD,-2.9772400000000006,43.30268000000001,EPSG:4979,ES0110A,STA_ES0110A,ERANDIO,ES.BDCA.AQD,2023-05-30 16:00:00+01:00,2023-05-30 17:00:00+01:00,2023-05-30 16:45:42+01:00,2023-05-30 20:45:35+01:00,0.12,1,3,4,mg/m3
ES,NET_ES216A,CCAA País Vasco,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_48902006_6_48,ES.BDCA.AQD,-2.9772400000000006,43.30268000000001,EPSG:4979,ES0110A,STA_ES0110A,ERANDIO,ES.BDCA.AQD,2023-05-30 17:00:00+01:00,2023-05-30 18:00:00+01:00,2023-05-30 16:45:42+01:00,2023-05-30 20:45:35+01:00,0.11,1,3,4,mg/m3
ES,NET_ES216A,CCAA País Vasco,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_48902006_6_48,ES.BDCA.AQD,-2.9772400000000006,43.30268000000001,EPSG:4979,ES0110A,STA_ES0110A,ERANDIO,ES.BDCA.AQD,2023-05-30 18:00:00+01:00,2023-05-30 19:00:00+01:00,2023-05-30 18:45:42+01:00,2023-05-30 21:48:33+01:00,0.11,1,3,4,mg/m3
