network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
SE,NET-SE0004C,Östra Sveriges Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-SE301757_00008_100,SE.NV.AQ,17.976278,59.36425999952968,EPSG:4979,SE301757,STA-SE301757,Sundbyberg Tulegatan 9,SE.NV.AQ,2023-05-31 20:00:00+01:00,2023-05-31 21:00:00+01:00,2023-05-31 21:38:14+01:00,+01:00,13.8375,1,3,32,ug/m3
SE,NET-SE0004C,Östra Sveriges Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-SE301757_00008_100,SE.NV.AQ,17.976278,59.36425999952968,EPSG:4979,SE301757,STA-SE301757,Sundbyberg Tulegatan 9,SE.NV.AQ,2023-05-31 21:00:00+01:00,2023-05-31 22:00:00+01:00,2023-05-31 22:38:35+01:00,+01:00,11.9487,1,3,32,ug/m3
SE,NET-SE0004C,Östra Sveriges Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-SE301757_00008_100,SE.NV.AQ,17.976278,59.36425999952968,EPSG:4979,SE301757,STA-SE301757,Sundbyberg Tulegatan 9,SE.NV.AQ,2023-05-31 22:00:00+01:00,2023-05-31 23:00:00+01:00,2023-05-31 23:38:15+01:00,+01:00,10.894,1,3,32,ug/m3
SE,NET-SE0004C,Östra Sveriges Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-SE301757_00008_100,SE.NV.AQ,17.976278,59.36425999952968,EPSG:4979,SE301757,STA-SE301757,Sundbyberg Tulegatan 9,SE.NV.AQ,2023-05-31 23:00:00+01:00,2023-06-01 00:00:00+01:00,2023-06-01 00:38:29+01:00,+01:00,10.4243,1,3,32,ug/m3
SE,NET-SE0004C,Östra Sveriges Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-SE301757_00008_100,SE.NV.AQ,17.976278,59.36425999952968,EPSG:4979,SE301757,STA-SE301757,Sundbyberg Tulegatan 9,SE.NV.AQ,2023-06-01 00:00:00+01:00,2023-06-01 01:00:00+01:00,2023-06-01 01:38:22+01:00,+01:00,6.84875,1,3,32,ug/m3
SE,NET-SE0004C,Östra Sveriges Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-SE301757_00008_100,SE.NV.AQ,17.976278,59.36425999952968,EPSG:4979,SE301757,STA-SE301757,Sundbyberg Tulegatan 9,SE.NV.AQ,2023-06-01 01:00:00+01:00,2023-06-01 02:00:00+01:00,2023-06-01 02:38:12+01:00,+01:00,5.31925,1,3,32,ug/m3
SE,NET-SE0004C,Östra Sveriges Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-SE301757_00008_100,SE.NV.AQ,17.976278,59.36425999952968,EPSG:4979,SE301757,STA-SE301757,Sundbyberg Tulegatan 9,SE.NV.AQ,2023-06-01 02:00:00+01:00,2023-06-01 03:00:00+01:00,2023-06-01 03:38:33+01:00,+01:00,3.2765,1,3,32,ug/m3
SE,NET-SE0004C,Östra Sveriges Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-SE301757_00008_100,SE.NV.AQ,17.976278,59.36425999952968,EPSG:4979,SE301757,STA-SE301757,Sundbyberg Tulegatan 9,SE.NV.AQ,2023-06-01 03:00:00+01:00,2023-06-01 04:00:00+01:00,2023-06-01 04:38:14+01:00,+01:00,1.33107999,1,3,32,ug/m3
SE,NET-SE0004C,Östra Sveriges Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-SE301757_00008_100,SE.NV.AQ,17.976278,59.36425999952968,EPSG:4979,SE301757,STA-SE301757,Sundbyberg Tulegatan 9,SE.NV.AQ,2023-06-01 04:00:00+01:00,2023-06-01 05:00:00+01:00,2023-06-01 05:38:50+01:00,+01:00,1.32693,1,3,32,ug/m3
SE,NET-SE0004C,Östra Sveriges Luftvårdsförbund,SE.NV.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-SE301757_00008_100,SE.NV.AQ,17.976278,59.36425999952968,EPSG:4979,SE301757,STA-SE301757,Sundbyberg Tulegatan 9,SE.NV.AQ,2023-06-01 05:00:00+01:00,2023-06-01 06:00:00+01:00,2023-06-01 06:38:13+01:00,+01:00,3.475,1,3,32,ug/m3
