network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
BA,net-ba002a,Kanton Sarajevo Network,BA.EREP.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO,SPO-BA0050A_00038_100,BA.EREP.AQD,18.2693,43.959999999999994,EPSG:4979,BA0050A,STA-BA0050A,SARAJEVO - ILIJAS,BA.EREP.AQD,2023-05-30 13:00:00+01:00,2023-05-30 14:00:00+01:00,2023-05-30 14:38:04+01:00,+01:00,1.81508,1,3,459,ug/m3
BA,net-ba002a,Kanton Sarajevo Network,BA.EREP.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO,SPO-BA0050A_00038_100,BA.EREP.AQD,18.2693,43.959999999999994,EPSG:4979,BA0050A,STA-BA0050A,SARAJEVO - ILIJAS,BA.EREP.AQD,2023-05-30 14:00:00+01:00,2023-05-30 15:00:00+01:00,2023-05-30 15:41:06+01:00,+01:00,1.46297,1,3,459,ug/m3
BA,net-ba002a,Kanton Sarajevo Network,BA.EREP.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO,SPO-BA0050A_00038_100,BA.EREP.AQD,18.2693,43.959999999999994,EPSG:4979,BA0050A,STA-BA0050A,SARAJEVO - ILIJAS,BA.EREP.AQD,2023-05-30 15:00:00+01:00,2023-05-30 16:00:00+01:00,2023-05-30 16:38:04+01:00,+01:00,1.98568,1,3,459,ug/m3
BA,net-ba002a,Kanton Sarajevo Network,BA.EREP.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO,SPO-BA0050A_00038_100,BA.EREP.AQD,18.2693,43.959999999999994,EPSG:4979,BA0050A,STA-BA0050A,SARAJEVO - ILIJAS,BA.EREP.AQD,2023-05-30 16:00:00+01:00,2023-05-30 17:00:00+01:00,2023-05-30 17:41:03+01:00,+01:00,2.07227,1,3,459,ug/m3
BA,net-ba002a,Kanton Sarajevo Network,BA.EREP.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO,SPO-BA0050A_00038_100,BA.EREP.AQD,18.2693,43.959999999999994,EPSG:4979,BA0050A,STA-BA0050A,SARAJEVO - ILIJAS,BA.EREP.AQD,2023-05-30 17:00:00+01:00,2023-05-30 18:00:00+01:00,2023-05-30 18:35:03+01:00,+01:00,1.33221,1,3,459,ug/m3
BA,net-ba002a,Kanton Sarajevo Network,BA.EREP.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO,SPO-BA0050A_00038_100,BA.EREP.AQD,18.2693,43.959999999999994,EPSG:4979,BA0050A,STA-BA0050A,SARAJEVO - ILIJAS,BA.EREP.AQD,2023-05-30 18:00:00+01:00,2023-05-30 19:00:00+01:00,2023-05-30 19:17:05+01:00,+01:00,1.60984,1,3,459,ug/m3
BA,net-ba002a,Kanton Sarajevo Network,BA.EREP.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO,SPO-BA0050A_00038_100,BA.EREP.AQD,18.2693,43.959999999999994,EPSG:4979,BA0050A,STA-BA0050A,SARAJEVO - ILIJAS,BA.EREP.AQD,2023-05-30 19:00:00+01:00,2023-05-30 20:00:00+01:00,2023-05-30 20:41:04+01:00,+01:00,1.80573,1,3,459,ug/m3
BA,net-ba002a,Kanton Sarajevo Network,BA.EREP.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO,SPO-BA0050A_00038_100,BA.EREP.AQD,18.2693,43.959999999999994,EPSG:4979,BA0050A,STA-BA0050A,SARAJEVO - ILIJAS,BA.EREP.AQD,2023-05-30 20:00:00+01:00,2023-05-30 21:00:00+01:00,2023-05-30 21:38:05+01:00,+01:00,1.47579,1,3,459,ug/m3
BA,net-ba002a,Kanton Sarajevo Network,BA.EREP.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO,SPO-BA0050A_00038_100,BA.EREP.AQD,18.2693,43.959999999999994,EPSG:4979,BA0050A,STA-BA0050A,SARAJEVO - ILIJAS,BA.EREP.AQD,2023-05-30 21:00:00+01:00,2023-05-30 22:00:00+01:00,2023-05-30 22:41:06+01:00,+01:00,2.3234,1,3,459,ug/m3
BA,net-ba002a,Kanton Sarajevo Network,BA.EREP.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO,SPO-BA0050A_00038_100,BA.EREP.AQD,18.2693,43.959999999999994,EPSG:4979,BA0050A,STA-BA0050A,SARAJEVO - ILIJAS,BA.EREP.AQD,2023-05-30 22:00:00+01:00,2023-05-30 23:00:00+01:00,2023-05-31 00:20:04+01:00,+01:00,1.10024,1,3,459,ug/m3
