network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
AT,NET.06,Amt der Steiermärkischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO,SPO.06.143.1806.38.1,AT.0008.20.AQ,15.0889,47.382299999465104,EPSG:4979,AT60143,STA.06.143,Leoben Zentrum,AT.0008.20.AQ,2023-05-30 21:00:00+01:00,2023-05-30 22:00:00+01:00,2023-05-31 07:29:22+01:00,+01:00,0.13740599,1,2,543,ug/m3
AT,NET.06,Amt der Steiermärkischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO,SPO.06.143.1806.38.1,AT.0008.20.AQ,15.0889,47.382299999465104,EPSG:4979,AT60143,STA.06.143,Leoben Zentrum,AT.0008.20.AQ,2023-05-30 23:00:00+01:00,2023-05-31 00:00:00+01:00,2023-05-31 07:29:22+01:00,+01:00,0.03928349,1,2,543,ug/m3
AT,NET.06,Amt der Steiermärkischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO,SPO.06.143.1806.38.1,AT.0008.20.AQ,15.0889,47.382299999465104,EPSG:4979,AT60143,STA.06.143,Leoben Zentrum,AT.0008.20.AQ,2023-05-31 00:00:00+01:00,2023-05-31 01:00:00+01:00,2023-05-31 07:29:22+01:00,+01:00,0.12061949,1,2,543,ug/m3
AT,NET.06,Amt der Steiermärkischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO,SPO.06.143.1806.38.1,AT.0008.20.AQ,15.0889,47.382299999465104,EPSG:4979,AT60143,STA.06.143,Leoben Zentrum,AT.0008.20.AQ,2023-05-31 01:00:00+01:00,2023-05-31 02:00:00+01:00,2023-05-31 07:29:22+01:00,+01:00,0.12719599,1,2,543,ug/m3
AT,NET.06,Amt der Steiermärkischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO,SPO.06.143.1806.38.1,AT.0008.20.AQ,15.0889,47.382299999465104,EPSG:4979,AT60143,STA.06.143,Leoben Zentrum,AT.0008.20.AQ,2023-05-31 02:00:00+01:00,2023-05-31 03:00:00+01:00,2023-05-31 07:29:22+01:00,+01:00,0.0642035,1,2,543,ug/m3
AT,NET.06,Amt der Steiermärkischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO,SPO.06.143.1806.38.1,AT.0008.20.AQ,15.0889,47.382299999465104,EPSG:4979,AT60143,STA.06.143,Leoben Zentrum,AT.0008.20.AQ,2023-05-31 03:00:00+01:00,2023-05-31 04:00:00+01:00,2023-05-31 07:29:22+01:00,+01:00,0.2756775,1,2,543,ug/m3
AT,NET.06,Amt der Steiermärkischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO,SPO.06.143.1806.38.1,AT.0008.20.AQ,15.0889,47.382299999465104,EPSG:4979,AT60143,STA.06.143,Leoben Zentrum,AT.0008.20.AQ,2023-05-31 04:00:00+01:00,2023-05-31 05:00:00+01:00,2023-05-31 07:29:22+01:00,+01:00,0.58838903,1,2,543,ug/m3
AT,NET.06,Amt der Steiermärkischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO,SPO.06.143.1806.38.1,AT.0008.20.AQ,15.0889,47.382299999465104,EPSG:4979,AT60143,STA.06.143,Leoben Zentrum,AT.0008.20.AQ,2023-05-31 05:00:00+01:00,2023-05-31 06:00:00+01:00,2023-05-31 07:29:22+01:00,+01:00,1.5964365,1,2,543,ug/m3
AT,NET.06,Amt der Steiermärkischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO,SPO.06.143.1806.38.1,AT.0008.20.AQ,15.0889,47.382299999465104,EPSG:4979,AT60143,STA.06.143,Leoben Zentrum,AT.0008.20.AQ,2023-05-31 06:00:00+01:00,2023-05-31 07:00:00+01:00,2023-05-31 07:29:22+01:00,+01:00,2.98192,1,2,543,ug/m3
AT,NET.06,Amt der Steiermärkischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO,SPO.06.143.1806.38.1,AT.0008.20.AQ,15.0889,47.382299999465104,EPSG:4979,AT60143,STA.06.143,Leoben Zentrum,AT.0008.20.AQ,2023-05-30 19:00:00+01:00,2023-05-30 20:00:00+01:00,2023-05-30 19:35:12+01:00,2023-05-31 07:29:22+01:00,0.0583195,1,2,543,ug/m3
