network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
BG,NET-BG001A,National air network,BG.BG-ExEA.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-BG0053R_00008_100,BG.BG-ExEA.AQ,24.738078,41.694342,EPSG:4979,BG0053R,STA-BG0053R,AMS Rozhen peak,BG.BG-ExEA.AQ,2023-06-03 06:00:00+01:00,2023-06-03 07:00:00+01:00,2023-06-03 08:23:07+01:00,2023-06-04 08:17:10+01:00,,-1,1,1720,ug/m3
BG,NET-BG001A,National air network,BG.BG-ExEA.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-BG0053R_00008_100,BG.BG-ExEA.AQ,24.738078,41.694342,EPSG:4979,BG0053R,STA-BG0053R,AMS Rozhen peak,BG.BG-ExEA.AQ,2023-06-03 07:00:00+01:00,2023-06-03 08:00:00+01:00,2023-06-03 09:20:04+01:00,2023-06-04 09:23:04+01:00,,-1,1,1720,ug/m3
BG,NET-BG001A,National air network,BG.BG-ExEA.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-BG0053R_00008_100,BG.BG-ExEA.AQ,24.738078,41.694342,EPSG:4979,BG0053R,STA-BG0053R,AMS Rozhen peak,BG.BG-ExEA.AQ,2023-06-03 08:00:00+01:00,2023-06-03 09:00:00+01:00,2023-06-03 10:23:04+01:00,2023-06-04 10:23:10+01:00,,-1,1,1720,ug/m3
BG,NET-BG001A,National air network,BG.BG-ExEA.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-BG0053R_00008_100,BG.BG-ExEA.AQ,24.738078,41.694342,EPSG:4979,BG0053R,STA-BG0053R,AMS Rozhen peak,BG.BG-ExEA.AQ,2023-06-03 09:00:00+01:00,2023-06-03 10:00:00+01:00,2023-06-03 11:17:10+01:00,2023-06-04 11:26:36+01:00,,-1,1,1720,ug/m3
BG,NET-BG001A,National air network,BG.BG-ExEA.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-BG0053R_00008_100,BG.BG-ExEA.AQ,24.738078,41.694342,EPSG:4979,BG0053R,STA-BG0053R,AMS Rozhen peak,BG.BG-ExEA.AQ,2023-06-03 10:00:00+01:00,2023-06-03 11:00:00+01:00,2023-06-03 12:23:04+01:00,2023-06-04 12:23:09+01:00,,-1,1,1720,ug/m3
BG,NET-BG001A,National air network,BG.BG-ExEA.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-BG0053R_00008_100,BG.BG-ExEA.AQ,24.738078,41.694342,EPSG:4979,BG0053R,STA-BG0053R,AMS Rozhen peak,BG.BG-ExEA.AQ,2023-06-03 11:00:00+01:00,2023-06-03 12:00:00+01:00,2023-06-03 13:23:09+01:00,2023-06-04 13:20:04+01:00,,-1,1,1720,ug/m3
BG,NET-BG001A,National air network,BG.BG-ExEA.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-BG0053R_00008_100,BG.BG-ExEA.AQ,24.738078,41.694342,EPSG:4979,BG0053R,STA-BG0053R,AMS Rozhen peak,BG.BG-ExEA.AQ,2023-06-03 12:00:00+01:00,2023-06-03 13:00:00+01:00,2023-06-03 14:20:04+01:00,2023-06-04 14:23:05+01:00,,-1,1,1720,ug/m3
BG,NET-BG001A,National air network,BG.BG-ExEA.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-BG0053R_00008_100,BG.BG-ExEA.AQ,24.738078,41.694342,EPSG:4979,BG0053R,STA-BG0053R,AMS Rozhen peak,BG.BG-ExEA.AQ,2023-06-03 13:00:00+01:00,2023-06-03 14:00:00+01:00,2023-06-03 15:23:08+01:00,2023-06-04 15:17:10+01:00,,-1,1,1720,ug/m3
BG,NET-BG001A,National air network,BG.BG-ExEA.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-BG0053R_00008_100,BG.BG-ExEA.AQ,24.738078,41.694342,EPSG:4979,BG0053R,STA-BG0053R,AMS Rozhen peak,BG.BG-ExEA.AQ,2023-06-03 14:00:00+01:00,2023-06-03 15:00:00+01:00,2023-06-03 16:20:04+01:00,2023-06-04 16:23:04+01:00,,-1,1,1720,ug/m3
BG,NET-BG001A,National air network,BG.BG-ExEA.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-BG0053R_00008_100,BG.BG-ExEA.AQ,24.738078,41.694342,EPSG:4979,BG0053R,STA-BG0053R,AMS Rozhen peak,BG.BG-ExEA.AQ,2023-06-03 15:00:00+01:00,2023-06-03 16:00:00+01:00,2023-06-03 17:23:04+01:00,2023-06-04 17:23:11+01:00,,-1,1,1720,ug/m3
