network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO.CZ_KSOMA_O3_40532,CZ.CHMI-Prague-Komorany.AQ,12.672818183898926,50.17282485961913,EPSG:4979,CZ0KSOM,STA.CZ_KSOM,Sokolov,CZ.CHMI-Prague-Komorany.AQ,2023-05-20 21:00:00+01:00,2023-05-20 22:00:00+01:00,2023-05-20 23:47:03+01:00,+01:00,89,1,3,476,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO.CZ_KSOMA_O3_40532,CZ.CHMI-Prague-Komorany.AQ,12.672818183898926,50.17282485961913,EPSG:4979,CZ0KSOM,STA.CZ_KSOM,Sokolov,CZ.CHMI-Prague-Komorany.AQ,2023-05-20 22:00:00+01:00,2023-05-20 23:00:00+01:00,2023-05-21 00:44:03+01:00,+01:00,86.8,1,3,476,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO.CZ_KSOMA_O3_40532,CZ.CHMI-Prague-Komorany.AQ,12.672818183898926,50.17282485961913,EPSG:4979,CZ0KSOM,STA.CZ_KSOM,Sokolov,CZ.CHMI-Prague-Komorany.AQ,2023-05-20 23:00:00+01:00,2023-05-21 00:00:00+01:00,2023-05-21 01:47:03+01:00,+01:00,73.2,1,3,476,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO.CZ_KSOMA_O3_40532,CZ.CHMI-Prague-Komorany.AQ,12.672818183898926,50.17282485961913,EPSG:4979,CZ0KSOM,STA.CZ_KSOM,Sokolov,CZ.CHMI-Prague-Komorany.AQ,2023-05-21 00:00:00+01:00,2023-05-21 01:00:00+01:00,2023-05-21 02:50:04+01:00,+01:00,66.4,1,3,476,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO.CZ_KSOMA_O3_40532,CZ.CHMI-Prague-Komorany.AQ,12.672818183898926,50.17282485961913,EPSG:4979,CZ0KSOM,STA.CZ_KSOM,Sokolov,CZ.CHMI-Prague-Komorany.AQ,2023-05-21 02:00:00+01:00,2023-05-21 03:00:00+01:00,2023-05-21 04:47:03+01:00,+01:00,61.4,1,3,476,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO.CZ_KSOMA_O3_40532,CZ.CHMI-Prague-Komorany.AQ,12.672818183898926,50.17282485961913,EPSG:4979,CZ0KSOM,STA.CZ_KSOM,Sokolov,CZ.CHMI-Prague-Komorany.AQ,2023-05-21 03:00:00+01:00,2023-05-21 04:00:00+01:00,2023-05-21 05:44:03+01:00,+01:00,62.4,1,3,476,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO.CZ_KSOMA_O3_40532,CZ.CHMI-Prague-Komorany.AQ,12.672818183898926,50.17282485961913,EPSG:4979,CZ0KSOM,STA.CZ_KSOM,Sokolov,CZ.CHMI-Prague-Komorany.AQ,2023-05-21 04:00:00+01:00,2023-05-21 05:00:00+01:00,2023-05-21 06:47:04+01:00,+01:00,61.4,1,3,476,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO.CZ_KSOMA_O3_40532,CZ.CHMI-Prague-Komorany.AQ,12.672818183898926,50.17282485961913,EPSG:4979,CZ0KSOM,STA.CZ_KSOM,Sokolov,CZ.CHMI-Prague-Komorany.AQ,2023-05-21 05:00:00+01:00,2023-05-21 06:00:00+01:00,2023-05-21 07:44:03+01:00,+01:00,56.9,1,3,476,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO.CZ_KSOMA_O3_40532,CZ.CHMI-Prague-Komorany.AQ,12.672818183898926,50.17282485961913,EPSG:4979,CZ0KSOM,STA.CZ_KSOM,Sokolov,CZ.CHMI-Prague-Komorany.AQ,2023-05-21 06:00:00+01:00,2023-05-21 07:00:00+01:00,2023-05-21 08:47:03+01:00,+01:00,59.1,1,3,476,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO.CZ_KSOMA_O3_40532,CZ.CHMI-Prague-Komorany.AQ,12.672818183898926,50.17282485961913,EPSG:4979,CZ0KSOM,STA.CZ_KSOM,Sokolov,CZ.CHMI-Prague-Komorany.AQ,2023-05-21 07:00:00+01:00,2023-05-21 08:00:00+01:00,2023-05-21 09:50:04+01:00,+01:00,59.9,1,3,476,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO.CZ_KSOMA_O3_40532,CZ.CHMI-Prague-Komorany.AQ,12.672818183898926,50.17282485961913,EPSG:4979,CZ0KSOM,STA.CZ_KSOM,Sokolov,CZ.CHMI-Prague-Komorany.AQ,2023-05-21 08:00:00+01:00,2023-05-21 09:00:00+01:00,2023-05-21 10:47:03+01:00,+01:00,64.6,1,3,476,ug/m3
