network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR811_00005_100,BE.CELINE-IRCEL.AQ,4.491362027935441,51.25210341224123,EPSG:4979,BETR811,STA-BETR811,42R811 - SCHOTEN,BE.CELINE-IRCEL.AQ,2023-05-21 00:00:00+01:00,2023-05-21 01:00:00+01:00,2023-05-20 01:38:23+01:00,2023-05-21 01:41:21+01:00,15.4,1,3,8,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR811_00005_100,BE.CELINE-IRCEL.AQ,4.491362027935441,51.25210341224123,EPSG:4979,BETR811,STA-BETR811,42R811 - SCHOTEN,BE.CELINE-IRCEL.AQ,2023-05-21 01:00:00+01:00,2023-05-21 02:00:00+01:00,2023-05-21 01:41:21+01:00,2023-05-21 02:35:25+01:00,14.9,1,3,8,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR811_00005_100,BE.CELINE-IRCEL.AQ,4.491362027935441,51.25210341224123,EPSG:4979,BETR811,STA-BETR811,42R811 - SCHOTEN,BE.CELINE-IRCEL.AQ,2023-05-21 02:00:00+01:00,2023-05-21 03:00:00+01:00,2023-05-21 01:41:21+01:00,2023-05-21 03:38:21+01:00,14.4,1,3,8,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR811_00005_100,BE.CELINE-IRCEL.AQ,4.491362027935441,51.25210341224123,EPSG:4979,BETR811,STA-BETR811,42R811 - SCHOTEN,BE.CELINE-IRCEL.AQ,2023-05-21 03:00:00+01:00,2023-05-21 04:00:00+01:00,2023-05-21 01:41:21+01:00,2023-05-21 04:35:20+01:00,15.9,1,3,8,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR811_00005_100,BE.CELINE-IRCEL.AQ,4.491362027935441,51.25210341224123,EPSG:4979,BETR811,STA-BETR811,42R811 - SCHOTEN,BE.CELINE-IRCEL.AQ,2023-05-21 04:00:00+01:00,2023-05-21 05:00:00+01:00,2023-05-21 01:41:21+01:00,2023-05-21 05:38:20+01:00,16.4,1,3,8,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR811_00005_100,BE.CELINE-IRCEL.AQ,4.491362027935441,51.25210341224123,EPSG:4979,BETR811,STA-BETR811,42R811 - SCHOTEN,BE.CELINE-IRCEL.AQ,2023-05-21 05:00:00+01:00,2023-05-21 06:00:00+01:00,2023-05-21 01:41:21+01:00,2023-05-21 06:35:18+01:00,16.9,1,3,8,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR811_00005_100,BE.CELINE-IRCEL.AQ,4.491362027935441,51.25210341224123,EPSG:4979,BETR811,STA-BETR811,42R811 - SCHOTEN,BE.CELINE-IRCEL.AQ,2023-05-21 06:00:00+01:00,2023-05-21 07:00:00+01:00,2023-05-21 01:41:21+01:00,2023-05-21 07:35:32+01:00,17.9,1,3,8,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR811_00005_100,BE.CELINE-IRCEL.AQ,4.491362027935441,51.25210341224123,EPSG:4979,BETR811,STA-BETR811,42R811 - SCHOTEN,BE.CELINE-IRCEL.AQ,2023-05-21 07:00:00+01:00,2023-05-21 08:00:00+01:00,2023-05-21 01:41:21+01:00,2023-05-21 08:41:14+01:00,15.9,1,3,8,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR811_00005_100,BE.CELINE-IRCEL.AQ,4.491362027935441,51.25210341224123,EPSG:4979,BETR811,STA-BETR811,42R811 - SCHOTEN,BE.CELINE-IRCEL.AQ,2023-05-21 08:00:00+01:00,2023-05-21 09:00:00+01:00,2023-05-21 01:41:21+01:00,2023-05-21 09:35:16+01:00,18.4,1,3,8,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR811_00005_100,BE.CELINE-IRCEL.AQ,4.491362027935441,51.25210341224123,EPSG:4979,BETR811,STA-BETR811,42R811 - SCHOTEN,BE.CELINE-IRCEL.AQ,2023-05-21 09:00:00+01:00,2023-05-21 10:00:00+01:00,2023-05-21 01:41:21+01:00,2023-05-21 10:38:17+01:00,18.9,1,3,8,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR811_00005_100,BE.CELINE-IRCEL.AQ,4.491362027935441,51.25210341224123,EPSG:4979,BETR811,STA-BETR811,42R811 - SCHOTEN,BE.CELINE-IRCEL.AQ,2023-05-21 10:00:00+01:00,2023-05-21 11:00:00+01:00,2023-05-21 01:41:21+01:00,2023-05-21 11:35:43+01:00,18.4,1,3,8,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR811_00005_100,BE.CELINE-IRCEL.AQ,4.491362027935441,51.25210341224123,EPSG:4979,BETR811,STA-BETR811,42R811 - SCHOTEN,BE.CELINE-IRCEL.AQ,2023-05-21 11:00:00+01:00,2023-05-21 12:00:00+01:00,2023-05-21 01:41:21+01:00,2023-05-21 12:38:15+01:00,20.4,1,3,8,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR811_00005_100,BE.CELINE-IRCEL.AQ,4.491362027935441,51.25210341224123,EPSG:4979,BETR811,STA-BETR811,42R811 - SCHOTEN,BE.CELINE-IRCEL.AQ,2023-05-21 12:00:00+01:00,2023-05-21 13:00:00+01:00,2023-05-21 01:41:21+01:00,2023-05-21 13:35:39+01:00,24.9,1,3,8,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR811_00005_100,BE.CELINE-IRCEL.AQ,4.491362027935441,51.25210341224123,EPSG:4979,BETR811,STA-BETR811,42R811 - SCHOTEN,BE.CELINE-IRCEL.AQ,2023-05-21 13:00:00+01:00,2023-05-21 14:00:00+01:00,2023-05-21 01:41:21+01:00,2023-05-21 14:35:26+01:00,23.9,1,3,8,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR811_00005_100,BE.CELINE-IRCEL.AQ,4.491362027935441,51.25210341224123,EPSG:4979,BETR811,STA-BETR811,42R811 - SCHOTEN,BE.CELINE-IRCEL.AQ,2023-05-21 14:00:00+01:00,2023-05-21 15:00:00+01:00,2023-05-21 01:41:21+01:00,2023-05-21 15:41:14+01:00,23.4,1,3,8,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR811_00005_100,BE.CELINE-IRCEL.AQ,4.491362027935441,51.25210341224123,EPSG:4979,BETR811,STA-BETR811,42R811 - SCHOTEN,BE.CELINE-IRCEL.AQ,2023-05-21 15:00:00+01:00,2023-05-21 16:00:00+01:00,2023-05-21 01:41:21+01:00,2023-05-21 16:35:22+01:00,23.4,1,3,8,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR811_00005_100,BE.CELINE-IRCEL.AQ,4.491362027935441,51.25210341224123,EPSG:4979,BETR811,STA-BETR811,42R811 - SCHOTEN,BE.CELINE-IRCEL.AQ,2023-05-21 16:00:00+01:00,2023-05-21 17:00:00+01:00,2023-05-21 01:41:21+01:00,2023-05-21 17:38:14+01:00,23.9,1,3,8,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR811_00005_100,BE.CELINE-IRCEL.AQ,4.491362027935441,51.25210341224123,EPSG:4979,BETR811,STA-BETR811,42R811 - SCHOTEN,BE.CELINE-IRCEL.AQ,2023-05-21 17:00:00+01:00,2023-05-21 18:00:00+01:00,2023-05-21 01:41:21+01:00,2023-05-21 18:35:40+01:00,22.4,1,3,8,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO-BETR811_00005_100,BE.CELINE-IRCEL.AQ,4.491362027935441,51.25210341224123,EPSG:4979,BETR811,STA-BETR811,42R811 - SCHOTEN,BE.CELINE-IRCEL.AQ,2023-05-21 18:00:00+01:00,2023-05-21 19:00:00+01:00,2023-05-21 01:41:21+01:00,2023-05-21 19:38:13+01:00,22.4,1,3,8,ug/m3
