network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
CH,NET-CH003A,Nationales Beobachtungsnetz für Luftfremdstoffe,CH.BAFU.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,CO,SPO-CH0031A_00010_100,CH.BAFU.AQ,7.44087,46.95099999946448,EPSG:4979,CH0031A,STA-CH0031A,Bern-Bollwerk,CH.BAFU.AQ,2023-05-20 17:00:00+01:00,2023-05-20 18:00:00+01:00,2023-05-20 16:41:04+01:00,2023-05-20 18:41:19+01:00,0.4359,1,3,536,mg/m3
CH,NET-CH003A,Nationales Beobachtungsnetz für Luftfremdstoffe,CH.BAFU.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,CO,SPO-CH0031A_00010_100,CH.BAFU.AQ,7.44087,46.95099999946448,EPSG:4979,CH0031A,STA-CH0031A,Bern-Bollwerk,CH.BAFU.AQ,2023-05-20 18:00:00+01:00,2023-05-20 19:00:00+01:00,2023-05-20 17:35:34+01:00,2023-05-20 19:41:26+01:00,0.364,1,3,536,mg/m3
CH,NET-CH003A,Nationales Beobachtungsnetz für Luftfremdstoffe,CH.BAFU.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,CO,SPO-CH0031A_00010_100,CH.BAFU.AQ,7.44087,46.95099999946448,EPSG:4979,CH0031A,STA-CH0031A,Bern-Bollwerk,CH.BAFU.AQ,2023-05-20 19:00:00+01:00,2023-05-20 20:00:00+01:00,2023-05-20 18:41:19+01:00,2023-05-20 20:38:19+01:00,0.3716,1,3,536,mg/m3
CH,NET-CH003A,Nationales Beobachtungsnetz für Luftfremdstoffe,CH.BAFU.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,CO,SPO-CH0031A_00010_100,CH.BAFU.AQ,7.44087,46.95099999946448,EPSG:4979,CH0031A,STA-CH0031A,Bern-Bollwerk,CH.BAFU.AQ,2023-05-20 20:00:00+01:00,2023-05-20 21:00:00+01:00,2023-05-20 19:41:26+01:00,2023-05-20 21:41:25+01:00,0.402,1,3,536,mg/m3
CH,NET-CH003A,Nationales Beobachtungsnetz für Luftfremdstoffe,CH.BAFU.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,CO,SPO-CH0031A_00010_100,CH.BAFU.AQ,7.44087,46.95099999946448,EPSG:4979,CH0031A,STA-CH0031A,Bern-Bollwerk,CH.BAFU.AQ,2023-05-20 21:00:00+01:00,2023-05-20 22:00:00+01:00,2023-05-20 20:38:19+01:00,2023-05-20 22:38:16+01:00,0.4763,1,3,536,mg/m3
CH,NET-CH003A,Nationales Beobachtungsnetz für Luftfremdstoffe,CH.BAFU.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,CO,SPO-CH0031A_00010_100,CH.BAFU.AQ,7.44087,46.95099999946448,EPSG:4979,CH0031A,STA-CH0031A,Bern-Bollwerk,CH.BAFU.AQ,2023-05-20 22:00:00+01:00,2023-05-20 23:00:00+01:00,2023-05-20 21:41:25+01:00,2023-05-20 23:41:03+01:00,0.5347,1,3,536,mg/m3
CH,NET-CH003A,Nationales Beobachtungsnetz für Luftfremdstoffe,CH.BAFU.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,CO,SPO-CH0031A_00010_100,CH.BAFU.AQ,7.44087,46.95099999946448,EPSG:4979,CH0031A,STA-CH0031A,Bern-Bollwerk,CH.BAFU.AQ,2023-05-20 23:00:00+01:00,2023-05-21 00:00:00+01:00,2023-05-20 22:38:16+01:00,2023-05-21 00:35:32+01:00,0.587,1,3,536,mg/m3
CH,NET-CH003A,Nationales Beobachtungsnetz für Luftfremdstoffe,CH.BAFU.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,CO,SPO-CH0031A_00010_100,CH.BAFU.AQ,7.44087,46.95099999946448,EPSG:4979,CH0031A,STA-CH0031A,Bern-Bollwerk,CH.BAFU.AQ,2023-05-21 00:00:00+01:00,2023-05-21 01:00:00+01:00,2023-05-20 23:41:03+01:00,2023-05-21 01:41:32+01:00,0.462,1,3,536,mg/m3
CH,NET-CH003A,Nationales Beobachtungsnetz für Luftfremdstoffe,CH.BAFU.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,CO,SPO-CH0031A_00010_100,CH.BAFU.AQ,7.44087,46.95099999946448,EPSG:4979,CH0031A,STA-CH0031A,Bern-Bollwerk,CH.BAFU.AQ,2023-05-21 01:00:00+01:00,2023-05-21 02:00:00+01:00,2023-05-21 00:35:32+01:00,2023-05-21 02:41:31+01:00,0.4279,1,3,536,mg/m3
CH,NET-CH003A,Nationales Beobachtungsnetz für Luftfremdstoffe,CH.BAFU.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,CO,SPO-CH0031A_00010_100,CH.BAFU.AQ,7.44087,46.95099999946448,EPSG:4979,CH0031A,STA-CH0031A,Bern-Bollwerk,CH.BAFU.AQ,2023-05-21 02:00:00+01:00,2023-05-21 03:00:00+01:00,2023-05-21 01:41:32+01:00,2023-05-21 03:38:32+01:00,0.403,1,3,536,mg/m3
CH,NET-CH003A,Nationales Beobachtungsnetz für Luftfremdstoffe,CH.BAFU.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,CO,SPO-CH0031A_00010_100,CH.BAFU.AQ,7.44087,46.95099999946448,EPSG:4979,CH0031A,STA-CH0031A,Bern-Bollwerk,CH.BAFU.AQ,2023-05-21 03:00:00+01:00,2023-05-21 04:00:00+01:00,2023-05-21 02:41:31+01:00,2023-05-21 04:41:26+01:00,0.4293,1,3,536,mg/m3
CH,NET-CH003A,Nationales Beobachtungsnetz für Luftfremdstoffe,CH.BAFU.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,CO,SPO-CH0031A_00010_100,CH.BAFU.AQ,7.44087,46.95099999946448,EPSG:4979,CH0031A,STA-CH0031A,Bern-Bollwerk,CH.BAFU.AQ,2023-05-21 04:00:00+01:00,2023-05-21 05:00:00+01:00,2023-05-21 03:38:32+01:00,2023-05-21 05:38:31+01:00,0.4044,1,3,536,mg/m3
