network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
AT,NET.02,Amt der Kärntner Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO.02.M121.3676.7.1,AT.0008.20.AQ,13.70345,46.55839999946404,EPSG:4979,AT2M121,STA.02.M121,Arnoldstein Gailitz Waldsiedlungsstraße,AT.0008.20.AQ,2023-05-22 21:00:00+01:00,2023-05-22 22:00:00+01:00,2023-05-23 07:35:39+01:00,+01:00,57.19,1,2,574,ug/m3
AT,NET.02,Amt der Kärntner Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO.02.M121.3676.7.1,AT.0008.20.AQ,13.70345,46.55839999946404,EPSG:4979,AT2M121,STA.02.M121,Arnoldstein Gailitz Waldsiedlungsstraße,AT.0008.20.AQ,2023-05-22 22:00:00+01:00,2023-05-22 23:00:00+01:00,2023-05-23 07:35:39+01:00,+01:00,56.995,1,2,574,ug/m3
AT,NET.03,Amt der Niederösterreichischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO.03.1901.947.7.1,AT.0008.20.AQ,16.0625,48.32944499946691,EPSG:4979,AT31901,STA.03.1901,Tulln Leopoldgasse,AT.0008.20.AQ,2023-05-22 11:00:00+01:00,2023-05-22 12:00:00+01:00,2023-05-22 11:29:24+01:00,2023-05-22 12:32:16+01:00,119.426,1,2,178,ug/m3
AT,NET.03,Amt der Niederösterreichischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO.03.1901.947.7.1,AT.0008.20.AQ,16.0625,48.32944499946691,EPSG:4979,AT31901,STA.03.1901,Tulln Leopoldgasse,AT.0008.20.AQ,2023-05-22 12:00:00+01:00,2023-05-22 13:00:00+01:00,2023-05-22 12:32:16+01:00,2023-05-22 13:29:15+01:00,134.692,1,2,178,ug/m3
AT,NET.03,Amt der Niederösterreichischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO.03.1901.947.7.1,AT.0008.20.AQ,16.0625,48.32944499946691,EPSG:4979,AT31901,STA.03.1901,Tulln Leopoldgasse,AT.0008.20.AQ,2023-05-22 13:00:00+01:00,2023-05-22 14:00:00+01:00,2023-05-22 13:29:15+01:00,2023-05-22 14:32:15+01:00,136.886,1,2,178,ug/m3
AT,NET.03,Amt der Niederösterreichischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO.03.1901.947.7.1,AT.0008.20.AQ,16.0625,48.32944499946691,EPSG:4979,AT31901,STA.03.1901,Tulln Leopoldgasse,AT.0008.20.AQ,2023-05-22 14:00:00+01:00,2023-05-22 15:00:00+01:00,2023-05-22 14:32:15+01:00,2023-05-22 15:35:15+01:00,136.288,1,2,178,ug/m3
AT,NET.03,Amt der Niederösterreichischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO.03.1901.947.7.1,AT.0008.20.AQ,16.0625,48.32944499946691,EPSG:4979,AT31901,STA.03.1901,Tulln Leopoldgasse,AT.0008.20.AQ,2023-05-22 15:00:00+01:00,2023-05-22 16:00:00+01:00,2023-05-22 15:35:15+01:00,2023-05-22 16:29:23+01:00,121.322,1,2,178,ug/m3
AT,NET.03,Amt der Niederösterreichischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO.03.1901.947.7.1,AT.0008.20.AQ,16.0625,48.32944499946691,EPSG:4979,AT31901,STA.03.1901,Tulln Leopoldgasse,AT.0008.20.AQ,2023-05-22 16:00:00+01:00,2023-05-22 17:00:00+01:00,2023-05-22 16:29:23+01:00,2023-05-22 17:35:16+01:00,118.129,1,2,178,ug/m3
AT,NET.03,Amt der Niederösterreichischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO.03.1901.947.7.1,AT.0008.20.AQ,16.0625,48.32944499946691,EPSG:4979,AT31901,STA.03.1901,Tulln Leopoldgasse,AT.0008.20.AQ,2023-05-22 17:00:00+01:00,2023-05-22 18:00:00+01:00,2023-05-22 17:35:16+01:00,2023-05-22 18:29:22+01:00,116.034,1,2,178,ug/m3
AT,NET.03,Amt der Niederösterreichischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO.03.1901.947.7.1,AT.0008.20.AQ,16.0625,48.32944499946691,EPSG:4979,AT31901,STA.03.1901,Tulln Leopoldgasse,AT.0008.20.AQ,2023-05-22 18:00:00+01:00,2023-05-22 19:00:00+01:00,2023-05-22 18:29:22+01:00,2023-05-22 19:32:15+01:00,105.758,1,2,178,ug/m3
AT,NET.03,Amt der Niederösterreichischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO.03.1901.947.7.1,AT.0008.20.AQ,16.0625,48.32944499946691,EPSG:4979,AT31901,STA.03.1901,Tulln Leopoldgasse,AT.0008.20.AQ,2023-05-22 20:00:00+01:00,2023-05-22 21:00:00+01:00,2023-05-23 07:35:34+01:00,+01:00,66.747,1,2,178,ug/m3
AT,NET.03,Amt der Niederösterreichischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO.03.1901.947.7.1,AT.0008.20.AQ,16.0625,48.32944499946691,EPSG:4979,AT31901,STA.03.1901,Tulln Leopoldgasse,AT.0008.20.AQ,2023-05-22 22:00:00+01:00,2023-05-22 23:00:00+01:00,2023-05-23 07:35:34+01:00,+01:00,47.192,1,2,178,ug/m3
AT,NET.03,Amt der Niederösterreichischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO.03.1901.947.7.1,AT.0008.20.AQ,16.0625,48.32944499946691,EPSG:4979,AT31901,STA.03.1901,Tulln Leopoldgasse,AT.0008.20.AQ,2023-05-22 23:00:00+01:00,2023-05-23 00:00:00+01:00,2023-05-23 07:35:34+01:00,+01:00,47.491,1,2,178,ug/m3
AT,NET.03,Amt der Niederösterreichischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO.03.1901.947.7.1,AT.0008.20.AQ,16.0625,48.32944499946691,EPSG:4979,AT31901,STA.03.1901,Tulln Leopoldgasse,AT.0008.20.AQ,2023-05-23 00:00:00+01:00,2023-05-23 01:00:00+01:00,2023-05-23 07:35:34+01:00,+01:00,30.131,1,2,178,ug/m3
AT,NET.03,Amt der Niederösterreichischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,O3,SPO.03.1901.947.7.1,AT.0008.20.AQ,16.0625,48.32944499946691,EPSG:4979,AT31901,STA.03.1901,Tulln Leopoldgasse,AT.0008.20.AQ,2023-05-23 01:00:00+01:00,2023-05-23 02:00:00+01:00,2023-05-23 07:35:34+01:00,+01:00,25.641,1,2,178,ug/m3
