network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETN054_00007_100,BE.CELINE-IRCEL.AQ,5.103158609453951,50.711706094131614,EPSG:4979,BETN054,STA-BETN054,42N054 - WALSHOUTEM,BE.CELINE-IRCEL.AQ,2023-05-23 17:00:00+01:00,2023-05-23 18:00:00+01:00,2023-05-23 01:35:13+01:00,2023-05-23 18:38:09+01:00,84.5,1,3,135,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETN054_00007_100,BE.CELINE-IRCEL.AQ,5.103158609453951,50.711706094131614,EPSG:4979,BETN054,STA-BETN054,42N054 - WALSHOUTEM,BE.CELINE-IRCEL.AQ,2023-05-23 18:00:00+01:00,2023-05-23 19:00:00+01:00,2023-05-23 01:35:13+01:00,2023-05-23 19:35:35+01:00,84,1,3,135,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETN054_00007_100,BE.CELINE-IRCEL.AQ,5.103158609453951,50.711706094131614,EPSG:4979,BETN054,STA-BETN054,42N054 - WALSHOUTEM,BE.CELINE-IRCEL.AQ,2023-05-23 19:00:00+01:00,2023-05-23 20:00:00+01:00,2023-05-23 01:35:13+01:00,2023-05-23 20:38:08+01:00,80,1,3,135,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETN054_00007_100,BE.CELINE-IRCEL.AQ,5.103158609453951,50.711706094131614,EPSG:4979,BETN054,STA-BETN054,42N054 - WALSHOUTEM,BE.CELINE-IRCEL.AQ,2023-05-23 20:00:00+01:00,2023-05-23 21:00:00+01:00,2023-05-23 01:35:13+01:00,2023-05-23 21:35:06+01:00,74,1,3,135,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETN054_00007_100,BE.CELINE-IRCEL.AQ,5.103158609453951,50.711706094131614,EPSG:4979,BETN054,STA-BETN054,42N054 - WALSHOUTEM,BE.CELINE-IRCEL.AQ,2023-05-23 21:00:00+01:00,2023-05-23 22:00:00+01:00,2023-05-23 01:35:13+01:00,2023-05-23 22:35:18+01:00,68,1,3,135,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETN054_00007_100,BE.CELINE-IRCEL.AQ,5.103158609453951,50.711706094131614,EPSG:4979,BETN054,STA-BETN054,42N054 - WALSHOUTEM,BE.CELINE-IRCEL.AQ,2023-05-23 22:00:00+01:00,2023-05-23 23:00:00+01:00,2023-05-23 01:35:13+01:00,2023-05-23 23:41:11+01:00,69,1,3,135,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETN054_00007_100,BE.CELINE-IRCEL.AQ,5.103158609453951,50.711706094131614,EPSG:4979,BETN054,STA-BETN054,42N054 - WALSHOUTEM,BE.CELINE-IRCEL.AQ,2023-05-23 23:00:00+01:00,2023-05-24 00:00:00+01:00,2023-05-23 01:35:13+01:00,2023-05-24 00:35:05+01:00,65.5,1,3,135,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR701_00007_100,BE.CELINE-IRCEL.AQ,3.7292981716905906,51.05833171666185,EPSG:4979,BETR701,STA-BETR701,44R701 - GENT,BE.CELINE-IRCEL.AQ,2023-05-23 04:00:00+01:00,2023-05-23 05:00:00+01:00,2023-05-23 01:35:17+01:00,2023-05-23 05:35:15+01:00,88.5,1,3,5,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR701_00007_100,BE.CELINE-IRCEL.AQ,3.7292981716905906,51.05833171666185,EPSG:4979,BETR701,STA-BETR701,44R701 - GENT,BE.CELINE-IRCEL.AQ,2023-05-23 05:00:00+01:00,2023-05-23 06:00:00+01:00,2023-05-23 01:35:17+01:00,2023-05-23 06:38:15+01:00,75,1,3,5,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR701_00007_100,BE.CELINE-IRCEL.AQ,3.7292981716905906,51.05833171666185,EPSG:4979,BETR701,STA-BETR701,44R701 - GENT,BE.CELINE-IRCEL.AQ,2023-05-23 06:00:00+01:00,2023-05-23 07:00:00+01:00,2023-05-23 01:35:17+01:00,2023-05-23 07:36:32+01:00,74.5,1,3,5,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR701_00007_100,BE.CELINE-IRCEL.AQ,3.7292981716905906,51.05833171666185,EPSG:4979,BETR701,STA-BETR701,44R701 - GENT,BE.CELINE-IRCEL.AQ,2023-05-23 07:00:00+01:00,2023-05-23 08:00:00+01:00,2023-05-23 01:35:17+01:00,2023-05-23 08:35:28+01:00,79.5,1,3,5,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR701_00007_100,BE.CELINE-IRCEL.AQ,3.7292981716905906,51.05833171666185,EPSG:4979,BETR701,STA-BETR701,44R701 - GENT,BE.CELINE-IRCEL.AQ,2023-05-23 08:00:00+01:00,2023-05-23 09:00:00+01:00,2023-05-23 01:35:17+01:00,2023-05-23 09:41:15+01:00,74,1,3,5,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR701_00007_100,BE.CELINE-IRCEL.AQ,3.7292981716905906,51.05833171666185,EPSG:4979,BETR701,STA-BETR701,44R701 - GENT,BE.CELINE-IRCEL.AQ,2023-05-23 09:00:00+01:00,2023-05-23 10:00:00+01:00,2023-05-23 01:35:17+01:00,2023-05-23 10:35:14+01:00,63,1,3,5,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR701_00007_100,BE.CELINE-IRCEL.AQ,3.7292981716905906,51.05833171666185,EPSG:4979,BETR701,STA-BETR701,44R701 - GENT,BE.CELINE-IRCEL.AQ,2023-05-23 10:00:00+01:00,2023-05-23 11:00:00+01:00,2023-05-23 01:35:17+01:00,2023-05-23 11:38:13+01:00,67.5,1,3,5,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR701_00007_100,BE.CELINE-IRCEL.AQ,3.7292981716905906,51.05833171666185,EPSG:4979,BETR701,STA-BETR701,44R701 - GENT,BE.CELINE-IRCEL.AQ,2023-05-23 11:00:00+01:00,2023-05-23 12:00:00+01:00,2023-05-23 01:35:17+01:00,2023-05-23 12:35:41+01:00,73.5,1,3,5,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR701_00007_100,BE.CELINE-IRCEL.AQ,3.7292981716905906,51.05833171666185,EPSG:4979,BETR701,STA-BETR701,44R701 - GENT,BE.CELINE-IRCEL.AQ,2023-05-23 12:00:00+01:00,2023-05-23 13:00:00+01:00,2023-05-23 01:35:17+01:00,2023-05-23 13:38:13+01:00,76.5,1,3,5,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR701_00007_100,BE.CELINE-IRCEL.AQ,3.7292981716905906,51.05833171666185,EPSG:4979,BETR701,STA-BETR701,44R701 - GENT,BE.CELINE-IRCEL.AQ,2023-05-23 13:00:00+01:00,2023-05-23 14:00:00+01:00,2023-05-23 01:35:17+01:00,2023-05-23 14:35:40+01:00,78,1,3,5,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR701_00007_100,BE.CELINE-IRCEL.AQ,3.7292981716905906,51.05833171666185,EPSG:4979,BETR701,STA-BETR701,44R701 - GENT,BE.CELINE-IRCEL.AQ,2023-05-23 14:00:00+01:00,2023-05-23 15:00:00+01:00,2023-05-23 01:35:17+01:00,2023-05-23 15:35:24+01:00,79,1,3,5,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR701_00007_100,BE.CELINE-IRCEL.AQ,3.7292981716905906,51.05833171666185,EPSG:4979,BETR701,STA-BETR701,44R701 - GENT,BE.CELINE-IRCEL.AQ,2023-05-23 15:00:00+01:00,2023-05-23 16:00:00+01:00,2023-05-23 01:35:17+01:00,2023-05-23 18:38:11+01:00,82.5,1,3,5,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR701_00007_100,BE.CELINE-IRCEL.AQ,3.7292981716905906,51.05833171666185,EPSG:4979,BETR701,STA-BETR701,44R701 - GENT,BE.CELINE-IRCEL.AQ,2023-05-23 16:00:00+01:00,2023-05-23 17:00:00+01:00,2023-05-23 01:35:17+01:00,2023-05-23 18:38:11+01:00,82,1,3,5,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR701_00007_100,BE.CELINE-IRCEL.AQ,3.7292981716905906,51.05833171666185,EPSG:4979,BETR701,STA-BETR701,44R701 - GENT,BE.CELINE-IRCEL.AQ,2023-05-23 17:00:00+01:00,2023-05-23 18:00:00+01:00,2023-05-23 01:35:17+01:00,2023-05-23 18:38:11+01:00,82.5,1,3,5,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR701_00007_100,BE.CELINE-IRCEL.AQ,3.7292981716905906,51.05833171666185,EPSG:4979,BETR701,STA-BETR701,44R701 - GENT,BE.CELINE-IRCEL.AQ,2023-05-23 18:00:00+01:00,2023-05-23 19:00:00+01:00,2023-05-23 01:35:17+01:00,2023-05-23 19:35:38+01:00,81.5,1,3,5,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR701_00007_100,BE.CELINE-IRCEL.AQ,3.7292981716905906,51.05833171666185,EPSG:4979,BETR701,STA-BETR701,44R701 - GENT,BE.CELINE-IRCEL.AQ,2023-05-23 19:00:00+01:00,2023-05-23 20:00:00+01:00,2023-05-23 01:35:17+01:00,2023-05-23 20:38:10+01:00,76.5,1,3,5,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR701_00007_100,BE.CELINE-IRCEL.AQ,3.7292981716905906,51.05833171666185,EPSG:4979,BETR701,STA-BETR701,44R701 - GENT,BE.CELINE-IRCEL.AQ,2023-05-23 20:00:00+01:00,2023-05-23 21:00:00+01:00,2023-05-23 01:35:17+01:00,2023-05-23 21:35:08+01:00,68.5,1,3,5,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR701_00007_100,BE.CELINE-IRCEL.AQ,3.7292981716905906,51.05833171666185,EPSG:4979,BETR701,STA-BETR701,44R701 - GENT,BE.CELINE-IRCEL.AQ,2023-05-23 21:00:00+01:00,2023-05-23 22:00:00+01:00,2023-05-23 01:35:17+01:00,2023-05-23 22:35:20+01:00,61,1,3,5,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR701_00007_100,BE.CELINE-IRCEL.AQ,3.7292981716905906,51.05833171666185,EPSG:4979,BETR701,STA-BETR701,44R701 - GENT,BE.CELINE-IRCEL.AQ,2023-05-23 22:00:00+01:00,2023-05-23 23:00:00+01:00,2023-05-23 01:35:17+01:00,2023-05-23 23:41:14+01:00,66.5,1,3,5,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR801_00007_100,BE.CELINE-IRCEL.AQ,4.431821046968841,51.209662531306556,EPSG:4979,BETR801,STA-BETR801,42R801 - BORGERHOUT,BE.CELINE-IRCEL.AQ,2023-05-23 00:00:00+01:00,2023-05-23 01:00:00+01:00,2023-05-22 01:35:05+01:00,2023-05-23 01:35:06+01:00,81,1,3,6,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR801_00007_100,BE.CELINE-IRCEL.AQ,4.431821046968841,51.209662531306556,EPSG:4979,BETR801,STA-BETR801,42R801 - BORGERHOUT,BE.CELINE-IRCEL.AQ,2023-05-23 01:00:00+01:00,2023-05-23 02:00:00+01:00,2023-05-23 01:35:06+01:00,2023-05-23 02:41:06+01:00,84.5,1,3,6,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR801_00007_100,BE.CELINE-IRCEL.AQ,4.431821046968841,51.209662531306556,EPSG:4979,BETR801,STA-BETR801,42R801 - BORGERHOUT,BE.CELINE-IRCEL.AQ,2023-05-23 02:00:00+01:00,2023-05-23 03:00:00+01:00,2023-05-23 01:35:06+01:00,2023-05-23 03:35:05+01:00,91.5,1,3,6,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR801_00007_100,BE.CELINE-IRCEL.AQ,4.431821046968841,51.209662531306556,EPSG:4979,BETR801,STA-BETR801,42R801 - BORGERHOUT,BE.CELINE-IRCEL.AQ,2023-05-23 03:00:00+01:00,2023-05-23 04:00:00+01:00,2023-05-23 01:35:06+01:00,2023-05-23 04:38:06+01:00,91.5,1,3,6,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR801_00007_100,BE.CELINE-IRCEL.AQ,4.431821046968841,51.209662531306556,EPSG:4979,BETR801,STA-BETR801,42R801 - BORGERHOUT,BE.CELINE-IRCEL.AQ,2023-05-23 04:00:00+01:00,2023-05-23 05:00:00+01:00,2023-05-23 01:35:06+01:00,2023-05-23 05:35:05+01:00,91,1,3,6,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR801_00007_100,BE.CELINE-IRCEL.AQ,4.431821046968841,51.209662531306556,EPSG:4979,BETR801,STA-BETR801,42R801 - BORGERHOUT,BE.CELINE-IRCEL.AQ,2023-05-23 05:00:00+01:00,2023-05-23 06:00:00+01:00,2023-05-23 01:35:06+01:00,2023-05-23 06:38:05+01:00,76,1,3,6,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR801_00007_100,BE.CELINE-IRCEL.AQ,4.431821046968841,51.209662531306556,EPSG:4979,BETR801,STA-BETR801,42R801 - BORGERHOUT,BE.CELINE-IRCEL.AQ,2023-05-23 06:00:00+01:00,2023-05-23 07:00:00+01:00,2023-05-23 01:35:06+01:00,2023-05-23 07:36:22+01:00,74.5,1,3,6,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR801_00007_100,BE.CELINE-IRCEL.AQ,4.431821046968841,51.209662531306556,EPSG:4979,BETR801,STA-BETR801,42R801 - BORGERHOUT,BE.CELINE-IRCEL.AQ,2023-05-23 07:00:00+01:00,2023-05-23 08:00:00+01:00,2023-05-23 01:35:06+01:00,2023-05-23 08:35:18+01:00,77,1,3,6,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR801_00007_100,BE.CELINE-IRCEL.AQ,4.431821046968841,51.209662531306556,EPSG:4979,BETR801,STA-BETR801,42R801 - BORGERHOUT,BE.CELINE-IRCEL.AQ,2023-05-23 08:00:00+01:00,2023-05-23 09:00:00+01:00,2023-05-23 01:35:06+01:00,2023-05-23 09:41:06+01:00,80,1,3,6,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR801_00007_100,BE.CELINE-IRCEL.AQ,4.431821046968841,51.209662531306556,EPSG:4979,BETR801,STA-BETR801,42R801 - BORGERHOUT,BE.CELINE-IRCEL.AQ,2023-05-23 09:00:00+01:00,2023-05-23 10:00:00+01:00,2023-05-23 01:35:06+01:00,2023-05-23 10:35:05+01:00,71,1,3,6,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,O3,SPO-BETR801_00007_100,BE.CELINE-IRCEL.AQ,4.431821046968841,51.209662531306556,EPSG:4979,BETR801,STA-BETR801,42R801 - BORGERHOUT,BE.CELINE-IRCEL.AQ,2023-05-23 10:00:00+01:00,2023-05-23 11:00:00+01:00,2023-05-23 01:35:06+01:00,2023-05-23 11:38:05+01:00,70.5,1,3,6,ug/m3
