network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
FI,NET-FI004A,Helsingin seudun verkko (HSY),FI.FMI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,O3,SPO-FI00781_00007_100,FI.FMI.AQ,25.10244,60.22392999953766,EPSG:4979,FI00781,STA-FI00781,Vartiokylä Huivipolku,FI.FMI.AQ,2023-05-23 04:00:00+01:00,2023-05-23 05:00:00+01:00,2023-05-23 05:41:07+01:00,+01:00,45.55001,1,3,14,ug/m3
FI,NET-FI004A,Helsingin seudun verkko (HSY),FI.FMI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,O3,SPO-FI00781_00007_100,FI.FMI.AQ,25.10244,60.22392999953766,EPSG:4979,FI00781,STA-FI00781,Vartiokylä Huivipolku,FI.FMI.AQ,2023-05-23 05:00:00+01:00,2023-05-23 06:00:00+01:00,2023-05-23 06:41:07+01:00,+01:00,53.75832,1,3,14,ug/m3
FI,NET-FI004A,Helsingin seudun verkko (HSY),FI.FMI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,O3,SPO-FI00781_00007_100,FI.FMI.AQ,25.10244,60.22392999953766,EPSG:4979,FI00781,STA-FI00781,Vartiokylä Huivipolku,FI.FMI.AQ,2023-05-23 06:00:00+01:00,2023-05-23 07:00:00+01:00,2023-05-23 07:38:07+01:00,+01:00,59.70426,1,3,14,ug/m3
FI,NET-FI004A,Helsingin seudun verkko (HSY),FI.FMI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,O3,SPO-FI00781_00007_100,FI.FMI.AQ,25.10244,60.22392999953766,EPSG:4979,FI00781,STA-FI00781,Vartiokylä Huivipolku,FI.FMI.AQ,2023-05-23 07:00:00+01:00,2023-05-23 08:00:00+01:00,2023-05-23 08:41:09+01:00,+01:00,63.48137,1,3,14,ug/m3
FI,NET-FI004A,Helsingin seudun verkko (HSY),FI.FMI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,O3,SPO-FI00781_00007_100,FI.FMI.AQ,25.10244,60.22392999953766,EPSG:4979,FI00781,STA-FI00781,Vartiokylä Huivipolku,FI.FMI.AQ,2023-05-23 08:00:00+01:00,2023-05-23 09:00:00+01:00,2023-05-23 09:44:03+01:00,+01:00,65.9723,1,3,14,ug/m3
FI,NET-FI004A,Helsingin seudun verkko (HSY),FI.FMI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,O3,SPO-FI00781_00007_100,FI.FMI.AQ,25.10244,60.22392999953766,EPSG:4979,FI00781,STA-FI00781,Vartiokylä Huivipolku,FI.FMI.AQ,2023-05-23 09:00:00+01:00,2023-05-23 10:00:00+01:00,2023-05-23 10:41:07+01:00,+01:00,75.03476,1,3,14,ug/m3
FI,NET-FI004A,Helsingin seudun verkko (HSY),FI.FMI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,O3,SPO-FI00781_00007_100,FI.FMI.AQ,25.10244,60.22392999953766,EPSG:4979,FI00781,STA-FI00781,Vartiokylä Huivipolku,FI.FMI.AQ,2023-05-23 10:00:00+01:00,2023-05-23 11:00:00+01:00,2023-05-23 11:44:02+01:00,+01:00,71.69875,1,3,14,ug/m3
FI,NET-FI004A,Helsingin seudun verkko (HSY),FI.FMI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,O3,SPO-FI00781_00007_100,FI.FMI.AQ,25.10244,60.22392999953766,EPSG:4979,FI00781,STA-FI00781,Vartiokylä Huivipolku,FI.FMI.AQ,2023-05-23 11:00:00+01:00,2023-05-23 12:00:00+01:00,2023-05-23 12:41:07+01:00,+01:00,81.22324,1,3,14,ug/m3
FI,NET-FI004A,Helsingin seudun verkko (HSY),FI.FMI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,O3,SPO-FI00781_00007_100,FI.FMI.AQ,25.10244,60.22392999953766,EPSG:4979,FI00781,STA-FI00781,Vartiokylä Huivipolku,FI.FMI.AQ,2023-05-23 12:00:00+01:00,2023-05-23 13:00:00+01:00,2023-05-23 13:41:07+01:00,+01:00,83.47923,1,3,14,ug/m3
FI,NET-FI004A,Helsingin seudun verkko (HSY),FI.FMI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,O3,SPO-FI00781_00007_100,FI.FMI.AQ,25.10244,60.22392999953766,EPSG:4979,FI00781,STA-FI00781,Vartiokylä Huivipolku,FI.FMI.AQ,2023-05-23 13:00:00+01:00,2023-05-23 14:00:00+01:00,2023-05-23 14:38:08+01:00,+01:00,84.70908,1,3,14,ug/m3
