network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,NO,SPO.CZ_TCTNA_NO_40605,CZ.CHMI-Prague-Komorany.AQ,18.609725952148438,49.748958587646484,EPSG:4979,CZ0TCTN,STA.CZ_TCTN,Cesky Tesin,CZ.CHMI-Prague-Komorany.AQ,2023-05-22 08:00:00+01:00,2023-05-22 09:00:00+01:00,2023-05-22 10:47:01+01:00,+01:00,2.4,1,3,285,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,NO,SPO.CZ_TCTNA_NO_40605,CZ.CHMI-Prague-Komorany.AQ,18.609725952148438,49.748958587646484,EPSG:4979,CZ0TCTN,STA.CZ_TCTN,Cesky Tesin,CZ.CHMI-Prague-Komorany.AQ,2023-05-22 09:00:00+01:00,2023-05-22 10:00:00+01:00,2023-05-22 11:44:01+01:00,+01:00,1.9,1,3,285,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,NO,SPO.CZ_TCTNA_NO_40605,CZ.CHMI-Prague-Komorany.AQ,18.609725952148438,49.748958587646484,EPSG:4979,CZ0TCTN,STA.CZ_TCTN,Cesky Tesin,CZ.CHMI-Prague-Komorany.AQ,2023-05-22 11:00:00+01:00,2023-05-22 12:00:00+01:00,2023-05-22 13:50:02+01:00,+01:00,1.5,1,3,285,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,NO,SPO.CZ_TCTNA_NO_40605,CZ.CHMI-Prague-Komorany.AQ,18.609725952148438,49.748958587646484,EPSG:4979,CZ0TCTN,STA.CZ_TCTN,Cesky Tesin,CZ.CHMI-Prague-Komorany.AQ,2023-05-22 12:00:00+01:00,2023-05-22 13:00:00+01:00,2023-05-22 14:47:01+01:00,+01:00,0.5,3,3,285,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,NO,SPO.CZ_TCTNA_NO_40605,CZ.CHMI-Prague-Komorany.AQ,18.609725952148438,49.748958587646484,EPSG:4979,CZ0TCTN,STA.CZ_TCTN,Cesky Tesin,CZ.CHMI-Prague-Komorany.AQ,2023-05-22 13:00:00+01:00,2023-05-22 14:00:00+01:00,2023-05-22 15:47:01+01:00,+01:00,0.5,3,3,285,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,NO,SPO.CZ_TCTNA_NO_40605,CZ.CHMI-Prague-Komorany.AQ,18.609725952148438,49.748958587646484,EPSG:4979,CZ0TCTN,STA.CZ_TCTN,Cesky Tesin,CZ.CHMI-Prague-Komorany.AQ,2023-05-22 14:00:00+01:00,2023-05-22 15:00:00+01:00,2023-05-22 16:44:01+01:00,+01:00,0.5,3,3,285,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,NO,SPO.CZ_TCTNA_NO_40605,CZ.CHMI-Prague-Komorany.AQ,18.609725952148438,49.748958587646484,EPSG:4979,CZ0TCTN,STA.CZ_TCTN,Cesky Tesin,CZ.CHMI-Prague-Komorany.AQ,2023-05-22 15:00:00+01:00,2023-05-22 16:00:00+01:00,2023-05-22 17:47:01+01:00,+01:00,0.5,3,3,285,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,NO,SPO.CZ_TCTNA_NO_40605,CZ.CHMI-Prague-Komorany.AQ,18.609725952148438,49.748958587646484,EPSG:4979,CZ0TCTN,STA.CZ_TCTN,Cesky Tesin,CZ.CHMI-Prague-Komorany.AQ,2023-05-22 16:00:00+01:00,2023-05-22 17:00:00+01:00,2023-05-22 18:44:01+01:00,+01:00,0.5,3,3,285,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,NO,SPO.CZ_TCTNA_NO_40605,CZ.CHMI-Prague-Komorany.AQ,18.609725952148438,49.748958587646484,EPSG:4979,CZ0TCTN,STA.CZ_TCTN,Cesky Tesin,CZ.CHMI-Prague-Komorany.AQ,2023-05-22 17:00:00+01:00,2023-05-22 18:00:00+01:00,2023-05-22 19:47:01+01:00,+01:00,0.5,3,3,285,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,NO,SPO.CZ_HHKBA_NO_41183,CZ.CHMI-Prague-Komorany.AQ,15.846376419067385,50.195362091064446,EPSG:4979,CZ0HHKB,STA.CZ_HHKB,Hradec Kralove-Brnen,CZ.CHMI-Prague-Komorany.AQ,2023-05-22 08:00:00+01:00,2023-05-22 09:00:00+01:00,2023-05-22 10:47:01+01:00,+01:00,3.7,1,3,232,ug/m3
