network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,NO2,SPO-BETR740_00008_100,BE.CELINE-IRCEL.AQ,3.80873543041274,51.15013609039752,EPSG:4979,BETR740,STA-BETR740,44R740 - ST.KRUIS-WI,BE.CELINE-IRCEL.AQ,2023-05-22 10:00:00+01:00,2023-05-22 11:00:00+01:00,2023-05-22 01:35:20+01:00,2023-05-22 11:35:28+01:00,16,1,3,5,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,NO2,SPO-BETR740_00008_100,BE.CELINE-IRCEL.AQ,3.80873543041274,51.15013609039752,EPSG:4979,BETR740,STA-BETR740,44R740 - ST.KRUIS-WI,BE.CELINE-IRCEL.AQ,2023-05-22 11:00:00+01:00,2023-05-22 12:00:00+01:00,2023-05-22 01:35:20+01:00,2023-05-22 12:41:16+01:00,13,1,3,5,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,NO2,SPO-BETR740_00008_100,BE.CELINE-IRCEL.AQ,3.80873543041274,51.15013609039752,EPSG:4979,BETR740,STA-BETR740,44R740 - ST.KRUIS-WI,BE.CELINE-IRCEL.AQ,2023-05-22 13:00:00+01:00,2023-05-22 14:00:00+01:00,2023-05-22 01:35:20+01:00,2023-05-22 14:38:15+01:00,10,1,3,5,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,NO2,SPO-BETR740_00008_100,BE.CELINE-IRCEL.AQ,3.80873543041274,51.15013609039752,EPSG:4979,BETR740,STA-BETR740,44R740 - ST.KRUIS-WI,BE.CELINE-IRCEL.AQ,2023-05-22 14:00:00+01:00,2023-05-22 15:00:00+01:00,2023-05-22 01:35:20+01:00,2023-05-22 15:35:40+01:00,15.5,1,3,5,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,NO2,SPO-BETR740_00008_100,BE.CELINE-IRCEL.AQ,3.80873543041274,51.15013609039752,EPSG:4979,BETR740,STA-BETR740,44R740 - ST.KRUIS-WI,BE.CELINE-IRCEL.AQ,2023-05-22 15:00:00+01:00,2023-05-22 16:00:00+01:00,2023-05-22 01:35:20+01:00,2023-05-22 16:38:14+01:00,10.5,1,3,5,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,NO2,SPO-BETR740_00008_100,BE.CELINE-IRCEL.AQ,3.80873543041274,51.15013609039752,EPSG:4979,BETR740,STA-BETR740,44R740 - ST.KRUIS-WI,BE.CELINE-IRCEL.AQ,2023-05-22 16:00:00+01:00,2023-05-22 17:00:00+01:00,2023-05-22 01:35:20+01:00,2023-05-22 17:35:42+01:00,11,1,3,5,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,NO2,SPO-BETR740_00008_100,BE.CELINE-IRCEL.AQ,3.80873543041274,51.15013609039752,EPSG:4979,BETR740,STA-BETR740,44R740 - ST.KRUIS-WI,BE.CELINE-IRCEL.AQ,2023-05-22 17:00:00+01:00,2023-05-22 18:00:00+01:00,2023-05-22 01:35:20+01:00,2023-05-22 18:35:24+01:00,15,1,3,5,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,NO2,SPO-BETR740_00008_100,BE.CELINE-IRCEL.AQ,3.80873543041274,51.15013609039752,EPSG:4979,BETR740,STA-BETR740,44R740 - ST.KRUIS-WI,BE.CELINE-IRCEL.AQ,2023-05-22 18:00:00+01:00,2023-05-22 19:00:00+01:00,2023-05-22 01:35:20+01:00,2023-05-22 19:41:12+01:00,15,1,3,5,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,NO2,SPO-BETR740_00008_100,BE.CELINE-IRCEL.AQ,3.80873543041274,51.15013609039752,EPSG:4979,BETR740,STA-BETR740,44R740 - ST.KRUIS-WI,BE.CELINE-IRCEL.AQ,2023-05-22 19:00:00+01:00,2023-05-22 20:00:00+01:00,2023-05-22 01:35:20+01:00,2023-05-22 20:35:11+01:00,13.5,1,3,5,ug/m3
BE,NET-Flanders,Flanders,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,NO2,SPO-BETR740_00008_100,BE.CELINE-IRCEL.AQ,3.80873543041274,51.15013609039752,EPSG:4979,BETR740,STA-BETR740,44R740 - ST.KRUIS-WI,BE.CELINE-IRCEL.AQ,2023-05-22 20:00:00+01:00,2023-05-22 21:00:00+01:00,2023-05-22 01:35:20+01:00,2023-05-22 21:38:14+01:00,10.5,1,3,5,ug/m3
