network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
DE,NET.DE_UB,Bryan Hellack,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,SO2,SPO.DE_DEUB028_SO2_dataGroup1,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,12.721938,54.436985,EPSG:4979,DEUB028,STA.DE_DEUB028,Zingst,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,2023-05-22 10:00:00+01:00,2023-05-22 11:00:00+01:00,2023-05-22 00:53:35+01:00,2023-05-22 10:53:21+01:00,1.35,1,3,1,ug/m3
DE,NET.DE_UB,Bryan Hellack,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,SO2,SPO.DE_DEUB028_SO2_dataGroup1,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,12.721938,54.436985,EPSG:4979,DEUB028,STA.DE_DEUB028,Zingst,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,2023-05-22 11:00:00+01:00,2023-05-22 12:00:00+01:00,2023-05-22 00:53:35+01:00,2023-05-22 11:59:07+01:00,1.3,1,3,1,ug/m3
DE,NET.DE_UB,Bryan Hellack,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,SO2,SPO.DE_DEUB028_SO2_dataGroup1,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,12.721938,54.436985,EPSG:4979,DEUB028,STA.DE_DEUB028,Zingst,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,2023-05-22 12:00:00+01:00,2023-05-22 13:00:00+01:00,2023-05-22 00:53:35+01:00,2023-05-22 12:53:06+01:00,1.29,1,3,1,ug/m3
DE,NET.DE_UB,Bryan Hellack,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,SO2,SPO.DE_DEUB028_SO2_dataGroup1,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,12.721938,54.436985,EPSG:4979,DEUB028,STA.DE_DEUB028,Zingst,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,2023-05-22 13:00:00+01:00,2023-05-22 14:00:00+01:00,2023-05-22 00:53:35+01:00,2023-05-22 13:55:59+01:00,1.24,1,3,1,ug/m3
DE,NET.DE_UB,Bryan Hellack,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,SO2,SPO.DE_DEUB028_SO2_dataGroup1,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,12.721938,54.436985,EPSG:4979,DEUB028,STA.DE_DEUB028,Zingst,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,2023-05-22 14:00:00+01:00,2023-05-22 15:00:00+01:00,2023-05-22 00:53:35+01:00,2023-05-22 14:52:55+01:00,1.26,1,3,1,ug/m3
DE,NET.DE_UB,Bryan Hellack,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,SO2,SPO.DE_DEUB028_SO2_dataGroup1,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,12.721938,54.436985,EPSG:4979,DEUB028,STA.DE_DEUB028,Zingst,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,2023-05-22 15:00:00+01:00,2023-05-22 16:00:00+01:00,2023-05-22 00:53:35+01:00,2023-05-22 15:55:51+01:00,1.3,1,3,1,ug/m3
DE,NET.DE_UB,Bryan Hellack,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,SO2,SPO.DE_DEUB028_SO2_dataGroup1,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,12.721938,54.436985,EPSG:4979,DEUB028,STA.DE_DEUB028,Zingst,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,2023-05-22 16:00:00+01:00,2023-05-22 17:00:00+01:00,2023-05-22 00:53:35+01:00,2023-05-22 16:52:49+01:00,1.46,1,3,1,ug/m3
DE,NET.DE_UB,Bryan Hellack,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,SO2,SPO.DE_DEUB028_SO2_dataGroup1,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,12.721938,54.436985,EPSG:4979,DEUB028,STA.DE_DEUB028,Zingst,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,2023-05-22 17:00:00+01:00,2023-05-22 18:00:00+01:00,2023-05-22 00:53:35+01:00,2023-05-22 17:52:44+01:00,1.28,1,3,1,ug/m3
DE,NET.DE_UB,Bryan Hellack,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,SO2,SPO.DE_DEUB028_SO2_dataGroup1,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,12.721938,54.436985,EPSG:4979,DEUB028,STA.DE_DEUB028,Zingst,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,2023-05-22 18:00:00+01:00,2023-05-22 19:00:00+01:00,2023-05-22 00:53:35+01:00,2023-05-22 18:58:16+01:00,1.25,1,3,1,ug/m3
DE,NET.DE_UB,Bryan Hellack,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,SO2,SPO.DE_DEUB028_SO2_dataGroup1,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,12.721938,54.436985,EPSG:4979,DEUB028,STA.DE_DEUB028,Zingst,http://gdi.uba.de/arcgis/rest/services/inspire/DE.UBA.AQD,2023-05-22 19:00:00+01:00,2023-05-22 20:00:00+01:00,2023-05-22 00:53:35+01:00,2023-05-22 19:52:29+01:00,1.1,1,3,1,ug/m3
