network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
AD,NET-AD001A,Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra,AD.GovernAndorra.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-AD0942A-0008,AD.GovernAndorra.AQ,1.539138,42.50969400000001,EPSG:4979,AD0942A,STA-AD0942A,Escaldes-Engordany,AD.GovernAndorra.AQ,2023-05-24 11:00:00+01:00,2023-05-24 12:00:00+01:00,2023-05-24 12:38:01+01:00,+01:00,14.5,1,3,1080,ug/m3
AD,NET-AD001A,Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra,AD.GovernAndorra.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-AD0942A-0008,AD.GovernAndorra.AQ,1.539138,42.50969400000001,EPSG:4979,AD0942A,STA-AD0942A,Escaldes-Engordany,AD.GovernAndorra.AQ,2023-05-24 12:00:00+01:00,2023-05-24 13:00:00+01:00,2023-05-24 13:38:01+01:00,+01:00,18.1,1,3,1080,ug/m3
AD,NET-AD001A,Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra,AD.GovernAndorra.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-AD0942A-0008,AD.GovernAndorra.AQ,1.539138,42.50969400000001,EPSG:4979,AD0942A,STA-AD0942A,Escaldes-Engordany,AD.GovernAndorra.AQ,2023-05-24 13:00:00+01:00,2023-05-24 14:00:00+01:00,2023-05-24 14:38:01+01:00,+01:00,16.1,1,3,1080,ug/m3
AD,NET-AD001A,Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra,AD.GovernAndorra.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-AD0942A-0008,AD.GovernAndorra.AQ,1.539138,42.50969400000001,EPSG:4979,AD0942A,STA-AD0942A,Escaldes-Engordany,AD.GovernAndorra.AQ,2023-05-24 14:00:00+01:00,2023-05-24 15:00:00+01:00,2023-05-24 15:38:01+01:00,+01:00,13.7,1,3,1080,ug/m3
AD,NET-AD001A,Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra,AD.GovernAndorra.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-AD0942A-0008,AD.GovernAndorra.AQ,1.539138,42.50969400000001,EPSG:4979,AD0942A,STA-AD0942A,Escaldes-Engordany,AD.GovernAndorra.AQ,2023-05-24 15:00:00+01:00,2023-05-24 16:00:00+01:00,2023-05-24 16:38:01+01:00,+01:00,15.9,1,3,1080,ug/m3
AD,NET-AD001A,Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra,AD.GovernAndorra.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-AD0942A-0008,AD.GovernAndorra.AQ,1.539138,42.50969400000001,EPSG:4979,AD0942A,STA-AD0942A,Escaldes-Engordany,AD.GovernAndorra.AQ,2023-05-24 16:00:00+01:00,2023-05-24 17:00:00+01:00,2023-05-24 17:38:01+01:00,+01:00,16,1,3,1080,ug/m3
AD,NET-AD001A,Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra,AD.GovernAndorra.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-AD0942A-0008,AD.GovernAndorra.AQ,1.539138,42.50969400000001,EPSG:4979,AD0942A,STA-AD0942A,Escaldes-Engordany,AD.GovernAndorra.AQ,2023-05-24 17:00:00+01:00,2023-05-24 18:00:00+01:00,2023-05-24 18:38:02+01:00,+01:00,14,1,3,1080,ug/m3
AD,NET-AD001A,Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra,AD.GovernAndorra.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-AD0942A-0008,AD.GovernAndorra.AQ,1.539138,42.50969400000001,EPSG:4979,AD0942A,STA-AD0942A,Escaldes-Engordany,AD.GovernAndorra.AQ,2023-05-24 18:00:00+01:00,2023-05-24 19:00:00+01:00,2023-05-24 19:38:01+01:00,+01:00,15.3,1,3,1080,ug/m3
AD,NET-AD001A,Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra,AD.GovernAndorra.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-AD0942A-0008,AD.GovernAndorra.AQ,1.539138,42.50969400000001,EPSG:4979,AD0942A,STA-AD0942A,Escaldes-Engordany,AD.GovernAndorra.AQ,2023-05-24 19:00:00+01:00,2023-05-24 20:00:00+01:00,2023-05-24 20:38:01+01:00,+01:00,13.7,1,3,1080,ug/m3
AD,NET-AD001A,Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra,AD.GovernAndorra.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-AD0942A-0008,AD.GovernAndorra.AQ,1.539138,42.50969400000001,EPSG:4979,AD0942A,STA-AD0942A,Escaldes-Engordany,AD.GovernAndorra.AQ,2023-05-24 20:00:00+01:00,2023-05-24 21:00:00+01:00,2023-05-24 21:38:01+01:00,+01:00,16.9,1,3,1080,ug/m3
