network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
AT,NET.05,Amt der Salzburger Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,CO,SPO.05.1000.2232.10.1,AT.0008.20.AQ,13.05329,47.79739999946582,EPSG:4979,AT51000,STA.05.1000,Salzburg Rudolfsplatz,AT.0008.20.AQ,2023-05-27 08:00:00+01:00,2023-05-27 09:00:00+01:00,2023-05-27 08:29:08+01:00,2023-05-27 09:35:02+01:00,0.20952001,1,2,425,mg/m3
AT,NET.05,Amt der Salzburger Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,CO,SPO.05.1000.2232.10.1,AT.0008.20.AQ,13.05329,47.79739999946582,EPSG:4979,AT51000,STA.05.1000,Salzburg Rudolfsplatz,AT.0008.20.AQ,2023-05-27 09:00:00+01:00,2023-05-27 10:00:00+01:00,2023-05-27 09:35:02+01:00,2023-05-27 10:29:08+01:00,0.23862001,1,2,425,mg/m3
AT,NET.05,Amt der Salzburger Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,CO,SPO.05.1000.2232.10.1,AT.0008.20.AQ,13.05329,47.79739999946582,EPSG:4979,AT51000,STA.05.1000,Salzburg Rudolfsplatz,AT.0008.20.AQ,2023-05-27 10:00:00+01:00,2023-05-27 11:00:00+01:00,2023-05-27 10:29:08+01:00,2023-05-27 11:32:02+01:00,0.2037,1,2,425,mg/m3
AT,NET.05,Amt der Salzburger Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,CO,SPO.05.1000.2232.10.1,AT.0008.20.AQ,13.05329,47.79739999946582,EPSG:4979,AT51000,STA.05.1000,Salzburg Rudolfsplatz,AT.0008.20.AQ,2023-05-27 12:00:00+01:00,2023-05-27 13:00:00+01:00,2023-05-27 12:29:02+01:00,2023-05-27 13:32:02+01:00,0.2037,1,2,425,mg/m3
AT,NET.05,Amt der Salzburger Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,CO,SPO.05.1000.2232.10.1,AT.0008.20.AQ,13.05329,47.79739999946582,EPSG:4979,AT51000,STA.05.1000,Salzburg Rudolfsplatz,AT.0008.20.AQ,2023-05-27 13:00:00+01:00,2023-05-27 14:00:00+01:00,2023-05-27 13:32:02+01:00,2023-05-27 14:35:02+01:00,0.2037,1,2,425,mg/m3
AT,NET.05,Amt der Salzburger Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,CO,SPO.05.1000.2232.10.1,AT.0008.20.AQ,13.05329,47.79739999946582,EPSG:4979,AT51000,STA.05.1000,Salzburg Rudolfsplatz,AT.0008.20.AQ,2023-05-27 14:00:00+01:00,2023-05-27 15:00:00+01:00,2023-05-27 14:35:02+01:00,2023-05-27 15:29:08+01:00,0.22698,1,2,425,mg/m3
AT,NET.05,Amt der Salzburger Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,CO,SPO.05.1000.2232.10.1,AT.0008.20.AQ,13.05329,47.79739999946582,EPSG:4979,AT51000,STA.05.1000,Salzburg Rudolfsplatz,AT.0008.20.AQ,2023-05-27 15:00:00+01:00,2023-05-27 16:00:00+01:00,2023-05-27 15:29:08+01:00,2023-05-27 16:35:02+01:00,0.18624,1,2,425,mg/m3
AT,NET.05,Amt der Salzburger Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,CO,SPO.05.1000.2232.10.1,AT.0008.20.AQ,13.05329,47.79739999946582,EPSG:4979,AT51000,STA.05.1000,Salzburg Rudolfsplatz,AT.0008.20.AQ,2023-05-27 16:00:00+01:00,2023-05-27 17:00:00+01:00,2023-05-27 16:35:02+01:00,2023-05-27 17:29:09+01:00,0.2037,1,2,425,mg/m3
AT,NET.05,Amt der Salzburger Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,CO,SPO.05.1000.2232.10.1,AT.0008.20.AQ,13.05329,47.79739999946582,EPSG:4979,AT51000,STA.05.1000,Salzburg Rudolfsplatz,AT.0008.20.AQ,2023-05-27 17:00:00+01:00,2023-05-27 18:00:00+01:00,2023-05-27 17:29:09+01:00,2023-05-27 18:32:02+01:00,0.19206,1,2,425,mg/m3
AT,NET.05,Amt der Salzburger Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,CO,SPO.05.1000.2232.10.1,AT.0008.20.AQ,13.05329,47.79739999946582,EPSG:4979,AT51000,STA.05.1000,Salzburg Rudolfsplatz,AT.0008.20.AQ,2023-05-27 18:00:00+01:00,2023-05-27 19:00:00+01:00,2023-05-27 18:32:02+01:00,2023-05-27 19:29:02+01:00,0.19787999,1,2,425,mg/m3
