network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR222_00001_100,BE.CELINE-IRCEL.AQ,5.570222814112579,50.61341250188024,EPSG:4979,BETR222,STA-BETR222,43R222 - SERAING,BE.CELINE-IRCEL.AQ,2023-05-27 08:00:00+01:00,2023-05-27 09:00:00+01:00,2023-05-27 01:38:05+01:00,2023-05-27 09:35:31+01:00,1,1,3,65,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR222_00001_100,BE.CELINE-IRCEL.AQ,5.570222814112579,50.61341250188024,EPSG:4979,BETR222,STA-BETR222,43R222 - SERAING,BE.CELINE-IRCEL.AQ,2023-05-27 09:00:00+01:00,2023-05-27 10:00:00+01:00,2023-05-27 01:38:05+01:00,2023-05-27 10:35:16+01:00,2,1,3,65,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR222_00001_100,BE.CELINE-IRCEL.AQ,5.570222814112579,50.61341250188024,EPSG:4979,BETR222,STA-BETR222,43R222 - SERAING,BE.CELINE-IRCEL.AQ,2023-05-27 10:00:00+01:00,2023-05-27 11:00:00+01:00,2023-05-27 01:38:05+01:00,2023-05-27 11:41:05+01:00,1.5,1,3,65,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR222_00001_100,BE.CELINE-IRCEL.AQ,5.570222814112579,50.61341250188024,EPSG:4979,BETR222,STA-BETR222,43R222 - SERAING,BE.CELINE-IRCEL.AQ,2023-05-27 11:00:00+01:00,2023-05-27 12:00:00+01:00,2023-05-27 01:38:05+01:00,2023-05-27 12:35:04+01:00,1,1,3,65,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR222_00001_100,BE.CELINE-IRCEL.AQ,5.570222814112579,50.61341250188024,EPSG:4979,BETR222,STA-BETR222,43R222 - SERAING,BE.CELINE-IRCEL.AQ,2023-05-27 12:00:00+01:00,2023-05-27 13:00:00+01:00,2023-05-27 01:38:05+01:00,2023-05-27 13:38:04+01:00,1,1,3,65,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR222_00001_100,BE.CELINE-IRCEL.AQ,5.570222814112579,50.61341250188024,EPSG:4979,BETR222,STA-BETR222,43R222 - SERAING,BE.CELINE-IRCEL.AQ,2023-05-27 13:00:00+01:00,2023-05-27 14:00:00+01:00,2023-05-27 01:38:05+01:00,2023-05-27 14:35:31+01:00,1,1,3,65,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR222_00001_100,BE.CELINE-IRCEL.AQ,5.570222814112579,50.61341250188024,EPSG:4979,BETR222,STA-BETR222,43R222 - SERAING,BE.CELINE-IRCEL.AQ,2023-05-27 14:00:00+01:00,2023-05-27 15:00:00+01:00,2023-05-27 01:38:05+01:00,2023-05-27 15:38:04+01:00,1,1,3,65,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR222_00001_100,BE.CELINE-IRCEL.AQ,5.570222814112579,50.61341250188024,EPSG:4979,BETR222,STA-BETR222,43R222 - SERAING,BE.CELINE-IRCEL.AQ,2023-05-27 15:00:00+01:00,2023-05-27 16:00:00+01:00,2023-05-27 01:38:05+01:00,2023-05-27 16:35:31+01:00,1,1,3,65,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR222_00001_100,BE.CELINE-IRCEL.AQ,5.570222814112579,50.61341250188024,EPSG:4979,BETR222,STA-BETR222,43R222 - SERAING,BE.CELINE-IRCEL.AQ,2023-05-27 16:00:00+01:00,2023-05-27 17:00:00+01:00,2023-05-27 01:38:05+01:00,2023-05-27 17:35:16+01:00,1,1,3,65,ug/m3
BE,NET-Wallonia,Wallonia,BE.CELINE-IRCEL.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,SO2,SPO-BETR222_00001_100,BE.CELINE-IRCEL.AQ,5.570222814112579,50.61341250188024,EPSG:4979,BETR222,STA-BETR222,43R222 - SERAING,BE.CELINE-IRCEL.AQ,2023-05-27 17:00:00+01:00,2023-05-27 18:00:00+01:00,2023-05-27 01:38:05+01:00,2023-05-27 18:41:03+01:00,1,1,3,65,ug/m3
