network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
DK,NET-DK004A,Danish Air Quality Monitoring Programme,DK.NERI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO,SPO-DK0056A_00038_100,DK.NERI.AQ,10.19364,56.15975999950376,EPSG:4979,DK0056A,STA-DK0056A,Århus/6160,DK.NERI.AQ,2023-05-27 23:00:00+01:00,2023-05-28 00:00:00+01:00,2023-05-27 23:20:05+01:00,2023-05-28 01:17:12+01:00,4.74,1,2,21,ug/m3
DK,NET-DK004A,Danish Air Quality Monitoring Programme,DK.NERI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO,SPO-DK0056A_00038_100,DK.NERI.AQ,10.19364,56.15975999950376,EPSG:4979,DK0056A,STA-DK0056A,Århus/6160,DK.NERI.AQ,2023-05-28 00:00:00+01:00,2023-05-28 01:00:00+01:00,2023-05-28 00:23:05+01:00,2023-05-28 01:17:12+01:00,3.47,1,2,21,ug/m3
DK,NET-DK004A,Danish Air Quality Monitoring Programme,DK.NERI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO,SPO-DK0056A_00038_100,DK.NERI.AQ,10.19364,56.15975999950376,EPSG:4979,DK0056A,STA-DK0056A,Århus/6160,DK.NERI.AQ,2023-05-28 01:00:00+01:00,2023-05-28 02:00:00+01:00,2023-05-28 01:17:12+01:00,2023-05-28 02:23:05+01:00,3.23,1,2,21,ug/m3
DK,NET-DK004A,Danish Air Quality Monitoring Programme,DK.NERI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO,SPO-DK0056A_00038_100,DK.NERI.AQ,10.19364,56.15975999950376,EPSG:4979,DK0056A,STA-DK0056A,Århus/6160,DK.NERI.AQ,2023-05-28 02:00:00+01:00,2023-05-28 03:00:00+01:00,2023-05-28 02:23:05+01:00,2023-05-28 03:17:08+01:00,3.59,1,2,21,ug/m3
DK,NET-DK004A,Danish Air Quality Monitoring Programme,DK.NERI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO,SPO-DK0056A_00038_100,DK.NERI.AQ,10.19364,56.15975999950376,EPSG:4979,DK0056A,STA-DK0056A,Århus/6160,DK.NERI.AQ,2023-05-28 03:00:00+01:00,2023-05-28 04:00:00+01:00,2023-05-28 03:17:08+01:00,2023-05-28 04:20:05+01:00,3.46,1,2,21,ug/m3
DK,NET-DK004A,Danish Air Quality Monitoring Programme,DK.NERI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO,SPO-DK0056A_00038_100,DK.NERI.AQ,10.19364,56.15975999950376,EPSG:4979,DK0056A,STA-DK0056A,Århus/6160,DK.NERI.AQ,2023-05-28 04:00:00+01:00,2023-05-28 05:00:00+01:00,2023-05-28 04:20:05+01:00,2023-05-28 05:23:10+01:00,3.55,1,2,21,ug/m3
DK,NET-DK004A,Danish Air Quality Monitoring Programme,DK.NERI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO,SPO-DK0056A_00038_100,DK.NERI.AQ,10.19364,56.15975999950376,EPSG:4979,DK0056A,STA-DK0056A,Århus/6160,DK.NERI.AQ,2023-05-28 06:00:00+01:00,2023-05-28 07:00:00+01:00,2023-05-28 06:20:05+01:00,2023-05-28 07:23:05+01:00,2.38,1,2,21,ug/m3
DK,NET-DK004A,Danish Air Quality Monitoring Programme,DK.NERI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO,SPO-DK0056A_00038_100,DK.NERI.AQ,10.19364,56.15975999950376,EPSG:4979,DK0056A,STA-DK0056A,Århus/6160,DK.NERI.AQ,2023-05-28 07:00:00+01:00,2023-05-28 08:00:00+01:00,2023-05-28 07:23:05+01:00,2023-05-28 08:17:11+01:00,2.76,1,2,21,ug/m3
DK,NET-DK004A,Danish Air Quality Monitoring Programme,DK.NERI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO,SPO-DK0056A_00038_100,DK.NERI.AQ,10.19364,56.15975999950376,EPSG:4979,DK0056A,STA-DK0056A,Århus/6160,DK.NERI.AQ,2023-05-28 08:00:00+01:00,2023-05-28 09:00:00+01:00,2023-05-28 08:17:11+01:00,2023-05-28 09:23:04+01:00,2.07,1,2,21,ug/m3
DK,NET-DK004A,Danish Air Quality Monitoring Programme,DK.NERI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO,SPO-DK0056A_00038_100,DK.NERI.AQ,10.19364,56.15975999950376,EPSG:4979,DK0056A,STA-DK0056A,Århus/6160,DK.NERI.AQ,2023-05-28 09:00:00+01:00,2023-05-28 10:00:00+01:00,2023-05-28 09:23:04+01:00,2023-05-28 10:17:08+01:00,2.12,1,2,21,ug/m3
