network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
FI,NET-FI022A,Kokkolan verkko,FI.FMI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,SO2,SPO-FI00227_00001_100,FI.FMI.AQ,23.04219,63.84156999957563,EPSG:4979,FI00227,STA-FI00227,Ykspihlaja,FI.FMI.AQ,2023-05-28 23:00:00+01:00,2023-05-29 00:00:00+01:00,2023-05-29 00:44:03+01:00,+01:00,-0.327911,1,3,7,ug/m3
FI,NET-FI022A,Kokkolan verkko,FI.FMI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,SO2,SPO-FI00227_00001_100,FI.FMI.AQ,23.04219,63.84156999957563,EPSG:4979,FI00227,STA-FI00227,Ykspihlaja,FI.FMI.AQ,2023-05-29 00:00:00+01:00,2023-05-29 01:00:00+01:00,2023-05-29 01:41:09+01:00,+01:00,0.246573,1,3,7,ug/m3
FI,NET-FI022A,Kokkolan verkko,FI.FMI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,SO2,SPO-FI00227_00001_100,FI.FMI.AQ,23.04219,63.84156999957563,EPSG:4979,FI00227,STA-FI00227,Ykspihlaja,FI.FMI.AQ,2023-05-29 01:00:00+01:00,2023-05-29 02:00:00+01:00,2023-05-29 02:41:07+01:00,+01:00,-0.8913569,1,3,7,ug/m3
FI,NET-FI022A,Kokkolan verkko,FI.FMI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,SO2,SPO-FI00227_00001_100,FI.FMI.AQ,23.04219,63.84156999957563,EPSG:4979,FI00227,STA-FI00227,Ykspihlaja,FI.FMI.AQ,2023-05-29 02:00:00+01:00,2023-05-29 03:00:00+01:00,2023-05-29 03:38:09+01:00,+01:00,-1.4643721,1,3,7,ug/m3
FI,NET-FI022A,Kokkolan verkko,FI.FMI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,SO2,SPO-FI00227_00001_100,FI.FMI.AQ,23.04219,63.84156999957563,EPSG:4979,FI00227,STA-FI00227,Ykspihlaja,FI.FMI.AQ,2023-05-29 03:00:00+01:00,2023-05-29 04:00:00+01:00,2023-05-29 04:41:09+01:00,+01:00,-1.1822579,1,3,7,ug/m3
FI,NET-FI022A,Kokkolan verkko,FI.FMI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,SO2,SPO-FI00227_00001_100,FI.FMI.AQ,23.04219,63.84156999957563,EPSG:4979,FI00227,STA-FI00227,Ykspihlaja,FI.FMI.AQ,2023-05-29 04:00:00+01:00,2023-05-29 05:00:00+01:00,2023-05-29 05:44:04+01:00,+01:00,-0.7383655,1,3,7,ug/m3
FI,NET-FI022A,Kokkolan verkko,FI.FMI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,SO2,SPO-FI00227_00001_100,FI.FMI.AQ,23.04219,63.84156999957563,EPSG:4979,FI00227,STA-FI00227,Ykspihlaja,FI.FMI.AQ,2023-05-29 05:00:00+01:00,2023-05-29 06:00:00+01:00,2023-05-29 06:41:09+01:00,+01:00,1.5342665,1,3,7,ug/m3
FI,NET-FI022A,Kokkolan verkko,FI.FMI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,SO2,SPO-FI00227_00001_100,FI.FMI.AQ,23.04219,63.84156999957563,EPSG:4979,FI00227,STA-FI00227,Ykspihlaja,FI.FMI.AQ,2023-05-29 06:00:00+01:00,2023-05-29 07:00:00+01:00,2023-05-29 07:44:03+01:00,+01:00,1.8707832,1,3,7,ug/m3
FI,NET-FI022A,Kokkolan verkko,FI.FMI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,SO2,SPO-FI00227_00001_100,FI.FMI.AQ,23.04219,63.84156999957563,EPSG:4979,FI00227,STA-FI00227,Ykspihlaja,FI.FMI.AQ,2023-05-29 07:00:00+01:00,2023-05-29 08:00:00+01:00,2023-05-29 08:41:09+01:00,+01:00,1.1336489,1,3,7,ug/m3
FI,NET-FI022A,Kokkolan verkko,FI.FMI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,SO2,SPO-FI00227_00001_100,FI.FMI.AQ,23.04219,63.84156999957563,EPSG:4979,FI00227,STA-FI00227,Ykspihlaja,FI.FMI.AQ,2023-05-29 08:00:00+01:00,2023-05-29 09:00:00+01:00,2023-05-29 09:41:09+01:00,+01:00,-1.00781,1,3,7,ug/m3
FI,NET-FI022A,Kokkolan verkko,FI.FMI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,SO2,SPO-FI00227_00001_100,FI.FMI.AQ,23.04219,63.84156999957563,EPSG:4979,FI00227,STA-FI00227,Ykspihlaja,FI.FMI.AQ,2023-05-29 09:00:00+01:00,2023-05-29 10:00:00+01:00,2023-05-29 10:38:08+01:00,+01:00,-1.0903277,1,3,7,ug/m3
FI,NET-FI022A,Kokkolan verkko,FI.FMI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,SO2,SPO-FI00227_00001_100,FI.FMI.AQ,23.04219,63.84156999957563,EPSG:4979,FI00227,STA-FI00227,Ykspihlaja,FI.FMI.AQ,2023-05-29 10:00:00+01:00,2023-05-29 11:00:00+01:00,2023-05-29 11:41:10+01:00,+01:00,-0.7227648,1,3,7,ug/m3
