network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO.CZ_LCLMA_PM10_40522,CZ.CHMI-Prague-Komorany.AQ,14.537344932556154,50.69804382324219,EPSG:4979,CZ0LCLM,STA.CZ_LCLM,Ceska Lipa,CZ.CHMI-Prague-Komorany.AQ,2023-05-29 21:00:00+01:00,2023-05-29 22:00:00+01:00,2023-05-29 23:44:05+01:00,+01:00,3.5,1,3,299,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO.CZ_LCLMA_PM10_40522,CZ.CHMI-Prague-Komorany.AQ,14.537344932556154,50.69804382324219,EPSG:4979,CZ0LCLM,STA.CZ_LCLM,Ceska Lipa,CZ.CHMI-Prague-Komorany.AQ,2023-05-29 22:00:00+01:00,2023-05-29 23:00:00+01:00,2023-05-30 00:47:05+01:00,+01:00,9.4,1,3,299,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO.CZ_LCLMA_PM10_40522,CZ.CHMI-Prague-Komorany.AQ,14.537344932556154,50.69804382324219,EPSG:4979,CZ0LCLM,STA.CZ_LCLM,Ceska Lipa,CZ.CHMI-Prague-Komorany.AQ,2023-05-29 23:00:00+01:00,2023-05-30 00:00:00+01:00,2023-05-30 01:44:05+01:00,+01:00,8.6,1,3,299,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO.CZ_LCLMA_PM10_40522,CZ.CHMI-Prague-Komorany.AQ,14.537344932556154,50.69804382324219,EPSG:4979,CZ0LCLM,STA.CZ_LCLM,Ceska Lipa,CZ.CHMI-Prague-Komorany.AQ,2023-05-30 00:00:00+01:00,2023-05-30 01:00:00+01:00,2023-05-30 02:47:07+01:00,+01:00,7,1,3,299,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO.CZ_LCLMA_PM10_40522,CZ.CHMI-Prague-Komorany.AQ,14.537344932556154,50.69804382324219,EPSG:4979,CZ0LCLM,STA.CZ_LCLM,Ceska Lipa,CZ.CHMI-Prague-Komorany.AQ,2023-05-30 01:00:00+01:00,2023-05-30 02:00:00+01:00,2023-05-30 03:50:07+01:00,+01:00,15.3,1,3,299,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO.CZ_LCLMA_PM10_40522,CZ.CHMI-Prague-Komorany.AQ,14.537344932556154,50.69804382324219,EPSG:4979,CZ0LCLM,STA.CZ_LCLM,Ceska Lipa,CZ.CHMI-Prague-Komorany.AQ,2023-05-30 02:00:00+01:00,2023-05-30 03:00:00+01:00,2023-05-30 04:47:05+01:00,+01:00,13,1,3,299,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO.CZ_LCLMA_PM10_40522,CZ.CHMI-Prague-Komorany.AQ,14.537344932556154,50.69804382324219,EPSG:4979,CZ0LCLM,STA.CZ_LCLM,Ceska Lipa,CZ.CHMI-Prague-Komorany.AQ,2023-05-30 03:00:00+01:00,2023-05-30 04:00:00+01:00,2023-05-30 05:47:05+01:00,+01:00,16.1,1,3,299,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO.CZ_LCLMA_PM10_40522,CZ.CHMI-Prague-Komorany.AQ,14.537344932556154,50.69804382324219,EPSG:4979,CZ0LCLM,STA.CZ_LCLM,Ceska Lipa,CZ.CHMI-Prague-Komorany.AQ,2023-05-30 04:00:00+01:00,2023-05-30 05:00:00+01:00,2023-05-30 06:44:05+01:00,+01:00,12.6,1,3,299,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO.CZ_LCLMA_PM10_40522,CZ.CHMI-Prague-Komorany.AQ,14.537344932556154,50.69804382324219,EPSG:4979,CZ0LCLM,STA.CZ_LCLM,Ceska Lipa,CZ.CHMI-Prague-Komorany.AQ,2023-05-30 05:00:00+01:00,2023-05-30 06:00:00+01:00,2023-05-30 07:47:05+01:00,+01:00,15.3,1,3,299,ug/m3
CZ,NET-CZ001A,National automated monitoring network (SIS),CZ.CHMI-Prague-Komorany.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,PM10,SPO.CZ_LCLMA_PM10_40522,CZ.CHMI-Prague-Komorany.AQ,14.537344932556154,50.69804382324219,EPSG:4979,CZ0LCLM,STA.CZ_LCLM,Ceska Lipa,CZ.CHMI-Prague-Komorany.AQ,2023-05-30 06:00:00+01:00,2023-05-30 07:00:00+01:00,2023-05-30 08:44:05+01:00,+01:00,21,1,3,299,ug/m3
