network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
ES,NET_ES211A,CCAA Extremadura,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_06083001_6_48,ES.BDCA.AQD,-6.33806,38.90749999999999,EPSG:4979,ES1819A,STA_ES1819A,MERIDA,ES.BDCA.AQD,2023-05-30 02:00:00+01:00,2023-05-30 03:00:00+01:00,2023-05-30 02:47:08+01:00,2023-05-30 03:43:17+01:00,0.3,1,3,214,mg/m3
ES,NET_ES211A,CCAA Extremadura,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_06083001_6_48,ES.BDCA.AQD,-6.33806,38.90749999999999,EPSG:4979,ES1819A,STA_ES1819A,MERIDA,ES.BDCA.AQD,2023-05-30 03:00:00+01:00,2023-05-30 04:00:00+01:00,2023-05-30 02:47:08+01:00,2023-05-30 04:46:01+01:00,0.3,1,3,214,mg/m3
ES,NET_ES211A,CCAA Extremadura,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_06083001_6_48,ES.BDCA.AQD,-6.33806,38.90749999999999,EPSG:4979,ES1819A,STA_ES1819A,MERIDA,ES.BDCA.AQD,2023-05-30 04:00:00+01:00,2023-05-30 05:00:00+01:00,2023-05-30 03:43:17+01:00,2023-05-30 05:49:14+01:00,0.3,1,3,214,mg/m3
ES,NET_ES211A,CCAA Extremadura,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_06083001_6_48,ES.BDCA.AQD,-6.33806,38.90749999999999,EPSG:4979,ES1819A,STA_ES1819A,MERIDA,ES.BDCA.AQD,2023-05-30 05:00:00+01:00,2023-05-30 06:00:00+01:00,2023-05-30 04:46:01+01:00,2023-05-30 06:46:33+01:00,0.3,1,3,214,mg/m3
ES,NET_ES211A,CCAA Extremadura,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_06083001_6_48,ES.BDCA.AQD,-6.33806,38.90749999999999,EPSG:4979,ES1819A,STA_ES1819A,MERIDA,ES.BDCA.AQD,2023-05-30 06:00:00+01:00,2023-05-30 07:00:00+01:00,2023-05-30 05:49:14+01:00,2023-05-30 07:49:12+01:00,0.3,1,3,214,mg/m3
ES,NET_ES211A,CCAA Extremadura,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_06083001_6_48,ES.BDCA.AQD,-6.33806,38.90749999999999,EPSG:4979,ES1819A,STA_ES1819A,MERIDA,ES.BDCA.AQD,2023-05-30 07:00:00+01:00,2023-05-30 08:00:00+01:00,2023-05-30 06:46:33+01:00,2023-05-30 08:46:24+01:00,0.3,1,3,214,mg/m3
ES,NET_ES211A,CCAA Extremadura,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_06083001_6_48,ES.BDCA.AQD,-6.33806,38.90749999999999,EPSG:4979,ES1819A,STA_ES1819A,MERIDA,ES.BDCA.AQD,2023-05-30 08:00:00+01:00,2023-05-30 09:00:00+01:00,2023-05-30 07:49:12+01:00,2023-05-30 09:46:16+01:00,0.3,1,3,214,mg/m3
ES,NET_ES211A,CCAA Extremadura,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_06083001_6_48,ES.BDCA.AQD,-6.33806,38.90749999999999,EPSG:4979,ES1819A,STA_ES1819A,MERIDA,ES.BDCA.AQD,2023-05-30 09:00:00+01:00,2023-05-30 10:00:00+01:00,2023-05-30 08:46:24+01:00,2023-05-30 10:43:09+01:00,0.3,1,3,214,mg/m3
ES,NET_ES211A,CCAA Extremadura,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_06083001_6_48,ES.BDCA.AQD,-6.33806,38.90749999999999,EPSG:4979,ES1819A,STA_ES1819A,MERIDA,ES.BDCA.AQD,2023-05-30 10:00:00+01:00,2023-05-30 11:00:00+01:00,2023-05-30 09:46:16+01:00,2023-05-30 11:46:19+01:00,0.3,1,3,214,mg/m3
ES,NET_ES211A,CCAA Extremadura,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_06083001_6_48,ES.BDCA.AQD,-6.33806,38.90749999999999,EPSG:4979,ES1819A,STA_ES1819A,MERIDA,ES.BDCA.AQD,2023-05-30 12:00:00+01:00,2023-05-30 13:00:00+01:00,2023-05-30 11:46:19+01:00,2023-05-30 13:46:22+01:00,0.3,1,3,214,mg/m3
ES,NET_ES211A,CCAA Extremadura,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_06083001_6_48,ES.BDCA.AQD,-6.33806,38.90749999999999,EPSG:4979,ES1819A,STA_ES1819A,MERIDA,ES.BDCA.AQD,2023-05-30 13:00:00+01:00,2023-05-30 14:00:00+01:00,2023-05-30 12:49:15+01:00,2023-05-30 14:49:14+01:00,0.3,1,3,214,mg/m3
ES,NET_ES211A,CCAA Extremadura,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_06083001_6_48,ES.BDCA.AQD,-6.33806,38.90749999999999,EPSG:4979,ES1819A,STA_ES1819A,MERIDA,ES.BDCA.AQD,2023-05-30 14:00:00+01:00,2023-05-30 15:00:00+01:00,2023-05-30 13:46:22+01:00,2023-05-30 15:46:20+01:00,0.3,1,3,214,mg/m3
ES,NET_ES211A,CCAA Extremadura,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_06083001_6_48,ES.BDCA.AQD,-6.33806,38.90749999999999,EPSG:4979,ES1819A,STA_ES1819A,MERIDA,ES.BDCA.AQD,2023-05-30 15:00:00+01:00,2023-05-30 16:00:00+01:00,2023-05-30 14:49:14+01:00,2023-05-30 16:46:20+01:00,0.3,1,3,214,mg/m3
ES,NET_ES211A,CCAA Extremadura,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_06083001_6_48,ES.BDCA.AQD,-6.33806,38.90749999999999,EPSG:4979,ES1819A,STA_ES1819A,MERIDA,ES.BDCA.AQD,2023-05-30 16:00:00+01:00,2023-05-30 17:00:00+01:00,2023-05-30 15:46:20+01:00,2023-05-30 17:43:14+01:00,0.2,1,3,214,mg/m3
ES,NET_ES211A,CCAA Extremadura,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_06083001_6_48,ES.BDCA.AQD,-6.33806,38.90749999999999,EPSG:4979,ES1819A,STA_ES1819A,MERIDA,ES.BDCA.AQD,2023-05-30 19:00:00+01:00,2023-05-30 20:00:00+01:00,2023-05-30 18:46:21+01:00,+01:00,,-1,3,214,mg/m3
ES,NET_ES211A,CCAA Extremadura,ES.BDCA.AQD,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,CO,SP_06083001_6_48,ES.BDCA.AQD,-6.33806,38.90749999999999,EPSG:4979,ES1819A,STA_ES1819A,MERIDA,ES.BDCA.AQD,2023-05-30 11:00:00+01:00,2023-05-30 12:00:00+01:00,2023-05-30 10:43:09+01:00,2023-05-30 18:46:21+01:00,,-1,3,214,mg/m3
