network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
DK,NET-DK004A,Danish Air Quality Monitoring Programme,DK.NERI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-DK0056A_00008_100,DK.NERI.AQ,10.19364,56.15975999950376,EPSG:4979,DK0056A,STA-DK0056A,Århus/6160,DK.NERI.AQ,2023-05-29 08:00:00+01:00,2023-05-29 09:00:00+01:00,2023-05-29 08:20:05+01:00,2023-05-29 09:23:10+01:00,1.5,1,2,21,ug/m3
DK,NET-DK004A,Danish Air Quality Monitoring Programme,DK.NERI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-DK0056A_00008_100,DK.NERI.AQ,10.19364,56.15975999950376,EPSG:4979,DK0056A,STA-DK0056A,Århus/6160,DK.NERI.AQ,2023-05-29 09:00:00+01:00,2023-05-29 10:00:00+01:00,2023-05-29 09:23:10+01:00,2023-05-29 10:20:05+01:00,1.25,1,2,21,ug/m3
DK,NET-DK004A,Danish Air Quality Monitoring Programme,DK.NERI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-DK0056A_00008_100,DK.NERI.AQ,10.19364,56.15975999950376,EPSG:4979,DK0056A,STA-DK0056A,Århus/6160,DK.NERI.AQ,2023-05-29 10:00:00+01:00,2023-05-29 11:00:00+01:00,2023-05-29 10:20:05+01:00,2023-05-29 11:23:05+01:00,1.3,1,2,21,ug/m3
DK,NET-DK004A,Danish Air Quality Monitoring Programme,DK.NERI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-DK0056A_00008_100,DK.NERI.AQ,10.19364,56.15975999950376,EPSG:4979,DK0056A,STA-DK0056A,Århus/6160,DK.NERI.AQ,2023-05-29 11:00:00+01:00,2023-05-29 12:00:00+01:00,2023-05-29 11:23:05+01:00,2023-05-29 12:17:11+01:00,1.18,1,2,21,ug/m3
DK,NET-DK004A,Danish Air Quality Monitoring Programme,DK.NERI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-DK0012R_00008_100,DK.NERI.AQ,12.088900000000004,55.6941999995005,EPSG:4979,DK0012R,STA-DK0012R,Risoe,DK.NERI.AQ,2023-05-29 08:00:00+01:00,2023-05-29 09:00:00+01:00,2023-05-29 08:20:04+01:00,2023-05-29 09:23:09+01:00,2.73,1,2,3,ug/m3
DK,NET-DK004A,Danish Air Quality Monitoring Programme,DK.NERI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-DK0012R_00008_100,DK.NERI.AQ,12.088900000000004,55.6941999995005,EPSG:4979,DK0012R,STA-DK0012R,Risoe,DK.NERI.AQ,2023-05-29 09:00:00+01:00,2023-05-29 10:00:00+01:00,2023-05-29 09:23:09+01:00,2023-05-29 10:20:05+01:00,1.98,1,2,3,ug/m3
DK,NET-DK004A,Danish Air Quality Monitoring Programme,DK.NERI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-DK0012R_00008_100,DK.NERI.AQ,12.088900000000004,55.6941999995005,EPSG:4979,DK0012R,STA-DK0012R,Risoe,DK.NERI.AQ,2023-05-29 10:00:00+01:00,2023-05-29 11:00:00+01:00,2023-05-29 10:20:05+01:00,2023-05-29 11:23:04+01:00,1.02,1,2,3,ug/m3
DK,NET-DK004A,Danish Air Quality Monitoring Programme,DK.NERI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-DK0012R_00008_100,DK.NERI.AQ,12.088900000000004,55.6941999995005,EPSG:4979,DK0012R,STA-DK0012R,Risoe,DK.NERI.AQ,2023-05-29 11:00:00+01:00,2023-05-29 12:00:00+01:00,2023-05-29 11:23:04+01:00,2023-05-29 12:17:10+01:00,0.66,1,2,3,ug/m3
DK,NET-DK004A,Danish Air Quality Monitoring Programme,DK.NERI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-DK0012R_00008_100,DK.NERI.AQ,12.088900000000004,55.6941999995005,EPSG:4979,DK0012R,STA-DK0012R,Risoe,DK.NERI.AQ,2023-05-29 12:00:00+01:00,2023-05-29 13:00:00+01:00,2023-05-29 12:17:10+01:00,2023-05-29 13:23:04+01:00,0.81,1,2,3,ug/m3
DK,NET-DK004A,Danish Air Quality Monitoring Programme,DK.NERI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-DK0056A_00008_100,DK.NERI.AQ,10.19364,56.15975999950376,EPSG:4979,DK0056A,STA-DK0056A,Århus/6160,DK.NERI.AQ,2023-05-29 12:00:00+01:00,2023-05-29 13:00:00+01:00,2023-05-29 12:17:11+01:00,2023-05-29 13:23:05+01:00,0.9,1,2,21,ug/m3
DK,NET-DK004A,Danish Air Quality Monitoring Programme,DK.NERI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-DK0056A_00008_100,DK.NERI.AQ,10.19364,56.15975999950376,EPSG:4979,DK0056A,STA-DK0056A,Århus/6160,DK.NERI.AQ,2023-05-29 13:00:00+01:00,2023-05-29 14:00:00+01:00,2023-05-29 13:23:05+01:00,2023-05-29 14:17:08+01:00,1.3,1,2,21,ug/m3
DK,NET-DK004A,Danish Air Quality Monitoring Programme,DK.NERI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-DK0056A_00008_100,DK.NERI.AQ,10.19364,56.15975999950376,EPSG:4979,DK0056A,STA-DK0056A,Århus/6160,DK.NERI.AQ,2023-05-29 14:00:00+01:00,2023-05-29 15:00:00+01:00,2023-05-29 14:17:08+01:00,2023-05-29 15:20:07+01:00,1.02,1,2,21,ug/m3
DK,NET-DK004A,Danish Air Quality Monitoring Programme,DK.NERI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-DK0056A_00008_100,DK.NERI.AQ,10.19364,56.15975999950376,EPSG:4979,DK0056A,STA-DK0056A,Århus/6160,DK.NERI.AQ,2023-05-29 15:00:00+01:00,2023-05-29 16:00:00+01:00,2023-05-29 15:20:07+01:00,2023-05-29 16:23:10+01:00,1.37,1,2,21,ug/m3
DK,NET-DK004A,Danish Air Quality Monitoring Programme,DK.NERI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-DK0056A_00008_100,DK.NERI.AQ,10.19364,56.15975999950376,EPSG:4979,DK0056A,STA-DK0056A,Århus/6160,DK.NERI.AQ,2023-05-29 16:00:00+01:00,2023-05-29 17:00:00+01:00,2023-05-29 16:23:10+01:00,2023-05-29 17:20:05+01:00,1.09,1,2,21,ug/m3
DK,NET-DK004A,Danish Air Quality Monitoring Programme,DK.NERI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-DK0056A_00008_100,DK.NERI.AQ,10.19364,56.15975999950376,EPSG:4979,DK0056A,STA-DK0056A,Århus/6160,DK.NERI.AQ,2023-05-29 17:00:00+01:00,2023-05-29 18:00:00+01:00,2023-05-29 17:20:05+01:00,2023-05-29 18:23:05+01:00,1.17,1,2,21,ug/m3
DK,NET-DK004A,Danish Air Quality Monitoring Programme,DK.NERI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-DK0056A_00008_100,DK.NERI.AQ,10.19364,56.15975999950376,EPSG:4979,DK0056A,STA-DK0056A,Århus/6160,DK.NERI.AQ,2023-05-29 18:00:00+01:00,2023-05-29 19:00:00+01:00,2023-05-29 18:23:05+01:00,2023-05-29 19:17:11+01:00,1.23,1,2,21,ug/m3
DK,NET-DK004A,Danish Air Quality Monitoring Programme,DK.NERI.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,NO2,SPO-DK0056A_00008_100,DK.NERI.AQ,10.19364,56.15975999950376,EPSG:4979,DK0056A,STA-DK0056A,Århus/6160,DK.NERI.AQ,2023-05-29 19:00:00+01:00,2023-05-29 20:00:00+01:00,2023-05-29 19:17:11+01:00,2023-05-29 20:23:05+01:00,1.37,1,2,21,ug/m3
