network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
AT,NET.06,Amt der Steiermärkischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO.06.151.65762.5.1,AT.0008.20.AQ,15.495832999999996,46.87138899946438,EPSG:4979,AT60151,STA.06.151,Bockberg,AT.0008.20.AQ,2023-05-29 15:00:00+01:00,2023-05-29 16:00:00+01:00,2023-05-29 15:35:19+01:00,2023-05-29 16:29:25+01:00,10.81254577,1,2,449,ug/m3
AT,NET.06,Amt der Steiermärkischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO.06.151.65762.5.1,AT.0008.20.AQ,15.495832999999996,46.87138899946438,EPSG:4979,AT60151,STA.06.151,Bockberg,AT.0008.20.AQ,2023-05-29 16:00:00+01:00,2023-05-29 17:00:00+01:00,2023-05-29 16:29:25+01:00,2023-05-29 17:35:18+01:00,12.2548151,1,2,449,ug/m3
AT,NET.06,Amt der Steiermärkischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO.06.151.65762.5.1,AT.0008.20.AQ,15.495832999999996,46.87138899946438,EPSG:4979,AT60151,STA.06.151,Bockberg,AT.0008.20.AQ,2023-05-29 17:00:00+01:00,2023-05-29 18:00:00+01:00,2023-05-29 17:35:18+01:00,2023-05-29 18:29:28+01:00,12.22643089,1,2,449,ug/m3
AT,NET.06,Amt der Steiermärkischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO.06.151.65762.5.1,AT.0008.20.AQ,15.495832999999996,46.87138899946438,EPSG:4979,AT60151,STA.06.151,Bockberg,AT.0008.20.AQ,2023-05-29 18:00:00+01:00,2023-05-29 19:00:00+01:00,2023-05-29 18:29:28+01:00,2023-05-29 19:32:20+01:00,12.88015651,1,2,449,ug/m3
AT,NET.06,Amt der Steiermärkischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO.06.151.65762.5.1,AT.0008.20.AQ,15.495832999999996,46.87138899946438,EPSG:4979,AT60151,STA.06.151,Bockberg,AT.0008.20.AQ,2023-05-29 20:00:00+01:00,2023-05-29 21:00:00+01:00,2023-05-30 07:35:39+01:00,+01:00,17.67600631,1,2,449,ug/m3
AT,NET.06,Amt der Steiermärkischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO.06.151.65762.5.1,AT.0008.20.AQ,15.495832999999996,46.87138899946438,EPSG:4979,AT60151,STA.06.151,Bockberg,AT.0008.20.AQ,2023-05-29 21:00:00+01:00,2023-05-29 22:00:00+01:00,2023-05-30 07:35:39+01:00,+01:00,19.24952697,1,2,449,ug/m3
AT,NET.06,Amt der Steiermärkischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO.06.151.65762.5.1,AT.0008.20.AQ,15.495832999999996,46.87138899946438,EPSG:4979,AT60151,STA.06.151,Bockberg,AT.0008.20.AQ,2023-05-29 22:00:00+01:00,2023-05-29 23:00:00+01:00,2023-05-30 07:35:39+01:00,+01:00,15.83346271,1,2,449,ug/m3
AT,NET.06,Amt der Steiermärkischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO.06.151.65762.5.1,AT.0008.20.AQ,15.495832999999996,46.87138899946438,EPSG:4979,AT60151,STA.06.151,Bockberg,AT.0008.20.AQ,2023-05-29 23:00:00+01:00,2023-05-30 00:00:00+01:00,2023-05-30 07:35:39+01:00,+01:00,18.33449554,1,2,449,ug/m3
AT,NET.06,Amt der Steiermärkischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO.06.151.65762.5.1,AT.0008.20.AQ,15.495832999999996,46.87138899946438,EPSG:4979,AT60151,STA.06.151,Bockberg,AT.0008.20.AQ,2023-05-30 00:00:00+01:00,2023-05-30 01:00:00+01:00,2023-05-30 07:35:39+01:00,+01:00,17.33475875,1,2,449,ug/m3
AT,NET.06,Amt der Steiermärkischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO.06.151.65762.5.1,AT.0008.20.AQ,15.495832999999996,46.87138899946438,EPSG:4979,AT60151,STA.06.151,Bockberg,AT.0008.20.AQ,2023-05-30 01:00:00+01:00,2023-05-30 02:00:00+01:00,2023-05-30 07:35:39+01:00,+01:00,17.88409042,1,2,449,ug/m3
AT,NET.06,Amt der Steiermärkischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO.06.151.65762.5.1,AT.0008.20.AQ,15.495832999999996,46.87138899946438,EPSG:4979,AT60151,STA.06.151,Bockberg,AT.0008.20.AQ,2023-05-30 02:00:00+01:00,2023-05-30 03:00:00+01:00,2023-05-30 07:35:39+01:00,+01:00,18.94531631,1,2,449,ug/m3
AT,NET.06,Amt der Steiermärkischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO.06.151.65762.5.1,AT.0008.20.AQ,15.495832999999996,46.87138899946438,EPSG:4979,AT60151,STA.06.151,Bockberg,AT.0008.20.AQ,2023-05-30 03:00:00+01:00,2023-05-30 04:00:00+01:00,2023-05-30 07:35:39+01:00,+01:00,18.26242828,1,2,449,ug/m3
AT,NET.06,Amt der Steiermärkischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO.06.151.65762.5.1,AT.0008.20.AQ,15.495832999999996,46.87138899946438,EPSG:4979,AT60151,STA.06.151,Bockberg,AT.0008.20.AQ,2023-05-30 04:00:00+01:00,2023-05-30 05:00:00+01:00,2023-05-30 07:35:39+01:00,+01:00,12.22636795,1,2,449,ug/m3
AT,NET.06,Amt der Steiermärkischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO.06.151.65762.5.1,AT.0008.20.AQ,15.495832999999996,46.87138899946438,EPSG:4979,AT60151,STA.06.151,Bockberg,AT.0008.20.AQ,2023-05-30 05:00:00+01:00,2023-05-30 06:00:00+01:00,2023-05-30 07:35:39+01:00,+01:00,14.02542877,1,2,449,ug/m3
AT,NET.06,Amt der Steiermärkischen Landesregierung,AT.0008.20.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO.06.151.65762.5.1,AT.0008.20.AQ,15.495832999999996,46.87138899946438,EPSG:4979,AT60151,STA.06.151,Bockberg,AT.0008.20.AQ,2023-05-30 06:00:00+01:00,2023-05-30 07:00:00+01:00,2023-05-30 07:35:39+01:00,+01:00,12.38432121,1,2,449,ug/m3
